#ylo yhi qTlo qThi PDF0  uncertainty
-2.5 -1.5 0 2 24706.03214147034 0.3563906949675584
-2.5 -1.5 2 3 17135.14819388843 0.114101524814032
-2.5 -1.5 3 4 13019.36237918682 0.07757271420086909
-2.5 -1.5 4 5 10172.60330561815 0.04300639635039261
-2.5 -1.5 5 6 8178.641713256314 0.04942187644701335
-2.5 -1.5 6 7 6730.185424798669 0.2883655920368255
-2.5 -1.5 7 8 5642.130639908315 0.2812889674905819
-2.5 -1.5 8 9 4801.579851098299 0.2354905154588778
-2.5 -1.5 9 10 4136.967407767451 0.1997944110480603
-2.5 -1.5 10 11 3601.3039461768 0.1714017713711655
-2.5 -1.5 11 12 3162.49158756214 0.1484578523800337
-2.5 -1.5 12 14 5289.806006780424 0.2438263389785789
-2.5 -1.5 14 16 4240.525826692119 0.1908223437003471
-2.5 -1.5 16 18 3465.36793278949 0.1524078073398414
-2.5 -1.5 18 20 2875.84625382031 0.123660473084783
-2.5 -1.5 20 24 4469.546850769203 0.185946168976443
-2.5 -1.5 24 28 3277.462645572187 0.1301867822280656
-2.5 -1.5 28 33 2996.18623892144 0.1127319422075743
-2.5 -1.5 33 44 4069.668878117028 0.1388154581572962
-1.5 -1 0 2 11776.89173358242 0.5127119271328411
-1.5 -1 2 3 9321.905972516644 0.1201411639776779
-1.5 -1 3 4 7240.601600185494 0.3599962802518348
-1.5 -1 4 5 5726.578648364321 0.2753313554549095
-1.5 -1 5 6 4642.748281763687 0.2171710585598703
-1.5 -1 6 7 3845.185611826822 0.1756028238382896
-1.5 -1 7 8 3240.706938776307 0.1449920013265
-1.5 -1 8 9 2770.574749652201 0.121675831623179
-1.5 -1 9 10 2396.866063285677 0.1034537350487881
-1.5 -1 10 11 2094.301435369384 0.08893307572179765
-1.5 -1 11 12 1845.501187006219 0.07718335997424219
-1.5 -1 12 14 3101.576116005027 0.1269774338366005
-1.5 -1 14 16 2501.372375530663 0.09956536215895539
-1.5 -1 16 18 2055.777856912639 0.07966733937428216
-1.5 -1 18 20 1715.421407569771 0.06479206664062076
-1.5 -1 20 24 2686.889111545913 0.09770485938997808
-1.5 -1 24 28 1991.194840582571 0.0686466932370422
-1.5 -1 28 33 1841.98406391194 0.05963607094668077
-1.5 -1 33 44 2554.548697379351 0.0739664379725582
-1 -0.5 0 2 11537.56525995498 0.440375058868085
-1 -0.5 2 3 9567.002170478936 0.08286261273860873
-1 -0.5 3 4 7482.56769032384 0.3613899847041466
-1 -0.5 4 5 5939.782712101085 0.277291660147057
-1 -0.5 5 6 4827.354758482318 0.2192142758540285
-1 -0.5 6 7 4005.357762732684 0.1777937153269704
-1 -0.5 7 8 3380.581038168606 0.1470727757159693
-1 -0.5 8 9 2893.63838567822 0.1235346282651335
-1 -0.5 9 10 2505.932983774843 0.1051089993370624
-1 -0.5 10 11 2191.605656284987 0.09043026408517107
-1 -0.5 11 12 1932.826718194227 0.07850536569617361
-1 -0.5 12 14 3251.797717282807 0.1292448093131497
-1 -0.5 14 16 2625.878388938751 0.1015380027502033
-1 -0.5 16 18 2160.533026480544 0.08127863252911993
-1 -0.5 18 20 1804.667967235348 0.06609204300639249
-1 -0.5 20 24 2830.491514796551 0.09971377448437124
-1 -0.5 24 28 2101.169749640471 0.07003776771080084
-1 -0.5 28 33 1947.11716584574 0.06082674774324914
-1 -0.5 33 44 2708.044712003581 0.07529319039531401
-0.5 -0.25 0 2 5738.524434589989 0.234513057197546
-0.5 -0.25 2 3 4850.148625531941 0.2423765250950964
-0.5 -0.25 3 4 3803.749482613211 0.1805896059991028
-0.5 -0.25 4 5 3023.787023300892 0.1388798300540657
-0.5 -0.25 5 6 2459.815341237741 0.1099301494928113
-0.5 -0.25 6 7 2042.372445147191 0.08930084272901695
-0.5 -0.25 7 8 1724.745333004063 0.07387241692799762
-0.5 -0.25 8 9 1476.978794827845 0.06206811038896376
-0.5 -0.25 9 10 1279.565415450294 0.052875499208767
-0.5 -0.25 10 11 1119.432630827632 0.04552244033220632
-0.5 -0.25 11 12 987.5416843673266 0.03952985368448481
-0.5 -0.25 12 14 1662.054624236559 0.06513296890102538
-0.5 -0.25 14 16 1342.707358145091 0.05115635580318667
-0.5 -0.25 16 18 1105.162275091067 0.04098169485587277
-0.5 -0.25 18 20 923.4152379548478 0.03335383610988174
-0.5 -0.25 20 24 1448.868682742304 0.05030027196789888
-0.5 -0.25 24 28 1076.011652713083 0.03533489735104922
-0.5 -0.25 28 33 997.5133175123592 0.03068106135447124
-0.5 -0.25 33 44 1388.064900828121 0.0379533460732091
-0.25 0 0 2 5732.045541064678 0.2453418265158689
-0.25 0 2 3 4871.328689125385 0.241994429999977
-0.25 0 3 4 3823.251906737891 0.1806085430548592
-0.25 0 4 5 3040.532266072584 0.1389430410754358
-0.25 0 5 6 2474.062549621715 0.1100931989990386
-0.25 0 6 7 2054.611477153671 0.08935633028704615
-0.25 0 7 8 1735.330574236445 0.07401409086719468
-0.25 0 8 9 1486.21971568345 0.06222586074432002
-0.25 0 9 10 1287.713940050281 0.05295206618689008
-0.25 0 10 11 1126.66279438182 0.0455984183045075
-0.25 0 11 12 993.9930044341925 0.03963919345460454
-0.25 0 12 14 1673.084880509297 0.06527003608243831
-0.25 0 14 16 1351.774488702868 0.05128099200419456
-0.25 0 16 18 1112.72655136599 0.04109331478548484
-0.25 0 18 20 929.8134872023811 0.03342735271507991
-0.25 0 20 24 1459.038649706437 0.05043607396692096
-0.25 0 24 28 1083.673795756033 0.03542595999465448
-0.25 0 28 33 1004.694959462157 0.03075520418940414
-0.25 0 33 44 1398.175609638502 0.03804298913519233
0 0.25 0 2 5731.160946021044 0.1949271346220485
0 0.25 2 3 4871.097191587769 0.2420746377656542
0 0.25 3 4 3823.123789270941 0.1804955175366558
0 0.25 4 5 3040.402622193663 0.1390078721374266
0 0.25 5 6 2473.99355772764 0.1100500438024028
0 0.25 6 7 2054.543984118114 0.08939005528327471
0 0.25 7 8 1735.290112992079 0.07398945948784785
0 0.25 8 9 1486.197950245906 0.062196983381682
0 0.25 9 10 1287.69002209251 0.05297153545734545
0 0.25 10 11 1126.646681749072 0.04560569380691959
0 0.25 11 12 993.986968910172 0.03962138646181756
0 0.25 12 14 1673.071462396605 0.06526974345547387
0 0.25 14 16 1351.767362552268 0.05128036396195057
0 0.25 16 18 1112.722439265347 0.04108626713059493
0 0.25 18 20 929.8075093633302 0.03343559326344803
0 0.25 20 24 1459.035133838839 0.05043390194578024
0 0.25 24 28 1083.673806747213 0.03542419445625455
0 0.25 28 33 1004.699116525318 0.03075872028955473
0 0.25 33 44 1398.185621119136 0.03804205190886023
0.25 0.5 0 2 5735.504038120417 0.2013982943390147
0.25 0.5 2 3 4849.284591074474 0.2422388912536917
0.25 0.5 3 4 3803.234776749717 0.1806002607072514
0.25 0.5 4 5 3023.482307009238 0.1388261967667859
0.25 0.5 5 6 2459.586094405076 0.1099939272662596
0.25 0.5 6 7 2042.222367745482 0.08923988377068781
0.25 0.5 7 8 1724.622661211707 0.07387906126155031
0.25 0.5 8 9 1476.882513619468 0.06211905967279563
0.25 0.5 9 10 1279.497402841066 0.05285268510397145
0.25 0.5 10 11 1119.376514941298 0.04551491768120286
0.25 0.5 11 12 987.493866948092 0.03955117818645704
0.25 0.5 12 14 1661.991077489668 0.06511444224111074
0.25 0.5 14 16 1342.665978826768 0.05116589288627438
0.25 0.5 16 18 1105.136026295317 0.04098535818479832
0.25 0.5 18 20 923.4007315409517 0.03334722662134482
0.25 0.5 20 24 1448.857464583702 0.0503120883745396
0.25 0.5 24 28 1076.015444227629 0.03533779017789129
0.25 0.5 28 33 997.5240973358628 0.03068193610727121
0.25 0.5 33 44 1388.091505638341 0.03795385260946205
0.5 1 0 2 11531.26368729663 0.4412781725150126
0.5 1 2 3 9564.936905692104 0.06179740058541938
0.5 1 3 4 7481.269422899728 0.361417740039542
0.5 1 4 5 5938.854823191315 0.2770735510439408
0.5 1 5 6 4826.695391511985 0.2192183871356974
0.5 1 6 7 4004.870807824745 0.1777931384913245
0.5 1 7 8 3380.219667100338 0.1470530908673027
0.5 1 8 9 2893.362602307194 0.1234681787550471
0.5 1 9 10 2505.710576140773 0.1050985620199754
0.5 1 10 11 2191.418114555442 0.09043152539470611
0.5 1 11 12 1932.678291272486 0.07851363710528858
0.5 1 12 14 3251.575921702614 0.1292631872433958
0.5 1 14 16 2625.736181237395 0.1015045521558022
0.5 1 16 18 2160.434355101012 0.08127742758506429
0.5 1 18 20 1804.614537880959 0.06611674833106918
0.5 1 20 24 2830.43749435807 0.09971572468111845
0.5 1 24 28 2101.160139195712 0.07003918670079656
0.5 1 28 33 1947.137425650928 0.06082312093053588
0.5 1 33 44 2708.131558531092 0.07530820495594526
1 1.5 0 2 11779.35368186957 0.5146367116030888
1 1.5 2 3 9322.02286567293 0.08064762738831632
1 1.5 3 4 7240.540914084692 0.3603244862379142
1 1.5 4 5 5726.486338565092 0.2753270295825132
1 1.5 5 6 4642.604401828753 0.2172387403998073
1 1.5 6 7 3845.040191673225 0.1757842130459721
1 1.5 7 8 3240.581352897276 0.1451121228651573
1 1.5 8 9 2770.45714053738 0.1217535672417398
1 1.5 9 10 2396.758005469969 0.1034847946207265
1 1.5 10 11 2094.212093391531 0.08896576090501185
1 1.5 11 12 1845.416423793725 0.07718277978688093
1 1.5 12 14 3101.443418473576 0.1269327032200636
1 1.5 14 16 2501.266720354151 0.09956222580331087
1 1.5 16 18 2055.696533311528 0.07970431014018686
1 1.5 18 20 1715.359032208456 0.06478127774653331
1 1.5 20 24 2686.804430653216 0.09769066446551733
1 1.5 24 28 1991.153528866468 0.06862364199537296
1 1.5 28 33 1841.970413745344 0.05964161186034289
1 1.5 33 44 2554.59710513428 0.0739510993348631
1.5 2.25 0 2 18553.75313855338 0.9229562560867635
1.5 2.25 2 3 13225.78389161665 0.2662037644440716
1.5 2.25 3 4 10098.1764043013 0.2055287051480263
1.5 2.25 4 5 7911.901703502298 0.1309733561192843
1.5 2.25 5 6 6373.362672614639 0.08227526334121649
1.5 2.25 6 7 5252.589648649194 0.2574126742802036
1.5 2.25 7 8 4409.028243037306 0.2121131913609133
1.5 2.25 8 9 3756.361634361408 0.17774264091031
1.5 2.25 9 10 3239.690611706338 0.1517028891271366
1.5 2.25 10 11 2822.852895675127 0.1293603869553408
1.5 2.25 11 12 2481.097870415365 0.1121426179211085
1.5 2.25 12 14 4155.178289127739 0.1841973415221219
1.5 2.25 14 16 3336.295275761693 0.1443234043686061
1.5 2.25 16 18 2730.639892865636 0.1153718707969347
1.5 2.25 18 20 2269.538100823178 0.0937070102704638
1.5 2.25 20 24 3534.958804926076 0.1411197313814228
1.5 2.25 24 28 2599.957008410719 0.09898703784165264
1.5 2.25 28 33 2384.954280997333 0.08585642168009144
1.5 2.25 33 44 3259.01630070995 0.1061098915456569
-2.5 2.25 0 44 686613.9683387448 2.325553234903714
