#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 72.22203765050051 2.312740360197204
-5 -4 1 2 -3138.808493826881 5.484857396280646
-5 -4 2 3 -2188.42097375129 6.522183748838166
-5 -4 3 4 -1268.394598275586 4.267207125457859
-5 -4 4 5 -729.1505747027265 2.77744379970739
-5 -4 5 6 -413.7931282711202 2.323675218771859
-5 -4 6 7 -225.3317463601109 1.760150117117877
-5 -4 7 8 -111.1468222723856 1.466314283343158
-5 -4 8 9 -41.07750362365357 1.239541445153134
-5 -4 9 10 2.365196915437195 1.06531778859601
-5 -4 10 11 29.28868353802432 0.9304244605163666
-5 -4 11 12 45.74544602595142 0.8220335317124927
-5 -4 12 13 55.44553800578274 0.7318040268324204
-5 -4 13 14 60.71654355768408 0.6552926063956508
-5 -4 14 15 63.05605204132399 0.5903391444827092
-5 -4 15 16 63.45570775111042 0.5351329111229817
-5 -4 16 17 62.58269385045509 0.4875687643533928
-5 -4 17 18 60.88769615587086 0.4458418992794997
-5 -4 18 19 58.67629502207103 0.4088426623497121
-5 -4 19 20 56.15750145492228 0.3759512509483875
-5 -4 20 21 53.4755249048265 0.3466889833605101
-5 -4 21 22 50.73002545246351 0.3205685552219774
-5 -4 22 23 47.98933198251035 0.2971166188084238
-5 -4 23 24 45.29953145418742 0.2759299913603014
-5 -4 24 25 42.69095212338993 0.2566944792958461
-5 -4 25 26 40.18281454981522 0.2391686298552506
-5 -4 26 27 37.78653245015028 0.223157875861834
-5 -4 27 28 35.50803373299382 0.20849573427312
-5 -4 28 29 33.34939417528163 0.1950350579314155
-5 -4 29 30 31.30999905981157 0.1826455471304542
-5 -4 30 31 29.38737997276206 0.1712132531420815
-5 -4 31 32 27.57782335684746 0.1606397641993424
-5 -4 32 33 25.87681441071805 0.1508405499208038
-5 -4 33 34 24.27935982542408 0.1417428090394113
-5 -4 34 35 22.7802205546844 0.1332833093695589
-5 -4 35 36 21.37407777457224 0.1254065375191134
-5 -4 36 37 20.05564946922884 0.1180632635956261
-5 -4 37 38 18.81977075955657 0.1112094857940479
-5 -4 38 39 17.66144774652974 0.1048056633482334
-5 -4 39 40 16.57589208304663 0.09881614382807953
-5 -4 40 41 15.55854161090939 0.09320871162822467
-5 -4 41 42 14.60507090943658 0.08795421167995711
-5 -4 42 43 13.71139462831884 0.08302622156992538
-5 -4 43 44 12.87366570298997 0.07840075871294452
-5 -4 44 45 12.08826998017945 0.07405601799941831
-5 -4 45 46 11.35140788529474 0.07022270820769998
-5 -4 46 47 10.66057562150636 0.06779997647295646
-5 -4 47 48 10.01241383157033 0.06679943142317529
-5 -4 48 49 9.404173537571726 0.06698561484267233
-5 -4 49 50 8.833113074927955 0.06754522207556621
-4 -3.75 0 1 920.9382329166691 1.695826743497868
-4 -3.75 1 2 -2367.861336039997 0.7769868426378727
-4 -3.75 2 3 -2286.107499018179 13.23595650650979
-4 -3.75 3 4 -1492.641689795239 7.996180660477319
-4 -3.75 4 5 -944.867283424998 5.347564585045482
-4 -3.75 5 6 -597.1668245993646 3.800919840053284
-4 -3.75 6 7 -376.431965178831 2.813158783158688
-4 -3.75 7 8 -234.0055398773832 2.142603424479917
-4 -3.75 8 9 -140.4190220928892 1.666625148002077
-4 -3.75 9 10 -77.9308748466749 1.317443034171708
-4 -3.75 10 11 -35.73456165026096 1.054468094591093
-4 -3.75 11 12 -7.050472347433356 0.8523717020929571
-4 -3.75 12 13 12.46285735482297 0.6945304754457937
-4 -3.75 13 14 25.65243544596092 0.5696768773079408
-4 -3.75 14 15 34.42460660337258 0.4699501975395481
-4 -3.75 15 16 40.07979537566837 0.3897352714676592
-4 -3.75 16 17 43.51967817380859 0.3249412175097807
-4 -3.75 17 18 45.37835265964134 0.272537339095337
-4 -3.75 18 19 46.10717947105923 0.2302436561168287
-4 -3.75 19 20 46.03075044061927 0.2072511487637826
-4 -3.75 20 21 45.38447925659602 0.1918913768947922
-4 -3.75 21 22 44.34026411941556 0.1779272038299676
-4 -3.75 22 23 43.02426781226694 0.1651976214590749
-4 -3.75 23 24 41.52940188506707 0.1535647073497262
-4 -3.75 24 25 39.92419876073831 0.1429097035994458
-4 -3.75 25 26 38.25918593947347 0.1331298504547541
-4 -3.75 26 27 36.57151089592489 0.1241358163252294
-4 -3.75 27 28 34.88832666174773 0.1158495986733192
-4 -3.75 28 29 33.22929007890335 0.1082028031354172
-4 -3.75 29 30 31.60841852214793 0.1011352216650998
-4 -3.75 30 31 30.03547867508945 0.09516639507720005
-4 -3.75 31 32 28.51703117035666 0.09461568372886685
-4 -3.75 32 33 27.0572202441289 0.09414267979275287
-4 -3.75 33 34 25.65837316843023 0.09366916272778467
-4 -3.75 34 35 24.32145688775512 0.09314606443756815
-4 -3.75 35 36 23.04642684732174 0.09254462138721553
-4 -3.75 36 37 21.83249400833792 0.09184994849228997
-4 -3.75 37 38 20.67832949646437 0.09105646813615235
-4 -3.75 38 39 19.58222150694674 0.09016470338697376
-4 -3.75 39 40 18.54219551334876 0.08917905050666981
-4 -3.75 40 41 17.55610623396618 0.08810624603657864
-4 -3.75 41 42 16.62170772495899 0.08695431994411661
-4 -3.75 42 43 15.73670657559937 0.08573188969745693
