#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 3980.493719215409 15.48535724184531
-5 -4 1 2 133.5297010331387 17.49222920518238
-5 -4 2 3 -20542.55173435544 61.60577514811187
-5 -4 3 4 8989.5028905581 51.08045543795792
-5 -4 4 5 6558.291208610866 36.11675994672763
-5 -4 5 6 -7529.463384500097 33.72846875005604
-5 -4 6 7 -912.0474349331085 3.60232504713985
-5 -4 7 8 1427.454191088334 11.38800895763969
-5 -4 8 9 140.8815693530491 4.275461862642864
-5 -4 9 10 -183.089482064409 4.196825509950843
-5 -4 10 11 -27.18970368059149 2.621390316270067
-5 -4 11 12 51.62981405035998 3.67963910183722
-5 -4 12 13 72.92680790209806 0.7405282909251546
-5 -4 13 14 114.8680853827165 2.925154874510074
-5 -4 14 15 40.54341566536914 1.357016060708763
-5 -4 15 16 100.7719806247771 2.602803268711983
-5 -4 16 17 76.08628036101709 2.538854950613019
-5 -4 17 18 49.26691063476403 2.40163828031619
-5 -4 18 19 79.99791119755446 1.999114430033263
-5 -4 19 20 48.56364803447576 1.55955715035643
-5 -4 20 21 65.17604222507782 1.120960382647274
-5 -4 21 22 61.49829492555401 0.5860811352814697
-5 -4 22 23 51.10976047757487 0.2763576677339729
-5 -4 23 24 53.12384849081846 1.436244106957124
-5 -4 24 25 40.26849276107555 1.286548540608532
-5 -4 25 26 48.50939425607129 0.8351508872759658
-5 -4 26 27 55.7298968680592 0.6537925873154335
-5 -4 27 28 33.33364756299886 0.4398757900416932
-5 -4 28 29 31.76330087975686 0.4396148489093205
-5 -4 29 30 42.51693109651761 0.2238860251404123
-5 -4 30 31 40.11532132059305 0.719013199705635
-5 -4 31 32 27.68900278681194 0.2948219141146123
-5 -4 32 33 27.55306341128974 0.3598858081740489
-5 -4 33 34 29.51122388168206 0.6393289808122262
-5 -4 34 35 29.37347338584595 0.4712565670612005
-5 -4 35 36 25.09687057899264 0.4009131400928724
-5 -4 36 37 24.2430201228095 0.3300780246928063
-5 -4 37 38 22.37816221264038 0.1352441640539658
-5 -4 38 39 21.04828635095967 0.128226487919959
-5 -4 39 40 19.80567124885639 0.1181670512313327
-5 -4 40 41 18.63320305318491 0.1056536238759006
-5 -4 41 42 17.52049235031598 0.09397469692675636
-5 -4 42 43 16.4644326771113 0.0851230476873166
-5 -4 43 44 15.46544069670327 0.07912531054387793
-5 -4 44 45 14.52383517138831 0.07502496797929911
-5 -4 45 46 13.73987895339094 0.08191424828183422
-5 -4 46 47 12.71797537319073 0.1486387518819985
-5 -4 47 48 11.84283707591337 0.2384377352255075
-5 -4 48 49 11.19971228615267 0.1421441476127147
-5 -4 49 50 10.74643803243359 0.105025608611451
-4 -3.75 0 1 922.8088996686436 1.693099183982744
-4 -3.75 1 2 -2369.383472901125 0.7704695641469066
-4 -3.75 2 3 -2290.187163729023 13.25416182078608
-4 -3.75 3 4 -1497.779867409829 8.013182817313195
-4 -3.75 4 5 -948.5509794171041 5.361827559604201
-4 -3.75 5 6 -598.289073982854 3.81190760408902
-4 -3.75 6 7 -375.1172919947041 2.820801238857852
-4 -3.75 7 8 -230.7521045172762 2.146943568386345
-4 -3.75 8 9 -135.7171639008354 1.667793303894321
-4 -3.75 9 10 -72.17860851852686 1.315543879387508
-4 -3.75 10 11 -29.23453235031513 1.049706589554098
-4 -3.75 11 12 -0.02925190417715839 0.8449671811660574
-4 -3.75 12 13 19.83640085874856 0.6847505424947978
-4 -3.75 13 14 33.25191551262799 0.5578386189884853
-4 -3.75 14 15 42.15474530716119 0.4564345689732905
-4 -3.75 15 16 47.86815671716602 0.3750051290857458
-4 -3.75 16 17 51.31072532022546 0.3095625993932178
-4 -3.75 17 18 53.12919641743406 0.2572051163475353
-4 -3.75 18 19 53.78451851308262 0.2239507933906398
-4 -3.75 19 20 53.6086403709981 0.2076635940164818
-4 -3.75 20 21 52.84268486767041 0.1929144089584544
-4 -3.75 21 22 51.66302864323296 0.1795148983528886
-4 -3.75 22 23 50.19938329050427 0.1673051482735156
-4 -3.75 23 24 48.54749864399503 0.1561487763166796
-4 -3.75 24 25 46.7781959915134 0.1459287462547856
-4 -3.75 25 26 44.94386219735827 0.1365440227761055
-4 -3.75 26 27 43.08316493376282 0.1279069707614226
-4 -3.75 27 28 41.22450703319876 0.123805245645213
-4 -3.75 28 29 39.38857762575321 0.1258255110683167
-4 -3.75 29 30 37.5902499043579 0.1279460483498044
-4 -3.75 30 31 35.84000206539326 0.1299843360742703
-4 -3.75 31 32 34.14498738224827 0.1318328781102318
-4 -3.75 32 33 32.50984414839917 0.1334335605247095
-4 -3.75 33 34 30.93731142890189 0.1347600433439188
-4 -3.75 34 35 29.42869892783852 0.1358059996504265
-4 -3.75 35 36 27.98424662538318 0.1365773779112431
-4 -3.75 36 37 26.60340068333089 0.1370873582659861
-4 -3.75 37 38 25.28502545879498 0.1373530882612
-4 -3.75 38 39 24.02756654624358 0.1373935881183072
-4 -3.75 39 40 22.82917612986621 0.1372284235886118
-4 -3.75 40 41 21.68780928889167 0.1368768814435308
-4 -3.75 41 42 20.60129776082327 0.1363574749045788
-4 -3.75 42 43 19.56740626416635 0.1356876641995931
-4 -3.75 43 44 18.58387524691737 0.1348837170607181
-4 -3.75 44 45 17.64845307127845 0.1339606593142353
-4 -3.75 45 46 16.75845814203571 0.1330051399495083
-4 -3.75 46 47 15.91257629658485 0.1322828093015016
-4 -3.75 47 48 15.10824011501926 0.1318079779729557
-4 -3.75 48 49 14.34342109480681 0.1315519540198103
-4 -3.75 49 50 13.6160685846463 0.1312962610716622
-3.75 -3.5 0 1 1923.112183320404 4.206673906602799
-3.75 -3.5 1 2 -2309.999574145632 19.9161864573442
-3.75 -3.5 2 3 -2930.562363043658 14.98644438792908
-3.75 -3.5 3 4 -2041.127125994243 11.06435448950039
-3.75 -3.5 4 5 -1352.481510182911 8.496242006076306
-3.75 -3.5 5 6 -891.4765133952685 6.74517951548658
-3.75 -3.5 6 7 -587.7432662214135 5.494504349815943
-3.75 -3.5 7 8 -385.6136449903993 4.566182911528184
-3.75 -3.5 8 9 -248.9485582060865 3.855378214157149
-3.75 -3.5 9 10 -155.0718236039106 3.297418870452256
-3.75 -3.5 10 11 -89.76314428520277 2.850295394607016
-3.75 -3.5 11 12 -43.88452171622384 2.485814967206646
-3.75 -3.5 12 13 -11.46563601730918 2.184374701672582
-3.75 -3.5 13 14 11.47959897465421 1.931969409147139
-3.75 -3.5 14 15 27.66492023424121 1.718351998143601
-3.75 -3.5 15 16 38.97110220058892 1.535868600993497
-3.75 -3.5 16 17 46.72268646071916 1.378698135011364
-3.75 -3.5 17 18 51.86585646172796 1.242342427580059
-3.75 -3.5 18 19 55.08504428227752 1.123276150362073
-3.75 -3.5 19 20 56.88080278766017 1.018701355833058
-3.75 -3.5 20 21 57.62271066738737 0.9263720925252237
-3.75 -3.5 21 22 57.58588631709853 0.8444669581608101
-3.75 -3.5 22 23 56.97655488302934 0.7714950642350153
-3.75 -3.5 23 24 55.95018738117045 0.7062256846119996
-3.75 -3.5 24 25 54.6245254672009 0.6476349539468572
-3.75 -3.5 25 26 53.08903691416941 0.5948650138870245
-3.75 -3.5 26 27 51.41184901721999 0.5471923660785305
-3.75 -3.5 27 28 49.64487933136701 0.5040031159432254
-3.75 -3.5 28 29 47.82766431388973 0.4647734310069124
-3.75 -3.5 29 30 45.99023816192167 0.4290539849867195
-3.75 -3.5 30 31 44.1553126102003 0.3964574782702743
-3.75 -3.5 31 32 42.33993790973497 0.3666485527942138
-3.75 -3.5 32 33 40.55677576694262 0.3393355865937177
-3.75 -3.5 33 34 38.8150799809184 0.3142639748456259
-3.75 -3.5 34 35 37.12145543733334 0.2912105954352658
-3.75 -3.5 35 36 35.48044800071528 0.2699792244721322
-3.75 -3.5 36 37 33.8950046562974 0.250396718291218
-3.75 -3.5 37 38 32.36683358670672 0.2323098185306276
-3.75 -3.5 38 39 30.89668669559484 0.2155824653751197
-3.75 -3.5 39 40 29.48458173816559 0.2000935286873306
-3.75 -3.5 40 41 28.12997730976298 0.1857348831641539
-3.75 -3.5 41 42 26.83191076709073 0.1724097701340355
-3.75 -3.5 42 43 25.58910704980362 0.1600313965410276
-3.75 -3.5 43 44 24.40006449105204 0.1485217337829204
-3.75 -3.5 44 45 23.26312242308695 0.1378104840108852
-3.75 -3.5 45 46 22.17588846769294 0.1279461940364878
-3.75 -3.5 46 47 21.13771968584155 0.1193115662609194
-3.75 -3.5 47 48 20.14612640441236 0.1119689042514144
-3.75 -3.5 48 49 19.19924711045667 0.1059094158307025
-3.75 -3.5 49 50 18.29513195379245 0.1007221090662957
-3.5 -3.25 0 1 2991.062616333186 0.8932370576329183
-3.5 -3.25 1 2 -1880.720257416649 12.85766611436992
-3.5 -3.25 2 3 -3356.127848004518 12.91503697024108
-3.5 -3.25 3 4 -2465.99218212387 10.3397489969818
-3.5 -3.25 4 5 -1691.573411626749 8.296060072463836
-3.5 -3.25 5 6 -1150.56265870978 6.785524001402474
-3.5 -3.25 6 7 -784.2451489528116 5.654498000658499
-3.5 -3.25 7 8 -535.0333036632489 4.787450120641811
-3.5 -3.25 8 9 -363.1408861700252 4.107281729473376
-3.5 -3.25 9 10 -242.7572361462362 3.562998860057204
-3.5 -3.25 10 11 -157.3292071299143 3.119796184234669
-3.5 -3.25 11 12 -96.02870176347619 2.753520650590779
-3.5 -3.25 12 13 -51.67694638570811 2.446921720267206
-3.5 -3.25 13 14 -19.41892406493957 2.187409388393845
-3.5 -3.25 14 15 4.089731793639203 1.965608095495943
-3.5 -3.25 15 16 21.19261542394463 1.774409414638798
-3.5 -3.25 16 17 33.55789063665702 1.608336703784574
-3.5 -3.25 17 18 42.38976882581335 1.463109550038165
-3.5 -3.25 18 19 48.56852930582977 1.33533911482538
-3.5 -3.25 19 20 52.74487575160651 1.222311092225644
-3.5 -3.25 20 21 55.40457919740879 1.121828476722922
-3.5 -3.25 21 22 56.91344669797195 1.032095907763188
-3.5 -3.25 22 23 57.54904716027579 0.9516334025732052
-3.5 -3.25 23 24 57.52338537100951 0.8792111832519425
-3.5 -3.25 24 25 56.9993003429513 0.8137998589768933
-3.5 -3.25 25 26 56.10245475966741 0.7545319325557936
-3.5 -3.25 26 27 54.9301890415789 0.7006717588292347
-3.5 -3.25 27 28 53.55812030344902 0.6515918817225198
-3.5 -3.25 28 29 52.04510233680014 0.6067542353534038
-3.5 -3.25 29 30 50.43698272013137 0.5656950894245574
-3.5 -3.25 30 31 48.76946921347684 0.5280129036735217
-3.5 -3.25 31 32 47.07033101168361 0.4933584602520572
-3.5 -3.25 32 33 45.36109943306332 0.4614267949603672
-3.5 -3.25 33 34 43.65838917447746 0.4319505586638287
-3.5 -3.25 34 35 41.9749300046841 0.4046945240791129
-3.5 -3.25 35 36 40.32037609932638 0.3794510156236252
-3.5 -3.25 36 37 38.70194360657356 0.3560360876448502
-3.5 -3.25 37 38 37.12491482729382 0.3342863132206708
-3.5 -3.25 38 39 35.59303827429568 0.3140560734864883
-3.5 -3.25 39 40 34.10884704720362 0.2952152597160485
-3.5 -3.25 40 41 32.67391294104024 0.2776473169942401
-3.5 -3.25 41 42 31.28904962201727 0.2612475725429091
-3.5 -3.25 42 43 29.95447546885092 0.2459218018367756
-3.5 -3.25 43 44 28.6699442293656 0.2315849941156214
-3.5 -3.25 44 45 27.43484997382544 0.2181602864118461
-3.5 -3.25 45 46 26.24755627875606 0.2056671592786697
-3.5 -3.25 46 47 25.10842560343443 0.1943849042796468
-3.5 -3.25 47 48 24.01545578091641 0.1843305837132489
-3.5 -3.25 48 49 22.96730047388982 0.1754692436174902
-3.5 -3.25 49 50 21.9624394774512 0.1674551371906852
-3.25 -3 0 1 4013.779899227413 3.6388525009209
