#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 2486.486487426989 14.45273187572364
-5 -4 1 2 -3630.700554744211 6.16454237687695
-5 -4 2 3 -9751.045468928936 20.71333446161878
-5 -4 3 4 4008.279900735369 22.4258007143344
-5 -4 4 5 1271.54266001218 12.68339064074303
-5 -4 5 6 -3602.180526759073 6.582378987805866
-5 -4 6 7 -287.7163244163685 6.500697182458485
-5 -4 7 8 474.0911154278481 7.671565419238931
-5 -4 8 9 -50.32543180605194 4.071599037712312
-5 -4 9 10 -121.2853485070713 3.483087065987418
-5 -4 10 11 -11.92931107227594 2.7776170187693
-5 -4 11 12 15.24520005760564 2.297714874947228
-5 -4 12 13 39.48898712711002 3.338270060973984
-5 -4 13 14 82.74537169923678 2.743567962162896
-5 -4 14 15 30.07298021271009 0.9947488292778135
-5 -4 15 16 79.24474797925023 2.145235502534474
-5 -4 16 17 58.75281563005001 0.9882585629768256
-5 -4 17 18 48.62832414444057 2.440976629574232
-5 -4 18 19 70.10811908416167 1.478532333818751
-5 -4 19 20 54.56655313649821 1.754769945640746
-5 -4 20 21 57.04703899592693 1.671038423550553
-5 -4 21 22 54.66050970200155 0.6406155093855953
-5 -4 22 23 57.10956567450896 1.092475599968319
-5 -4 23 24 50.03362141930606 1.149610901587439
-5 -4 24 25 40.78235870132735 0.9063453592054527
-5 -4 25 26 55.41675704262013 1.128231602241001
-5 -4 26 27 53.16020232726564 0.4130937447123008
-5 -4 27 28 36.37569677247001 0.5125791586064572
-5 -4 28 29 37.72389828180832 0.991922163376704
-5 -4 29 30 41.84171977283505 0.903171935199848
-5 -4 30 31 40.9023714886991 0.1415693468487918
-5 -4 31 32 31.68892389245819 0.4768274360741819
-5 -4 32 33 32.36757176254822 0.3251454688546265
-5 -4 33 34 32.87445240251796 0.698549054886327
-5 -4 34 35 30.60060006008736 0.1151910729501432
-5 -4 35 36 29.02443682001707 0.1744675102367216
-5 -4 36 37 27.6381523244231 0.1556897258834123
-5 -4 37 38 26.32841026182609 0.1498747131225964
-5 -4 38 39 25.09824030968534 0.1462661656739058
-5 -4 39 40 23.93762365828294 0.1394825357019065
-5 -4 40 41 22.83462803184597 0.1300001774705803
-5 -4 41 42 21.78201554634847 0.1204898451245844
-5 -4 42 43 20.77759697575382 0.1128018903242939
-5 -4 43 44 19.82156456927584 0.1072280276604898
-5 -4 44 45 18.9139657846884 0.1030975801749474
-5 -4 45 46 18.17988296299539 0.1139288472089137
-5 -4 46 47 17.14537090608471 0.1862065572713064
-5 -4 47 48 16.41334686670682 0.1526300583376135
-5 -4 48 49 15.72742671264848 0.1007241565541137
-5 -4 49 50 15.02732596910112 0.1025675497720895
-4 -3.75 0 1 1060.352883754828 2.887533967978597
-4 -3.75 1 2 -2452.933861893769 0.837007286531008
-4 -3.75 2 3 -2464.309115782427 15.55622894308892
-4 -3.75 3 4 -1649.585541557326 9.14274712986672
-4 -3.75 4 5 -1073.276686357265 5.989663908846401
-4 -3.75 5 6 -700.4755982330139 4.182283850180933
-4 -3.75 6 7 -459.3934545603931 3.043988501008897
-4 -3.75 7 8 -300.8102248083496 2.279803056818225
-4 -3.75 8 9 -194.3900991890275 1.742461597414386
-4 -3.75 9 10 -121.6352644828326 1.351470459892202
-4 -3.75 10 11 -71.14938225553362 1.059290619931456
-4 -3.75 11 12 -35.70927184781431 0.8365125969694825
-4 -3.75 12 13 -10.64102099428135 0.6640595559956919
-4 -3.75 13 14 7.152448780183704 0.5291695368042623
