#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 -1160.127665244996 4.321816159900454
-5 -4 1 2 -4805.963961613941 8.495912331654429
-5 -4 2 3 -2768.560538212993 9.291127023299367
-5 -4 3 4 -1554.441725452812 4.278807515664441
-5 -4 4 5 -886.1680855637405 4.751272631361086
-5 -4 5 6 -499.4537494950473 7.914418699062681
-5 -4 6 7 -270.7197514686413 5.666360054648519
-5 -4 7 8 -136.5531580621571 1.958425645371298
-5 -4 8 9 -56.42114777205211 3.015077669377949
-5 -4 9 10 11.48051396638311 5.386324813977681
-5 -4 10 11 25.20263264968332 1.277041706366662
-5 -4 11 12 71.38005585690155 1.039959440042191
-5 -4 12 13 67.9346154081253 1.945273033229334
-5 -4 13 14 72.49235167084976 2.041202588112522
-5 -4 14 15 99.76115824115897 1.966221291394553
-5 -4 15 16 75.15431532000014 1.3289469065266
-5 -4 16 17 83.57153528594347 1.830770669247632
-5 -4 17 18 121.7432200630178 1.651204460638704
-5 -4 18 19 77.51276758552103 0.4339041856282374
-5 -4 19 20 76.75935369120685 1.945092739076811
-5 -4 20 21 85.41697775954205 0.3827862870128336
-5 -4 21 22 75.23389835909026 1.71646058502409
-5 -4 22 23 64.47491795946354 1.581588637707805
-5 -4 23 24 71.63255901951723 0.3261873394027255
-5 -4 24 25 69.98875694370926 0.7751565792397876
-5 -4 25 26 61.59809523831242 1.25183198084184
-5 -4 26 27 57.58115766160205 1.065367858645303
-5 -4 27 28 58.36675168235254 0.8170284775942082
-5 -4 28 29 56.1963135187188 0.2478223667959839
-5 -4 29 30 53.62811093065051 0.1538418472490495
-5 -4 30 31 51.18439791451537 0.209805446044831
-5 -4 31 32 48.97242724324632 0.289492422714809
-5 -4 32 33 46.91719294135969 0.2896606086835302
-5 -4 33 34 44.92599588036254 0.2419048827369039
-5 -4 34 35 42.98087102371699 0.2040813274950428
-5 -4 35 36 41.11386626834783 0.1938002130258533
-5 -4 36 37 39.35345089643005 0.1988908786235338
-5 -4 37 38 37.70212160776167 0.2031922897506727
-5 -4 38 39 36.14467409453285 0.1997220925890935
-5 -4 39 40 34.66405375260876 0.1903652454221439
