#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 -1618.252297059635 2.620493017201157
-5 -4 1 2 -4916.386422594196 7.715178120415723
-5 -4 2 3 -2528.521177713166 5.394969854184517
-5 -4 3 4 -1307.010373657934 3.90919755977849
-5 -4 4 5 -675.6459626683416 2.867027138963761
-5 -4 5 6 -331.8061171798161 2.15498742544777
-5 -4 6 7 -137.904241347667 1.674655789502806
-5 -4 7 8 -26.01837676106425 1.346618926259691
-5 -4 8 9 39.232825062139 1.116908576829352
-5 -4 9 10 77.06543675399212 0.9510064254037874
-5 -4 10 11 98.3217607140075 0.8270932759561557
-5 -4 11 12 109.3578828147586 0.7315446418604494
-5 -4 12 13 114.0091657439345 0.6556253309286015
-5 -4 13 14 114.6507521569922 0.593686352939642
-5 -4 14 15 112.7851299323228 0.541983946697192
-5 -4 15 16 109.3788369523023 0.4979789691802459
-5 -4 16 17 105.0614394452825 0.4599086131156448
-5 -4 17 18 100.246328043489 0.4265205666792088
-5 -4 18 19 95.20583235927461 0.3969051053158933
-5 -4 19 20 90.11893185994614 0.3703870889151626
-5 -4 20 21 85.10213055119675 0.3464552017709237
-5 -4 21 22 80.22976354254035 0.3247147372371843
-5 -4 22 23 75.54754141731914 0.3048555248948596
-5 -4 23 24 71.08169320880666 0.2866297619007592
-5 -4 24 25 66.84520069586074 0.2698364304520079
-5 -4 25 26 62.84208446856474 0.2543101684868635
-5 -4 26 27 59.07036948158286 0.239913196234446
-5 -4 27 28 55.52414616361173 0.2265293735669794
-5 -4 28 29 52.1950064337949 0.2140597634098677
-5 -4 29 30 49.07304430992045 0.2024192755977789
-5 -4 30 31 46.14755128199791 0.1915340945115723
-5 -4 31 32 43.40749658738872 0.1813396850629678
-5 -4 32 33 40.84185532304869 0.1717792275787563
-5 -4 33 34 38.43982866049519 0.1628023769905136
-5 -4 34 35 36.19098750034822 0.1543642691057246
-5 -4 35 36 34.08536185223164 0.1464247157142704
-5 -4 36 37 32.11349187636711 0.138947548980268
-5 -4 37 38 30.26645201927556 0.1319000801300671
-5 -4 38 39 28.53585645374985 0.125252651188616
-5 -4 39 40 26.91385172838872 0.1189782593478276
-5 -4 40 41 25.39310090098488 0.1130522410021621
-5 -4 41 42 23.96676219665268 0.1074520034279611
-5 -4 42 43 22.62846436185487 0.1021567957898754
-5 -4 43 44 21.372280315722 0.09714751279007992
-5 -4 44 45 20.19270014417458 0.09240652448940091
-5 -4 45 46 19.08417958228986 0.08821137660538074
-5 -4 46 47 18.04254458741371 0.08560290735623556
