#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 50 51 12.92204473603178 0.0119540799821306
-5 -4 51 52 12.25118406561075 0.0113891370441135
-5 -4 52 53 11.617420188687 0.01100734009965224
-5 -4 53 54 11.01859326287912 0.01051583155392241
-5 -4 54 55 10.45253213536515 0.0100096482035544
-5 -4 55 56 9.917197442860035 0.009633050579871292
-5 -4 56 57 9.410838339931811 0.009211080013892708
-5 -4 57 58 8.931703216407417 0.008819361489926283
-5 -4 58 59 8.478197190481685 0.008462210060289542
-5 -4 59 60 8.048847154844491 0.008099929712344236
-5 -4 60 61 7.642240150260374 0.007766873729820817
-5 -4 61 62 7.257073761049266 0.00744508875543539
-5 -4 62 63 6.892112922688148 0.007135900469747574
-5 -4 63 64 6.546193778302598 0.006841749237518324
-5 -4 64 65 6.218215167552043 0.006560301725384124
-5 -4 65 66 5.907127165501318 0.006290959469643561
-5 -4 66 67 5.611907946378004 0.006030898781575833
-5 -4 67 68 5.331463969628762 0.005776911161172854
-5 -4 68 69 5.064424877423706 0.005528715561081828
-5 -4 69 70 4.809030158679069 0.005286477860013499
-5 -4 70 71 4.561526925912668 0.002443003066638552
-5 -4 71 72 4.326175905347323 0.002334114210598429
-5 -4 72 73 4.100122109082154 0.002228138360158879
-5 -4 73 74 3.883110531784485 0.002125056507885793
-5 -4 74 75 3.674919995912962 0.002024991540947937
-5 -4 75 76 3.475342481898356 0.001927989375909541
-5 -4 76 77 3.284174362926976 0.001833910914155545
-5 -4 77 78 3.101211884743592 0.001742896820044851
-5 -4 78 79 2.926250654097936 0.001654925715823955
-5 -4 79 80 2.759744935011536 0.001577075226827506
-5 -4 80 81 2.600021767462382 0.001485350095191602
-5 -4 81 82 2.447268167759094 0.001447059187225915
-5 -4 82 83 2.302217145808988 0.001348996066054918
-5 -4 83 84 2.164107985531063 0.001262478275245163
-5 -4 84 85 2.033111263702228 0.0011707751910376
-5 -4 85 86 1.908214341889561 0.001104794342334072
-5 -4 86 87 1.789607147562817 0.001041580232817303
-5 -4 87 88 1.677079151832644 0.0009790734192939084
-5 -4 88 89 1.577666215059615 0.0006455588643715605
-5 -4 89 90 1.469785843529848 0.0004364904462817643
-5 -4 90 91 1.374038297182703 0.0004190425188628147
-5 -4 91 92 1.283616781455996 0.0003957369278543066
-5 -4 92 93 1.198194154449484 0.0003614697893394453
-5 -4 93 94 1.11758603197528 0.0003570629553722674
-5 -4 94 95 1.036938148817313 0.0004294681061269203
-5 -4 95 96 0.9698571973662236 0.0003139152287866097
-5 -4 96 97 0.9024655547181415 0.0002929357911487996
-5 -4 97 98 0.8389613741239275 0.0002618085546078723
-5 -4 98 99 0.779423963891375 0.0001506437698780845
-5 -4 99 100 0.7235343084848198 0.000139996138574484
-4 -3.75 50 51 14.87631351233988 0.00116687321171996
-4 -3.75 51 52 14.17517893868917 0.001139928782741492
-4 -3.75 52 53 13.50927066533129 0.001088640614061582
-4 -3.75 53 54 12.87663194497563 0.001086235479572472
-4 -3.75 54 55 12.27551126267662 0.001036319815270373
-4 -3.75 55 56 11.70425521828923 0.0009914100126529228
-4 -3.75 56 57 11.16138864334469 0.02036531335574453
-4 -3.75 57 58 10.64502560493971 0.02238583775204762
-4 -3.75 58 59 10.15403848597024 0.020696194404738
-4 -3.75 59 60 9.687074113858205 0.01944138191168027
-4 -3.75 60 61 9.242832728155673 0.0182720673433397
-4 -3.75 61 62 8.820044359252925 0.01677283771132863
-4 -3.75 62 63 8.417626528727766 0.01500003638483814
-4 -3.75 63 64 8.03446712015799 0.0133469411511499
-4 -3.75 64 65 7.669515331226815 0.01205797196663659
-4 -3.75 65 66 7.321745923000892 0.01072696351801631
-4 -3.75 66 67 6.990126242009266 0.009499484716116585
-4 -3.75 67 68 6.673534422985128 0.008348068167997949
-4 -3.75 68 69 6.370471639944254 0.007287496511939284
-4 -3.75 69 70 6.073660275250333 0.005514660492765947
-4 -3.75 70 71 5.795784320702186 0.003309180596461206
-4 -3.75 71 72 5.523651971401458 0.005784961151089665
-4 -3.75 72 73 5.263699023408805 0.004349025001550668
