#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 -1004.027012754563 0.01495181914260026
-5 -4 1 2 -4421.745619365322 0.07771968243329413
-5 -4 2 3 -2544.954541953794 0.07100020714251148
-5 -4 3 4 -1395.552559392609 0.0708533788860667
-5 -4 4 5 -769.3863589441203 0.05431193393912322
-5 -4 5 6 -417.245620581718 0.05554601984654987
-5 -4 6 7 -213.2919940169563 0.04421058987795751
-5 -4 7 8 -91.69699449799828 0.03857473302347744
-5 -4 8 9 -18.02296845789726 0.02109518407996158
-5 -4 9 10 26.95152709616104 0.025429874368577
-5 -4 10 11 54.25504366308553 0.02884514855692816
-5 -4 11 12 70.43848466031181 0.01963952053268802
-5 -4 12 13 79.46970042510929 0.01930981486577372
-5 -4 13 14 83.86876529021731 0.01880649432130659
-5 -4 14 15 85.24546673222557 0.0181766910118536
-5 -4 15 16 84.64535604370951 0.01203440053377899
-5 -4 16 17 82.78243665913226 0.01128967765572434
-5 -4 17 18 80.11899586306862 0.0105971876658824
-5 -4 18 19 76.97327522648783 0.009953086354196332
-5 -4 19 20 73.56191381828961 0.00935394872668426
-5 -4 20 21 70.03251060919939 0.008796583229167924
-5 -4 21 22 66.48524148931523 0.008277972768618211
-5 -4 22 23 62.98742499706444 0.007795263485928025
-5 -4 23 24 59.58346558213063 0.007345767903009786
-5 -4 24 25 56.30171882212909 0.00692696955615833
-5 -4 25 26 53.16177593107005 0.005374124868199542
-5 -4 26 27 50.16781106305572 0.005154745869073218
-5 -4 27 28 47.32602421042975 0.004943411536048864
-5 -4 28 29 44.63628000186564 0.004740381687245107
-5 -4 29 30 42.0958360919072 0.00454572653996682
-5 -4 30 31 39.70021151986504 0.004359382052579572
-5 -4 31 32 37.44380930282018 0.004181190460952294
-5 -4 32 33 35.32036224932541 0.004010930071150218
-5 -4 33 34 33.3232510078771 0.003848337104897025
-5 -4 34 35 31.44395320127252 0.001538903336136061
-5 -4 35 36 29.67938129632602 0.001466802505379183
-5 -4 36 37 28.02110554608219 0.001398525454602296
-5 -4 37 38 26.46276395225507 0.001333860533328982
-5 -4 38 39 24.9982544246007 0.001272604573883258
-5 -4 39 40 23.62176282765412 0.001214563672683552
-5 -4 40 41 22.32777740782706 0.001159553639871847
-5 -4 41 42 21.11109345853307 0.001107400011924346
-5 -4 42 43 19.96681108752767 0.00105793806134444
-5 -4 43 44 18.89032823125743 0.001011012464317055
-5 -4 44 45 17.87733043721952 0.000966477103461648
-5 -4 45 46 16.92338759935322 0.0009241892563352268
-5 -4 46 47 16.02536349343023 0.0008840352804725293
-5 -4 47 48 15.17913490070021 0.0008458940146681027
-5 -4 48 49 14.38127889291447 0.0008095973269344112
-5 -4 49 50 13.6286285157736 0.0007751229963870003
-4 -3.75 0 1 -318.841542376693 0.001474243671287868
-4 -3.75 1 2 -4013.30145487045 0.1424595681748784
-4 -3.75 2 3 -2800.512879298937 0.1062628125180785
-4 -3.75 3 4 -1710.973118853438 0.0782062525890781
-4 -3.75 4 5 -1047.696861435513 0.05988204193589718
-4 -3.75 5 6 -645.7076916028241 0.04739587300286252
-4 -3.75 6 7 -396.604132906202 0.03848183342173574
-4 -3.75 7 8 -238.3453152503539 0.03186890424018651
-4 -3.75 8 9 -135.5608056281374 0.02680970547196772
-4 -3.75 9 10 -67.62047386571749 0.02284233911009959
-4 -3.75 10 11 -22.19249514058754 0.01966682763604135
-4 -3.75 11 12 8.358595986039631 0.01708189922884442
-4 -3.75 12 13 28.87725727407917 0.01494747533471926
-4 -3.75 13 14 42.5175920458754 0.01316346660913961
-4 -3.75 14 15 51.37932064137374 0.01165661986551826
-4 -3.75 15 16 56.88774286608231 0.01037220430877596
-4 -3.75 16 17 60.026842680919 0.009268583401602396
-4 -3.75 17 18 61.48586353965192 0.008313574508826971
-4 -3.75 18 19 61.75358490986986 0.007481949039621236
-4 -3.75 19 20 61.18022290425733 0.006753679247853609
-4 -3.75 20 21 60.01883792330045 0.006112685341237992
-4 -3.75 21 22 58.45350318905099 0.005545924856272371
-4 -3.75 22 23 56.61875930871534 0.005042720593450939
-4 -3.75 23 24 54.61323500753721 0.004594257710081834
-4 -3.75 24 25 52.50930130186961 0.004193202589663443
-4 -3.75 25 26 50.35999039618994 0.003833410653907532
-4 -3.75 26 27 48.20400397455646 0.003509699952232576
-4 -3.75 27 28 46.06937113123035 0.003217674008650515
-4 -3.75 28 29 43.97614161522108 0.002953581939326448
-4 -3.75 29 30 41.93838308261309 0.002714207073803071
-4 -3.75 30 31 39.96567168951788 0.00249677756856669
-4 -3.75 31 32 38.06421080127213 0.002298894159033228
-4 -3.75 32 33 36.23767467057802 0.002118471352845551
-4 -3.75 33 34 34.48784731800758 0.001953689265186639
-4 -3.75 34 35 32.81510795791999 0.001802953933444341
-4 -3.75 35 36 31.21880078085232 0.001664864431667178
-4 -3.75 36 37 29.69751713988506 0.00153818547577904
-4 -3.75 37 38 28.24931109218075 0.001421824492830997
-4 -3.75 38 39 26.87186401810524 0.001314812327944325
-4 -3.75 39 40 25.56261018990369 0.001216286948739597
-4 -3.75 40 41 24.31883233813775 0.001125479615838535
-4 -3.75 41 42 23.13773405884131 0.00104170310138871
-4 -3.75 42 43 22.01649434503866 0.0009643416170175749
-4 -3.75 43 44 20.95230831003423 0.0008928421669017906
-4 -3.75 44 45 19.94241719949151 0.0008267071020452505
-4 -3.75 45 46 18.98369037365916 0.001345807291588069
-4 -3.75 46 47 18.07435249103101 0.001307033335697473
-4 -3.75 47 48 17.21136141733221 0.001268519408919742
-4 -3.75 48 49 16.39221664987323 0.001475516083969559
-4 -3.75 49 50 15.61464318523353 0.001192587395852093
-3.75 -3.5 0 1 193.977764374871 0.001653591245533104
-3.75 -3.5 1 2 -4679.497642735812 0.04554129956982492
-3.75 -3.5 2 3 -3697.903782974037 0.006173200581519037
-3.75 -3.5 3 4 -2379.228360532212 0.01433728423002738
-3.75 -3.5 4 5 -1521.478257226597 0.01551180013808189
-3.75 -3.5 5 6 -981.0920746450015 0.01491141579301375
-3.75 -3.5 6 7 -635.9777012083912 0.01384230097314357
-3.75 -3.5 7 8 -410.7000773349428 0.01270331517363773
-3.75 -3.5 8 9 -260.4552556454755 0.01161994920861606
-3.75 -3.5 9 10 -158.3628546534076 0.01063392256294923
-3.75 -3.5 10 11 -88.00249545255315 0.00974894234641434
-3.75 -3.5 11 12 -39.01145484228073 0.008959182840619499
-3.75 -3.5 12 13 -4.704739656838683 0.008254862295095053
-3.75 -3.5 13 14 19.33778608561897 0.00762572826178244
-3.75 -3.5 14 15 36.10224946552228 0.00706223969607542
-3.75 -3.5 15 16 47.64502457492131 0.006555940293158705
-3.75 -3.5 16 17 55.40635994219383 0.006099500275381499
-3.75 -3.5 17 18 60.41002996047052 0.005686629918249552
-3.75 -3.5 18 19 63.39321433284704 0.00531195240186283
-3.75 -3.5 19 20 64.89268893732083 0.004970872983225405
-3.75 -3.5 20 21 65.30307272225167 0.004659459067918276
-3.75 -3.5 21 22 64.91684530752889 0.004374335762311508
-3.75 -3.5 22 23 63.95225504186726 0.004112597234111706
-3.75 -3.5 23 24 62.57304800749159 0.003871732453321549
-3.75 -3.5 24 25 60.902588045024 0.003649563377078412
-3.75 -3.5 25 26 59.03407628333724 0.003444193629026074
-3.75 -3.5 26 27 57.03802341623253 0.003253965863196776
-3.75 -3.5 27 28 54.96776413401597 0.003077426329208446
-3.75 -3.5 28 29 52.86356118468643 0.002913295318776919
-3.75 -3.5 29 30 50.75568327607104 0.002760442462154044
-3.75 -3.5 30 31 48.66672952733109 0.00261786600807808
-3.75 -3.5 31 32 46.61339600580689 0.0024846753803047
-3.75 -3.5 32 33 44.60782589840215 0.00236007644218778
-3.75 -3.5 33 34 42.6586467228405 0.002243359001152741
-3.75 -3.5 34 35 40.77177073564036 0.002133886180151666
-3.75 -3.5 35 36 38.9510143231999 0.005685112221290145
-3.75 -3.5 36 37 37.19858328654072 0.005224572963299576
-3.75 -3.5 37 38 35.51544353124687 0.004805186375657071
-3.75 -3.5 38 39 33.90161857358959 0.004422994367397343
-3.75 -3.5 39 40 32.35642153621973 0.004880306572042846
-3.75 -3.5 40 41 30.87862283783275 0.004463499125475746
-3.75 -3.5 41 42 29.46661077788703 0.00408354152616043
-3.75 -3.5 42 43 28.11848916156903 0.003736952211605716
-3.75 -3.5 43 44 26.83216743276357 0.003420610841459132
-3.75 -3.5 44 45 25.60542845776456 0.003131715990771346
-3.75 -3.5 45 46 24.43538039828924 0.002938739677522425
-3.75 -3.5 46 47 23.32086849780141 0.002949296866157405
-3.75 -3.5 47 48 22.25882990021054 0.002504248440828121
-3.75 -3.5 48 49 21.24695253442331 0.001693926915111901
-3.75 -3.5 49 50 20.2829394353659 0.001643641877503303
-3.5 -3.25 0 1 859.9709782661887 0.0154667512364995
-3.5 -3.25 1 2 -4867.114339058435 0.02961686033702726
-3.5 -3.25 2 3 -4349.174031396382 0.01038279849561152
-3.5 -3.25 3 4 -2916.585519719141 0.01612413975144948
-3.5 -3.25 4 5 -1925.343595111502 0.01624736290980338
-3.5 -3.25 5 6 -1280.679885461616 0.0151121698634839
-3.5 -3.25 6 7 -859.198714827276 0.01374587604078674
-3.5 -3.25 7 8 -578.43413438844 0.01243141332392641
-3.5 -3.25 8 9 -387.5636011566739 0.01124510967291819
-3.5 -3.25 9 10 -255.3581957723363 0.01019561911825639
-3.5 -3.25 10 11 -162.3935190269815 0.009273908724132116
-3.5 -3.25 11 12 -96.2266624389556 0.008464265173202843
-3.5 -3.25 12 13 -48.72550883316785 0.007751191755666464
-3.5 -3.25 13 14 -14.4493137875188 0.007120776945055583
-3.5 -3.25 14 15 10.31828986083485 0.006561069160178407
-3.5 -3.25 15 16 28.16376439351313 0.006061986620328147
-3.5 -3.25 16 17 40.91750889775585 0.005615082400161286
-3.5 -3.25 17 18 49.89418008532493 0.005213287048026306
-3.5 -3.25 18 19 56.05042200721755 0.004850672814290302
-3.5 -3.25 19 20 60.09040337582178 0.004522252040637921
-3.5 -3.25 20 21 62.53769394140102 0.004223810083920937
