#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 50 51 10.92455797232901 0.01434173715153516
-5 -4 51 52 10.28231736971622 0.01358713893166286
-5 -4 52 53 9.678685939082481 0.01319024549684984
-5 -4 53 54 9.11105295648127 0.01257724713710717
-5 -4 54 55 8.57714687174883 0.01167816665260051
-5 -4 55 56 8.074865959092392 0.01063766317904068
-5 -4 56 57 7.60215838599945 0.009827992723841064
-5 -4 57 58 7.157204186364128 0.009281289403166389
-5 -4 58 59 6.738287460902413 0.008814696000520346
-5 -4 59 60 6.343786495502137 0.008245407928192791
-5 -4 60 61 5.972219481862929 0.007686163158283221
-5 -4 61 62 5.622177747227367 0.007266556017566483
-5 -4 62 63 5.292348232586761 0.006841271394324755
-5 -4 63 64 4.981499929342116 0.006445226736761489
-5 -4 64 65 4.688469333108638 0.006082054802822262
-5 -4 65 66 4.41215604159491 0.005746212339899998
-5 -4 66 67 4.151503807470903 0.005432840008944595
-5 -4 67 68 3.905439336979812 0.005135763332577842
-5 -4 68 69 3.67272457543121 0.004855723278007948
-5 -4 69 70 3.451876903455403 0.004591028542346277
-5 -4 70 71 3.241740550100595 0.004341094312391672
-5 -4 71 72 3.041691192586836 0.004102941622729302
-5 -4 72 73 2.851321630069929 0.00387775027384496
-5 -4 73 74 2.670295995136576 0.003665549477988268
-5 -4 74 75 2.498305392143027 0.003458885018577872
-5 -4 75 76 2.335053369381849 0.00326839931574877
-5 -4 76 77 2.178780158915873 0.001488185865473848
-5 -4 77 78 2.032219708108607 0.001404156048690384
-5 -4 78 79 1.893531255391617 0.001322671722839784
-5 -4 79 80 1.76361517293203 0.001288590350490288
-5 -4 80 81 1.639608039620632 0.001335248588574783
-5 -4 81 82 1.521826624504756 0.001363378978536676
-5 -4 82 83 1.411810515285373 0.001214310882328531
-5 -4 83 84 1.308269048701084 0.00108883207564348
-5 -4 84 85 1.21092995707559 0.0009837696521700983
-5 -4 85 86 1.119525162406114 0.0008944157032400022
-5 -4 86 87 1.033791262516671 0.0008180654525167621
-5 -4 87 88 0.9534698832302986 0.0007522051807569112
-5 -4 88 89 0.8783077644771101 0.0006948153781227146
-5 -4 89 90 0.808056827887263 0.0006480188430402786
-5 -4 90 91 0.7424748825723588 0.0006037998259461448
