#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 50 51 21.39991352526479 0.01375608139100604
-5 -4 51 52 20.47871043449929 0.01330689520158744
-5 -4 52 53 19.60235290092488 0.01289472832619247
-5 -4 53 54 18.76828181294463 0.01248232744198086
-5 -4 54 55 17.97399308062979 0.0120928759599159
-5 -4 55 56 17.21717867635758 0.01172179331041987
-5 -4 56 57 16.49578128342979 0.01136035612800938
-5 -4 57 58 15.80782067359659 0.01101291921525836
-5 -4 58 59 15.15147847854971 0.01067981347776223
-5 -4 59 60 14.52506240517168 0.010359368666215
-5 -4 60 61 13.93378818901578 0.0050211503222506
-5 -4 61 62 13.36217130603483 0.004878846197008382
-5 -4 62 63 12.81639263993522 0.004724056119045436
-5 -4 63 64 12.29449054604738 0.004583425898149141
-5 -4 64 65 11.79539593509355 0.004461278237519134
-5 -4 65 66 11.31744410517739 0.00434975286821375
-5 -4 66 67 10.86036736940332 0.004204906763470871
-5 -4 67 68 10.42224978107058 0.004171954745981523
-5 -4 68 69 10.00103208348612 0.004232714205367668
-5 -4 69 70 9.590870279572277 0.002174088099040364
-5 -4 70 71 9.195531330655841 0.002104214134117364
-5 -4 71 72 8.811129300141598 0.002034653887216947
-5 -4 72 73 8.43736496664353 0.001965594067545207
-5 -4 73 74 8.074110959593959 0.001897166757423959
-5 -4 74 75 7.720487969713533 0.001176624894711134
-5 -4 75 76 7.37810060622108 0.001133215353843613
-5 -4 76 77 7.046061745798757 0.001090386478339609
-5 -4 77 78 6.723959118881643 0.0008398356514413707
-5 -4 78 79 6.412644424943377 0.0007474874871024708
-5 -4 79 80 6.111191976685416 0.000696868523189427
-5 -4 80 81 5.820067257835648 0.0006864129641913236
-5 -4 81 82 5.538651088685851 0.0007088632318158261
-5 -4 82 83 5.263564780198291 0.003664485547121539
-5 -4 83 84 5.002345855205001 0.0009564647333761317
-5 -4 84 85 4.754048010078423 0.003399174771596914
-5 -4 85 86 4.511997594197569 0.003074130979976869
-5 -4 86 87 4.278727973255376 0.002685229413020422
-5 -4 87 88 4.054612119027265 0.002318317331155813
-5 -4 88 89 3.839471082131337 0.001972132517269065
-5 -4 89 90 3.633122826795468 0.001650430518132236
-5 -4 90 91 3.4353784587137 0.001358623060368929
-5 -4 91 92 3.246806203303347 0.001716410267154564
-5 -4 92 93 3.06563599017952 0.001535286186023139
-5 -4 93 94 2.892465585083294 0.001415072730782068
-5 -4 94 95 2.727083498027163 0.001339969020670952
-5 -4 95 96 2.569274606928996 0.001267652614010186
-5 -4 96 97 2.418820894186657 0.001198103156355946
-5 -4 97 98 2.275502153753645 0.001178382210163341
-5 -4 98 99 2.139096667603538 0.001171785003045809
-5 -4 99 100 2.009381850807887 0.001169725982842701
-4 -3.75 50 51 25.01136004473796 0.0008727023137477518
-4 -3.75 51 52 24.05094928465462 0.0009135052675785639
-4 -3.75 52 53 23.13293216913628 0.001301780825331369
-4 -3.75 53 54 22.25499552542736 0.001361854998055824
-4 -3.75 54 55 21.41515496183153 0.00101043455908151
-4 -3.75 55 56 20.61154594836999 0.0005989875775030243
-4 -3.75 56 57 19.84225219838984 0.0006202988016839727
-4 -3.75 57 58 19.10560663916623 0.0006328061108328206
-4 -3.75 58 59 18.39999154514721 0.0006377126674859929
-4 -3.75 59 60 17.72384042619687 0.0006489699515985076
-4 -3.75 60 61 17.07572311725242 0.0006518435977945096
-4 -3.75 61 62 16.4542378451809 0.0006525240873385916
-4 -3.75 62 63 15.85805894287259 0.0006560281493666243
-4 -3.75 63 64 15.28591408095681 0.0006543495645337709
-4 -3.75 64 65 14.73644022698389 0.006145463659615824
-4 -3.75 65 66 14.20862145406232 0.005302643540563397
-4 -3.75 66 67 13.70103752299549 0.004525513610680457
-4 -3.75 67 68 13.21242658010941 0.0124712214911128
-4 -3.75 68 69 12.73983902803183 0.0110089738772667
-4 -3.75 69 70 12.28004318145088 0.009649698884648904
-4 -3.75 70 71 11.83238999175042 0.008310432851324663
-4 -3.75 71 72 11.39141538663539 0.007188860830372161
-4 -3.75 72 73 10.95218625394398 0.005536291268583065
-4 -3.75 73 74 10.53049746365935 0.001022847174462832
-4 -3.75 74 75 10.11791744796786 0.005143665456757537
-4 -3.75 75 76 9.718043326457284 0.003626869962634785
-4 -3.75 76 77 9.323188954252714 0.003026287262246651
-4 -3.75 77 78 8.937861149648906 0.002535428817534558
-4 -3.75 78 79 8.562149368174463 0.002080765461561612
-4 -3.75 79 80 8.196093119870897 0.001608676866167212
-4 -3.75 80 81 7.83995901264101 0.001199946733627423
-4 -3.75 81 82 7.493713183442236 0.0008344316090465537
-4 -3.75 82 83 7.157495249873793 0.0007314008412514342
-4 -3.75 83 84 6.830843754011539 0.0007753916084011439
-4 -3.75 84 85 6.514515797013117 0.0008941577763442073
-4 -3.75 85 86 6.208409185675696 0.0007568028341482772
-4 -3.75 86 87 5.911962854731645 0.0007584232485633075
-4 -3.75 87 88 5.622292619316497 0.0008437694352286611
-4 -3.75 88 89 5.348678944026406 0.0007523631778740615
-4 -3.75 89 90 5.081687151369879 0.0007453549899415618
-4 -3.75 90 91 4.824338467490225 0.0007358137243512078
-4 -3.75 91 92 4.576520284775633 0.0007240045433186413
-4 -3.75 92 93 4.338106277640723 0.000710109072731187
-4 -3.75 93 94 4.108956933148277 0.0006943384513219547
-4 -3.75 94 95 3.888920343976987 0.000676900612167436
-4 -3.75 95 96 3.677833237532651 0.0003671825419741997
-4 -3.75 96 97 3.475521910985032 0.000349409884555866
-4 -3.75 97 98 3.281803328373973 0.0003533634352596339
-4 -3.75 98 99 3.096486027639051 0.000356139356228022
-4 -3.75 99 100 2.919372787468842 0.0003367216150436572
-3.75 -3.5 50 51 32.91111065688093 0.05918414971795368
-3.75 -3.5 51 52 31.70754366807164 0.05866736295447288
-3.75 -3.5 52 53 30.55486733255405 0.02914662008512595
-3.75 -3.5 53 54 29.44852824632222 0.02721940294625859
-3.75 -3.5 54 55 28.38610310450933 0.04887652300786704
-3.75 -3.5 55 56 27.36841065996411 0.04389480559020462
-3.75 -3.5 56 57 26.39172157024579 0.03964290034243395
-3.75 -3.5 57 58 25.45415701252993 0.03635580622118148
-3.75 -3.5 58 59 24.55405007967726 0.03390488051521121
-3.75 -3.5 59 60 23.68979781802897 0.03215917728708724
-3.75 -3.5 60 61 22.85968056561414 0.03050640455515578
-3.75 -3.5 61 62 22.06195819733627 0.02820813943132576
-3.75 -3.5 62 63 21.29525962540286 0.02612168491363475
-3.75 -3.5 63 64 20.55909151962449 0.02267822238813118
-3.75 -3.5 64 65 19.84989088684008 0.02062100235684758
-3.75 -3.5 65 66 19.16724231626061 0.01844064982115428
-3.75 -3.5 66 67 18.50955972465177 0.01641338419310121
-3.75 -3.5 67 68 17.87491914411723 0.01448815918582936
-3.75 -3.5 68 69 17.26027684569793 0.01270012241203072
-3.75 -3.5 69 70 16.66527749907121 0.01226094184924676
-3.75 -3.5 70 71 16.06817531306704 0.01114795088313574
-3.75 -3.5 71 72 15.49176195458645 0.003396387853268708
-3.75 -3.5 72 73 14.92562155602002 0.010009928546077
-3.75 -3.5 73 74 14.36803314983161 0.01370167768957928
-3.75 -3.5 74 75 13.82791097824265 0.004571094731729426
-3.75 -3.5 75 76 13.29326862332469 0.00359830051206755
-3.75 -3.5 76 77 12.76983269279465 0.002907184328232647
-3.75 -3.5 77 78 12.25788283851647 0.002425705919404439
-3.75 -3.5 78 79 11.75761356129768 0.00195867605921417
-3.75 -3.5 79 80 11.27967977790517 0.002765200024080403
-3.75 -3.5 80 81 10.79304279071107 0.001061951256094431
-3.75 -3.5 81 82 10.30241285927886 0.002942438057358156
-3.75 -3.5 82 83 9.877638142052252 0.0009053698005450577
-3.75 -3.5 83 84 9.43866078005934 0.0009219546749197788
-3.75 -3.5 84 85 9.012291370748285 0.0009356117530432066
