#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 50 51 14.37936509448253 0.01663696659570534
-5 -4 51 52 13.74250510692112 0.01597133516551931
-5 -4 52 53 13.13536466966108 0.01557088134769726
-5 -4 53 54 12.55661548546336 0.01504461644308723
-5 -4 54 55 12.00478761104647 0.01449446312294415
-5 -4 55 56 11.47844285136752 0.01408161443491531
-5 -4 56 57 10.97636789421183 0.01363671897581963
-5 -4 57 58 10.49115571878724 0.006252591717235116
-5 -4 58 59 10.03402979398439 0.006055473806016553
-5 -4 59 60 9.597581399380271 0.005863043138303582
-5 -4 60 61 9.180736646724522 0.005676205022574104
-5 -4 61 62 8.782508050678517 0.005495369946474356
-5 -4 62 63 8.401952550087646 0.005320835045202808
-5 -4 63 64 8.038177063570162 0.005153239621888703
-5 -4 64 65 7.690330583002176 0.004992367728910325
-5 -4 65 66 7.357592865816073 0.004838165942711744
-5 -4 66 67 7.03915310596922 0.004688600036256008
-5 -4 67 68 6.734074166890519 0.004540626391121902
-5 -4 68 69 6.442469025240212 0.004304681168132929
-5 -4 69 70 6.161635130835377 0.002108202973651694
-5 -4 70 71 5.887387946511729 0.002024108223342843
-5 -4 71 72 5.621288589459351 0.001953696912578927
-5 -4 72 73 5.363172659626034 0.001900958818891374
-5 -4 73 74 5.112939009596325 0.001883550054197499
-5 -4 74 75 4.869975836574389 0.00176654291337337
-5 -4 75 76 4.634520809708627 0.0008859296180772212
-5 -4 76 77 4.407692078201572 0.001102745414839241
-5 -4 77 78 4.188559687800645 0.001423388270610414
-5 -4 78 79 3.976806504986121 0.001732794540840415
-5 -4 79 80 3.77226746852905 0.001665406296926902
-5 -4 80 81 3.575779834418329 0.001591918170453712
-5 -4 81 82 3.386783370245875 0.001510954967151007
-5 -4 82 83 3.205001549258633 0.001407202233288232
-5 -4 83 84 3.030635083069352 0.001304140306383484
-5 -4 84 85 2.863463142771032 0.001263898438519741
-5 -4 85 86 2.702929435318653 0.001224216022502101
-5 -4 86 87 2.549202418960912 0.001097729391915229
-5 -4 87 88 2.390283835387237 0.00217244974983828
-5 -4 88 89 2.262059192333196 0.001069998727549158
-5 -4 89 90 2.127841406372959 0.000962079822685231
-5 -4 90 91 1.999822705481759 0.0009122843807097572
-5 -4 91 92 1.877839048552911 0.0008642494244609206
-5 -4 92 93 1.761722674183244 0.0008179676727828179
-5 -4 93 94 1.650585914629138 0.001461142838078119
-5 -4 94 95 1.545727793746119 0.001381895849804421
-5 -4 95 96 1.446215574264983 0.001331894483199791
-5 -4 96 97 1.351872459634685 0.001289365338902328
-5 -4 97 98 1.262520868944492 0.001252031642557131
-5 -4 98 99 1.177982981551127 0.001217800973023158
-5 -4 99 100 1.098081252428534 0.001184891657408148
-4 -3.75 50 51 16.1051712940443 0.001212890664377102
-4 -3.75 51 52 15.48143471541579 0.001242741889360398
-4 -3.75 52 53 14.88354632102535 0.00165611968680386
-4 -3.75 53 54 14.31030575568042 0.001712898994199864
-4 -3.75 54 55 13.7606733846219 0.001315937158274171
-4 -3.75 55 56 13.23365157899578 0.000743659964044109
-4 -3.75 56 57 12.72818761097911 0.0006406773383017598
-4 -3.75 57 58 12.24335720092348 0.0006264277070433974
-4 -3.75 58 59 11.77824903989328 0.0006125049249582361
-4 -3.75 59 60 11.33196375928597 0.0005972399950857771
-4 -3.75 60 61 10.90367536322864 0.0005805228982821577
-4 -3.75 61 62 10.49256022803173 0.000563234782146154
-4 -3.75 62 63 10.09783167702448 0.0005510238801788417
