#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 2493.41726300518 0.2829908192768186
-5 -4 1 2 -3630.765243296993 0.3980615254386768
-5 -4 2 3 -9765.998966606756 0.2848715488360865
-5 -4 3 4 4018.865439386008 0.4513165063152316
-5 -4 4 5 1262.269769440908 0.1386203375552811
-5 -4 5 6 -3605.181478776807 0.1277975412670357
-5 -4 6 7 -283.1201885627797 0.06972155918444117
-5 -4 7 8 476.8578200899476 0.9290266532661765
-5 -4 8 9 -51.76441508093171 0.4829146681096907
-5 -4 9 10 -123.3499108332351 0.3344732382373204
-5 -4 10 11 -12.63442652470064 0.2365122040286179
-5 -4 11 12 33.92051539314457 0.4256361173217724
-5 -4 12 13 39.20669340063876 0.2319103820238797
-5 -4 13 14 82.41935991820912 0.3931130159025978
-5 -4 14 15 30.44872620032015 0.3909601120803317
-5 -4 15 16 79.07704863326177 0.145929592150906
-5 -4 16 17 59.07070346178767 0.3314760002400964
-5 -4 17 18 48.43908384303995 0.1837875296359838
-5 -4 18 19 70.3763076218022 0.06493619997937175
-5 -4 19 20 52.93863640784571 0.1325062854644392
-5 -4 20 21 57.943499779364 0.06319212196499931
-5 -4 21 22 54.29424849856443 0.05715565681522815
-5 -4 22 23 57.85148681245664 0.1638812348049911
-5 -4 23 24 52.65545770630234 0.166190593712736
-5 -4 24 25 40.65170782921393 0.1284823400332786
-5 -4 25 26 48.69057550742025 0.1080030373522182
-5 -4 26 27 53.71909085693048 0.08018172591005057
-5 -4 27 28 36.41302023799085 0.05120237474799728
-5 -4 28 29 36.44193333539357 0.08789883292061063
-5 -4 29 30 42.34311701813411 0.02779797155340306
-5 -4 30 31 40.89784989609574 0.04120826600593591
-5 -4 31 32 31.95314758774721 0.04598193371573727
-5 -4 32 33 32.11213613769003 0.08446395076621296
-5 -4 33 34 32.73229205993746 0.05155190985546378
-5 -4 34 35 30.59690173557938 0.05830341017700347
-5 -4 35 36 29.07671198774356 0.03355996658525004
-5 -4 36 37 27.68878411351297 0.03205345153701855
-5 -4 37 38 26.37764437047686 0.03183938661062036
-5 -4 38 39 25.14483297029864 0.03104937711132783
-5 -4 39 40 23.98060500031011 0.02927825156016354
-5 -4 40 41 22.87400111644774 0.02711482111541976
-5 -4 41 42 21.81849235972825 0.02522516225988577
-5 -4 42 43 20.81203221325421 0.02388528912721865
-5 -4 43 44 19.85456601811573 0.02300986753564058
-5 -4 44 45 18.94579854986958 0.02236225621805625
-5 -4 45 46 18.18372660161084 0.02939510257003283
-5 -4 46 47 17.23888655378991 0.01139936444814131
-5 -4 47 48 16.38234817190911 0.03149928519397246
-5 -4 48 49 15.74711981175113 0.0284881725530379
-5 -4 49 50 15.05078296784494 0.02471522993209902
-4 -3.75 0 1 1061.166823475727 0.09947403616408593
-4 -3.75 1 2 -2452.933861893772 0.8370072865323074
-4 -3.75 2 3 -2464.208551939245 1.129752204867388
-4 -3.75 3 4 -1649.507735892395 1.007678764347222
-4 -3.75 4 5 -1073.215571164036 0.8882560409037373
-4 -3.75 5 6 -700.4264190345693 0.7854414110151589
-4 -3.75 6 7 -459.3530322764414 0.6976203940494573
-4 -3.75 7 8 -300.776416353036 0.6225651557633231
-4 -3.75 8 9 -194.3614164768076 0.5577703881678614
-4 -3.75 9 10 -121.6106422516352 0.5020929833937071
-4 -3.75 10 11 -71.12803671796041 0.4537639362168086
-4 -3.75 11 12 -35.69061237428548 0.4116980343053659
-4 -3.75 12 13 -10.64102099431705 0.6640595559959823
-4 -3.75 13 14 7.152448780215082 0.5291695368015342
-4 -3.75 14 15 19.76726711563572 0.4231046911305859
-4 -3.75 15 16 28.64942034200249 0.3398010867744134
-4 -3.75 16 17 34.81347989503331 0.2750345330260025
-4 -3.75 17 18 38.98209164488577 0.2455944820956268
-4 -3.75 18 19 41.6768206521574 0.2272866177147246
-4 -3.75 19 20 43.27848097324141 0.2107569251263032
-4 -3.75 20 21 44.06793191356593 0.1957819064795048
-4 -3.75 21 22 44.25412492525311 0.1821721062629769
-4 -3.75 22 23 43.99367601553701 0.1697664884149253
-4 -3.75 23 24 43.40471084046993 0.1584275737105962
-4 -3.75 24 25 42.57678053225871 0.149795074625835
-4 -3.75 25 26 41.57804419677089 0.1541861617463243
-4 -3.75 26 27 40.46052555543793 0.1586623732231401
-4 -3.75 27 28 39.26399650659712 0.1628747390422485
-4 -3.75 28 29 38.01887107454212 0.1666419683321343
-4 -3.75 29 30 36.75162076905144 0.1070925639765682
-4 -3.75 30 31 35.47320321932253 0.1006632885276074
-4 -3.75 31 32 34.20053081505822 0.09469026080389115
-4 -3.75 32 33 32.94367347706253 0.0891327243467014
-4 -3.75 33 34 31.71011084512993 0.08395442857394469
-4 -3.75 34 35 30.50530389467815 0.07912303563525479
-4 -3.75 35 36 29.33313929211951 0.07460961846320718
-4 -3.75 36 37 28.19627617237489 0.07038823272768127
-4 -3.75 37 38 27.09641770504732 0.06643555033547546
-4 -3.75 38 39 26.03452439299731 0.06273054505201719
-4 -3.75 39 40 25.01098200475776 0.05925422095728135
-4 -3.75 40 41 24.02573409865245 0.05598937869633863
-4 -3.75 41 42 23.0783867017047 0.0529204118293093
-4 -3.75 42 43 22.16829111966642 0.05003313079201151
-4 -3.75 43 44 21.29460944914373 0.04731460889968442
-4 -3.75 44 45 20.45636639113717 0.04475304804092749
-4 -3.75 45 46 19.65202745014692 0.04268894040692035
