#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 1.486270568677753 0.01383875919883013
-5 -4 1 2 -3466.139245172864 0.06866499400531113
-5 -4 2 3 -2423.614385213504 0.0725437496931504
-5 -4 3 4 -1437.480966722495 0.08585277990289468
-5 -4 4 5 -854.5202783718132 0.04399992502313317
-5 -4 5 6 -509.7283275378595 0.03927561564490368
-5 -4 6 7 -301.0441514567481 0.0434833556039616
-5 -4 7 8 -171.8213044724127 0.03508244640942242
-5 -4 8 9 -90.22342776347909 0.02733850540336837
-5 -4 9 10 -37.91035652204948 0.02334216164983708
-5 -4 10 11 -3.643264289143417 0.02795669308235927
-5 -4 11 12 18.58902296577355 0.01977994121932375
-5 -4 12 13 32.98183813305377 0.01918584868380574
-5 -4 13 14 42.10603101556069 0.01878458492408572
-5 -4 14 15 47.63734750651582 0.01807557943454099
-5 -4 15 16 50.70159055058701 0.01739041628946152
-5 -4 16 17 52.0608757146037 0.01191248591215372
-5 -4 17 18 52.25783418975846 0.01117109184156686
-5 -4 18 19 51.65241081388052 0.01047369617163632
-5 -4 19 20 50.50231654465824 0.009825175719768178
-5 -4 20 21 48.99089093501519 0.009227905856007657
-5 -4 21 22 47.24944115017158 0.008678243167958984
-5 -4 22 23 45.37205397016342 0.008169887422495288
-5 -4 23 24 43.42865361374027 0.005780976040408004
-5 -4 24 25 41.46159584105854 0.005569671403483612
-5 -4 25 26 39.50735158713516 0.005361037806985993
-5 -4 26 27 37.58952592739919 0.005157175097542074
-5 -4 27 28 35.72431980716473 0.004959411917795534
-5 -4 28 29 33.92250675004011 0.004768370784955159
-5 -4 29 30 32.1908687572539 0.004584228133425519
-5 -4 30 31 30.53325449186551 0.004406953164029124
-5 -4 31 32 28.95136740198477 0.004236448851252096
-5 -4 32 33 27.44535572723562 0.004072606509606411
-5 -4 33 34 26.01425453159105 0.00391531171686357
-5 -4 34 35 24.65604681710934 0.002999780164753038
-5 -4 35 36 23.36756279471263 0.001452058292774778
-5 -4 36 37 22.1488170076012 0.001386218828403086
-5 -4 37 38 20.99546026558892 0.001323756023084246
-5 -4 38 39 19.9045252980406 0.001264497189188433
-5 -4 39 40 18.87300339298687 0.001208271104525195
-5 -4 40 41 17.89789840624758 0.001154910779949566
-5 -4 41 42 16.97626564067036 0.001104255521643067
-5 -4 42 43 16.10523931397946 0.001056152210360695
-5 -4 43 44 15.28205140066252 0.001010455917089913
-5 -4 44 45 14.50404393944974 0.000967030126010636
-5 -4 45 46 13.7682899264342 0.001406254249470957
-5 -4 46 47 13.0730301872246 0.0008864798613302332
-5 -4 47 48 12.41541166580681 0.0008491417238338478
-5 -4 48 49 11.79315541557199 0.0008135617088241572
-5 -4 49 50 11.20412321389344 0.0007797247632582189
-4 -3.75 0 1 1051.706870566415 0.002477138326887111
-4 -3.75 1 2 -2468.443683520086 0.002763418554256943
-4 -3.75 2 3 -2477.430617821064 0.1010469904405096
-4 -3.75 3 4 -1658.392303717956 0.07792832472217037
-4 -3.75 4 5 -1080.377352876186 0.06103356038473295
-4 -3.75 5 6 -707.6961819854955 0.04896991558687228
-4 -3.75 6 7 -467.2303438057311 0.04012883868110718
-4 -3.75 7 8 -309.2341896080782 0.03345842484941864
-4 -3.75 8 9 -203.2528661566432 0.02829362283209276
-4 -3.75 9 10 -130.7889102985022 0.02420751727765787
-4 -3.75 10 11 -80.4739204173577 0.02091426067733232
-4 -3.75 11 12 -45.11444111067578 0.01821863940271933
-4 -3.75 12 13 -20.06086803536209 0.01598268918105592
-4 -3.75 13 14 -2.234439495319975 0.01410670619424012
-4 -3.75 14 15 10.4476536982213 0.01251703984639202
-4 -3.75 15 16 19.42185291827025 0.01115824027459317
-4 -3.75 16 17 25.69591160893509 0.009987852353222172
-4 -3.75 17 18 29.98757368170897 0.008972880773021963
-4 -3.75 18 19 32.81484081609068 0.008087337502068859
-4 -3.75 19 20 34.55590675745935 0.007310506812196063
-4 -3.75 20 21 35.48968110352007 0.006625696183170962
-4 -3.75 21 22 35.82364587451571 0.006019322571745507
-4 -3.75 22 23 35.71329451529454 0.005480234271797431
-4 -3.75 23 24 35.27588348167578 0.004999200919809768
-4 -3.75 24 25 34.60028211316049 0.004568525283886495
-4 -3.75 25 26 33.7541081057046 0.004181744463489664
-4 -3.75 26 27 32.78895024728851 0.003833397531980743
-4 -3.75 27 28 31.74422730901236 0.003518843133626612
-4 -3.75 28 29 30.65006387622162 0.003234115034626481
-4 -3.75 29 30 29.52945043653443 0.00297580679261793
-4 -3.75 30 31 28.39987753660367 0.00274097897488214
-4 -3.75 31 32 27.27458015846133 0.002527083987572583
-4 -3.75 32 33 26.16349092463774 0.002331904766927329
-4 -3.75 33 34 25.07397420347641 0.002153504462029473
-4 -3.75 34 35 24.01139422788788 0.001990184900987191
-4 -3.75 35 36 22.97955667100742 0.001840452117728717
-4 -3.75 36 37 21.98105318668571 0.001702987586769977
-4 -3.75 37 38 21.01753115131677 0.001576624106524362
-4 -3.75 38 39 20.08990545491446 0.001460325488772953
-4 -3.75 39 40 19.1985251761827 0.001353169371274677
-4 -3.75 40 41 18.3433050391501 0.00125433261912917
-4 -3.75 41 42 17.52382918633039 0.001163078873675395
-4 -3.75 42 43 16.73943320323653 0.001078747892154277
-4 -3.75 43 44 15.98926895032628 0.001000746391846309
-4 -3.75 44 45 15.27235577919473 0.0009285401520220192
