#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 50 51 9.958221490278355 0.01085069325415083
-5 -4 51 52 9.273967335508804 0.009923279319025423
-5 -4 52 53 8.701749423262036 0.01215058904325087
-5 -4 53 54 8.155273828303734 0.008304311998450708
-5 -4 54 55 7.629371922006634 0.007263827797820109
-5 -4 55 56 7.130060129240437 0.006938428342075103
-5 -4 56 57 6.658131541120923 0.006612976388842791
-5 -4 57 58 6.211995179511227 0.006356620661685648
-5 -4 58 59 5.79019719037535 0.006130177862307741
-5 -4 59 60 5.391395852215602 0.005861791792055412
-5 -4 60 61 5.014281210167688 0.005615546295397099
-5 -4 61 62 4.657661673721806 0.005389781803513564
-5 -4 62 63 4.320406190746541 0.005181153577765316
-5 -4 63 64 4.001455106544526 0.004981527843754547
-5 -4 64 65 3.699812858579552 0.004789821016062768
-5 -4 65 66 3.414541197528711 0.004606215823102181
-5 -4 66 67 3.144754566544614 0.004428928081516245
-5 -4 67 68 2.889567419531422 0.004255791153833695
-5 -4 68 69 2.647990676319319 0.004086362797314054
-5 -4 69 70 2.418890391053376 0.003920523723247025
-5 -4 70 71 2.199749577601315 0.001732301367403713
-5 -4 71 72 1.99347367114897 0.001660629388234119
-5 -4 72 73 1.798028951393393 0.0015905238616308
-5 -4 73 74 1.613147500650556 0.001521966473354151
-5 -4 74 75 1.438571673841057 0.001455040531458819
-5 -4 75 76 1.274042705859882 0.00138978786848436
-5 -4 76 77 1.119937676828445 0.000828087719129612
-5 -4 77 78 0.9755091930511842 0.0007598122274878174
-5 -4 78 79 0.8391743293081773 0.0002961652841387264
-5 -4 79 80 0.7120758406184788 0.0002818532295277708
-5 -4 80 81 0.5934430735762493 0.0001376580383141618
-5 -4 81 82 0.4829617275176926 0.0001468762237785629
-5 -4 82 83 0.3810592750992141 0.0003680957898191988
-5 -4 83 84 0.287002395413788 0.0007492530595160733
-5 -4 84 85 0.1998750046793902 0.0008954507826395917
-5 -4 85 86 0.1197501874406035 0.001058507862259627
-5 -4 86 87 0.04686437389121179 0.0009780405403236262
-5 -4 87 88 -0.01951985182280191 0.0009129352019430474
-5 -4 88 89 -0.07971455626934754 0.0008738246087686715
-5 -4 89 90 -0.1340272897412516 0.0008419609627057996
-5 -4 90 91 -0.1821625747532107 0.001390760676689541
-5 -4 91 92 -0.2256553209116046 0.001314352430395215
-5 -4 92 93 -0.2425839215276056 0.0009812230197840499
-5 -4 93 94 -0.2979838246375235 0.001178644478396931
-5 -4 94 95 -0.327395237885435 0.001118322473365871
-5 -4 95 96 -0.3526780537501271 0.001062333588625651
-5 -4 96 97 -0.374103544246764 0.001010142149217931
-5 -4 97 98 -0.3919354281715695 0.0009612053634583402
-5 -4 98 99 -0.4064294423104458 0.0009149904458227097
-5 -4 99 100 -0.4171157042805422 0.001641840734108121
-4 -3.75 50 51 12.92494977065843 0.001400440816144597
-4 -3.75 51 52 12.26659694550609 0.001427078549847283
-4 -3.75 52 53 11.64030387253239 0.001853096643786808
-4 -3.75 53 54 11.04438855064728 0.001910187303736099
-4 -3.75 54 55 10.47734024464683 0.001494313322184874
-4 -3.75 55 56 9.937726959473366 0.0009921620919334654
-4 -3.75 56 57 9.424125776701651 0.0009617956548291834
-4 -3.75 57 58 8.935248084183176 0.0009290769352278611
-4 -3.75 58 59 8.469856092695366 0.0008938073304427571
-4 -3.75 59 60 8.026756389275505 0.0008656889610321286
-4 -3.75 60 61 7.604845038562889 0.000833655842714847
-4 -3.75 61 62 7.203051226407691 0.0008019071815650261
-4 -3.75 62 63 6.820361860111746 0.0007744673882796459
-4 -3.75 63 64 6.455813221780655 0.0007444315198766861
-4 -3.75 64 65 6.108473902447916 0.0007128192692911796
-4 -3.75 65 66 5.77744092414272 0.0006766858841708522
-4 -3.75 66 67 5.462074395174529 0.0130839406482082
-4 -3.75 67 68 5.160882402658267 0.01167747458524509
-4 -3.75 68 69 4.87288239492608 0.01035984438038175
-4 -3.75 69 70 4.59627122756191 0.01244099658510452
-4 -3.75 70 71 4.330199088601166 0.0109905923343291
-4 -3.75 71 72 4.074001451352219 0.009633365317975644
-4 -3.75 72 73 3.821519258650806 0.008838448040590493
-4 -3.75 73 74 3.585387928811695 0.005253442955359878
-4 -3.75 74 75 3.358707174490778 0.006411206812768831
-4 -3.75 75 76 3.144704211693075 0.0052172287730295
-4 -3.75 76 77 2.935733658341146 0.004432873595242338
-4 -3.75 77 78 2.73883936561041 0.003195316155133831
-4 -3.75 78 79 2.547574560502896 0.002012974106726748
-4 -3.75 79 80 2.365183894182064 0.003167019235341761
-4 -3.75 80 81 2.189759552482831 0.002069727173041892
-4 -3.75 81 82 2.025008309432322 0.001590126760149751
-4 -3.75 82 83 1.868608972065143 0.001279170581529618
-4 -3.75 83 84 1.68212968996696 0.001641590435773036
-4 -3.75 84 85 1.580092156108267 0.0009316223634014423
-4 -3.75 85 86 1.447567269181266 0.0008284207946846656
-4 -3.75 86 87 1.322577614455509 0.0007605336677112173
-4 -3.75 87 88 1.212172926576869 0.0009868853534931604
-4 -3.75 88 89 1.094289528213745 0.0006900726331645281
-4 -3.75 89 90 0.9905195460917864 0.0006728511060946198
-4 -3.75 90 91 0.8933458388786462 0.0006645967550004591
-4 -3.75 91 92 0.8025240594511041 0.0006555780009391041
-4 -3.75 92 93 0.7178077897704429 0.0006443850984040613
-4 -3.75 93 94 0.6389493266951947 0.0006312273026624969
-4 -3.75 94 95 0.5657005236158612 0.0006181134170628088
-4 -3.75 95 96 0.4978136623822441 0.0006032631549995961
-4 -3.75 96 97 0.4350422925362798 0.000264650974232876
-4 -3.75 97 98 0.3771419369399215 0.000232755892582759
-4 -3.75 98 99 0.3238709134042616 0.0002007248046693901
-4 -3.75 99 100 0.2750016331550489 0.0001516900711013159
-3.75 -3.5 50 51 17.43314411712062 0.06528468847692133
-3.75 -3.5 51 52 16.6086725894848 0.06514395609652199
-3.75 -3.5 52 53 15.8213220043438 0.002012886553670282
-3.75 -3.5 53 54 15.06993420354726 0.002148190044953253
-3.75 -3.5 54 55 14.35279888702069 0.05532431074099067
-3.75 -3.5 55 56 13.66809070518752 0.05002845416177236
-3.75 -3.5 56 57 13.01432126046411 0.04551821452090315
-3.75 -3.5 57 58 12.39007383830072 0.04207100536099998
-3.75 -3.5 58 59 11.79404326079912 0.03954972598427534
-3.75 -3.5 59 60 11.22496943644955 0.03781407660272242
-3.75 -3.5 60 61 10.6815714326378 0.03616397234591563
-3.75 -3.5 61 62 10.16257270123641 0.03374875905314615
-3.75 -3.5 62 63 9.666889160889788 0.03067473286183932
-3.75 -3.5 63 64 9.19338492535789 0.02775965216194108
-3.75 -3.5 64 65 8.740102136241482 0.0269140915838649
-3.75 -3.5 65 66 8.307761071975222 0.02370382567348605
-3.75 -3.5 66 67 7.894366788091585 0.02085862977748497
-3.75 -3.5 67 68 7.498735025777403 0.01869403926420239
-3.75 -3.5 68 69 7.119247791596031 0.01665900782450902
-3.75 -3.5 69 70 6.753687286197607 0.01474652650977882
-3.75 -3.5 70 71 6.391216865396363 0.01703910874013455
-3.75 -3.5 71 72 6.050862892755791 0.008849138487485312
-3.75 -3.5 72 73 5.721779687394672 0.008805419106348878
-3.75 -3.5 73 74 5.403935427724338 0.01330727662552601
-3.75 -3.5 74 75 5.107394215883993 0.007643102700671821
-3.75 -3.5 75 76 4.810269721651103 0.004505969771395235
-3.75 -3.5 76 77 4.524538188701786 0.004871953915265509
-3.75 -3.5 77 78 4.250075377046253 0.007352946250887772
-3.75 -3.5 78 79 3.983774752493652 0.00635357266251699
-3.75 -3.5 79 80 3.731776838876161 0.00714412214554398
-3.75 -3.5 80 81 3.491100262621476 0.002135404842050981
-3.75 -3.5 81 82 3.233629254364125 0.002328528749839344
-3.75 -3.5 82 83 3.040543044528599 0.001206082339886123
-3.75 -3.5 83 84 2.776748604471111 0.00160214810379937
-3.75 -3.5 84 85 2.631228381583508 0.0008634276697406252
-3.75 -3.5 85 86 2.441538563485578 0.0008794356285564009
-3.75 -3.5 86 87 2.276577851996701 0.003631671058343954
-3.75 -3.5 87 88 2.090965865744426 0.0008988642404836269
-3.75 -3.5 88 89 1.929586313609583 0.000903712960610964
-3.75 -3.5 89 90 1.777132656818547 0.0009049256656980363
-3.75 -3.5 90 91 1.633336619568451 0.000902554030710806
-3.75 -3.5 91 92 1.497922111417659 0.0008970004978700513
-3.75 -3.5 92 93 1.370607406130843 0.0008910524410666458
-3.75 -3.5 93 94 1.251106131406131 0.0008879887609447793
-3.75 -3.5 94 95 1.139128387810983 0.0008787415278446763
-3.75 -3.5 95 96 1.034381955054475 0.0008641844644113011
-3.75 -3.5 96 97 0.9365734405770518 0.0008452426727128933
-3.75 -3.5 97 98 0.8454093682508739 0.0008228056954295813
-3.75 -3.5 98 99 0.760597205048315 0.000797680445076144
-3.75 -3.5 99 100 0.6684251703316995 0.0008693767325418872
-3.5 -3.25 50 51 21.00020593389493 0.07569584556351032
-3.5 -3.25 51 52 20.07704031449151 0.07541804291160525
-3.5 -3.25 52 53 19.19260254936775 0.07309705555872034
-3.5 -3.25 53 54 18.34546873277937 0.06903009196556588
-3.5 -3.25 54 55 17.53422604319434 0.06349291701743785
-3.5 -3.25 55 56 16.75743167361243 0.05712339892702451
-3.5 -3.25 56 57 16.01350978586144 0.05175622385452376
-3.5 -3.25 57 58 15.30110933169469 0.04773608467834653
-3.5 -3.25 58 59 14.61897788953924 0.04489576259487107
-3.5 -3.25 59 60 13.96588986012836 0.04306232267313467
-3.5 -3.25 60 61 13.34057240347813 0.04133235780429686
-3.5 -3.25 61 62 12.74173238416587 0.03859614066015356
-3.5 -3.25 62 63 12.16828705966344 0.03498250246932617
-3.5 -3.25 63 64 11.61907004236027 0.03157520500622841
-3.5 -3.25 64 65 11.09296737919207 0.02907049440578232
-3.5 -3.25 65 66 10.58885782504995 0.02631221552691298
-3.5 -3.25 66 67 10.10557592470828 0.02373017614245589
-3.5 -3.25 67 68 9.641812337984 0.02125277693638895
-3.5 -3.25 68 69 9.195671869213854 0.01892591959323629
-3.5 -3.25 69 70 8.752640081106293 0.02524275329713622
-3.5 -3.25 70 71 8.335838010723961 0.01375439744091833
-3.5 -3.25 71 72 7.931111405440042 0.009681525655645047
-3.5 -3.25 72 73 7.546317993343497 0.01974470915011517
-3.5 -3.25 73 74 7.164186688049579 0.0202707843631554
-3.5 -3.25 74 75 6.799186910365513 0.005126705422160571
-3.5 -3.25 75 76 6.439990105518472 0.006394722246433501
-3.5 -3.25 76 77 6.093120348527126 0.009884589017764241
-3.5 -3.25 77 78 5.758498869601937 0.01316772486677201
-3.5 -3.25 78 79 5.432597518377982 0.004016091275438219
-3.5 -3.25 79 80 5.122525950157421 0.003216075450170999
-3.5 -3.25 80 81 4.824402062612513 0.002383894779908462
-3.5 -3.25 81 82 4.538140546313741 0.001613982720213413
-3.5 -3.25 82 83 4.23119875264403 0.003055779619217344
-3.5 -3.25 83 84 4.000667599076728 0.0009187327420978305
-3.5 -3.25 84 85 3.749162732327639 0.0008316191120575461
-3.5 -3.25 85 86 3.508918428998163 0.000911068355605626
-3.5 -3.25 86 87 3.220274661781314 0.004961389639617782
-3.5 -3.25 87 88 2.987719419616628 0.001837601065208119
-3.5 -3.25 88 89 2.87140778777446 0.004082073859572202
-3.5 -3.25 89 90 2.605116322074078 0.007072573758444221
-3.5 -3.25 90 91 2.440320843977613 0.004617267340441977
-3.5 -3.25 91 92 2.304856225209049 0.005311436041409145
-3.5 -3.25 92 93 2.135614107622022 0.004491148328049158
-3.5 -3.25 93 94 1.975697348739404 0.003741709191136297
-3.5 -3.25 94 95 1.805597708682411 0.005180308550044797
-3.5 -3.25 95 96 1.666051468524786 0.002813897784596594
-3.5 -3.25 96 97 1.541589900088587 0.001948768017910217
-3.5 -3.25 97 98 1.41698170327992 0.001491950325228012
-3.5 -3.25 98 99 1.300101938115696 0.001140352312886284
-3.5 -3.25 99 100 1.190637745102864 0.0009359599483024074
-3.25 -3 50 51 23.37452326375831 0.08312080620566642
-3.25 -3 51 52 22.41189554283822 0.08279868028590538
-3.25 -3 52 53 21.4865424945891 0.08019031739931504
-3.25 -3 53 54 20.59737625066151 0.0756210810408626
-3.25 -3 54 55 19.74327462058183 0.06939351453490102
-3.25 -3 55 56 18.9230426652497 0.06223041857831946
-3.25 -3 56 57 18.13530625792795 0.05624392897465148
-3.25 -3 57 58 17.37889751930055 0.05183408670136626
-3.25 -3 58 59 16.65272554714539 0.0488101197420648
-3.25 -3 59 60 15.95570264831279 0.04697322327325244
