#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 3979.889033773111 0.605550895988009
-5 -4 1 2 134.1322897168129 0.8806779613720792
-5 -4 2 3 -20588.04395470442 0.6441981277244755
-5 -4 3 4 9013.977588301619 1.003244633774205
-5 -4 4 5 6562.50997249198 4.485062777133268
-5 -4 5 6 -7554.397422201693 0.3310614244618465
-5 -4 6 7 -912.1961768517643 0.1263614544740932
-5 -4 7 8 1426.010332851799 1.409348814821478
-5 -4 8 9 141.2690527125567 0.4971027936561184
-5 -4 9 10 -184.5749991128489 0.5175298695533042
-5 -4 10 11 -26.89552867550742 0.3981332922853865
-5 -4 11 12 53.60973561460537 0.3498036736649001
-5 -4 12 13 72.91475250010944 0.1425534542920773
-5 -4 13 14 113.5267792974162 0.3456118461435133
-5 -4 14 15 41.41219222359666 0.2485774689267308
-5 -4 15 16 97.12782353630081 0.05359212658208012
-5 -4 16 17 74.18749258362294 0.3754616574917349
-5 -4 17 18 47.95918231721208 0.2986768578776835
-5 -4 18 19 80.06461900642643 0.1452360404504466
-5 -4 19 20 51.26550935015422 0.08624955773383804
-5 -4 20 21 64.70887100938234 0.115642543926094
-5 -4 21 22 61.02960156417154 0.1383644270961441
-5 -4 22 23 51.10434942656906 0.07978906473509657
-5 -4 23 24 53.14090718333682 0.03792439345091008
-5 -4 24 25 39.03469496216471 0.07190853728249269
-5 -4 25 26 48.14569252571991 0.09558185933715786
-5 -4 26 27 56.38254919999949 0.05501134878573777
-5 -4 27 28 33.82913902285074 0.03610497236935905
-5 -4 28 29 31.53049893188572 0.09445496065646443
-5 -4 29 30 42.49427871336819 0.05876819165329886
-5 -4 30 31 40.91244341199173 0.07166404290912744
-5 -4 31 32 28.28320808427355 0.04057564746246672
-5 -4 32 33 27.03329815006768 0.03873298485754233
-5 -4 33 34 29.82610517075726 0.02051179109897408
-5 -4 34 35 28.80396186459393 0.03309752948704731
-5 -4 35 36 25.52120828193519 0.06509302501579746
-5 -4 36 37 22.90315944478718 0.05175566490462152
-5 -4 37 38 22.47099472646136 0.02910204461717149
-5 -4 38 39 21.36716866426525 0.01462721677510593
-5 -4 39 40 19.85505798334516 0.05296324938591312
-5 -4 40 41 18.67547771547149 0.0457774075496464
-5 -4 41 42 17.55731810340244 0.04023020664431195
-5 -4 42 43 16.49805931703732 0.03686910864437203
-5 -4 43 44 15.497563186143 0.0351515577723718
-5 -4 44 45 14.55521326484588 0.03418146325431611
-5 -4 45 46 13.7539051043821 0.01091700252555283
-5 -4 46 47 12.75846043186294 0.03474554821883464
-5 -4 47 48 11.85337102824639 0.03293501401300729
-5 -4 48 49 11.22657776094649 0.03236941042501065
-5 -4 49 50 10.64822634651526 0.02075476263822032
-4 -3.75 0 1 923.3505127215827 0.08293270301910838
-4 -3.75 1 2 -2369.383472901127 0.7704695641481576
-4 -3.75 2 3 -2290.098508898666 1.094154177802197
-4 -3.75 3 4 -1497.708717776306 0.989508044201293
-4 -3.75 4 5 -948.4938347613447 0.8771540583935218
-4 -3.75 5 6 -598.242308888807 0.7768459889370197
-4 -3.75 6 7 -375.0783075349827 0.6900332707439617
-4 -3.75 7 8 -230.7190877057033 0.6155261861555396
-4 -3.75 8 9 -135.6888285103551 0.5511655367517714
-4 -3.75 9 10 -72.15401952663171 0.4958573251022399
-4 -3.75 10 11 -29.21299355204246 0.4479258664386131
-4 -3.75 11 12 -0.0102335313945332 0.4062385962463846
-4 -3.75 12 13 19.85330974717351 0.3697930874601345
-4 -3.75 13 14 33.25191551265414 0.5578386189882323
-4 -3.75 14 15 42.15474530715744 0.4564345689724599
-4 -3.75 15 16 47.86815671715954 0.3750051290935609
-4 -3.75 16 17 51.31072532023063 0.3095625993893188
-4 -3.75 17 18 53.12919641743065 0.2572051163458523
-4 -3.75 18 19 53.78451851309444 0.2239507933903165
-4 -3.75 19 20 53.60864037098736 0.2076635940135505
-4 -3.75 20 21 52.84268486767382 0.1929144089561635
-4 -3.75 21 22 51.66302864323973 0.179514898364025
-4 -3.75 22 23 50.19938329049199 0.1673051482709691
-4 -3.75 23 24 48.54749864399417 0.156148776308425
-4 -3.75 24 25 46.77819599152812 0.1459287462509692
-4 -3.75 25 26 44.94386219735463 0.1365440227886792
-4 -3.75 26 27 43.08316493375014 0.1279069707649419
-4 -3.75 27 28 41.22450703321195 0.123805245648854
-4 -3.75 28 29 39.3885776257566 0.1258255110582445
-4 -3.75 29 30 37.59024990435293 0.1279460483564682
-4 -3.75 30 31 35.84000206538946 0.129984336081273
