#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 50 51 8.308372674654585 0.01460456302486368
-5 -4 51 52 7.803475568915299 0.01384548119869818
-5 -4 52 53 7.329008752109001 0.01345584755335649
-5 -4 53 54 6.882960855794728 0.01284072881012899
-5 -4 54 55 6.463574588307015 0.01192740286949088
-5 -4 55 56 6.069217976055576 0.01086703775318193
-5 -4 56 57 5.698294471718242 0.0100397593075963
-5 -4 57 58 5.34938206158238 0.009489803520303345
-5 -4 58 59 5.02113777237513 0.009020633815248737
-5 -4 59 60 4.712288175587707 0.008446346302144565
-5 -4 60 61 4.421667837636114 0.007881611782182661
-5 -4 61 62 4.148165978700813 0.007458400154927554
-5 -4 62 63 3.890745266978827 0.00702887937547577
-5 -4 63 64 3.648432692851951 0.006628655915006218
-5 -4 64 65 3.420307894601669 0.006261462210337308
-5 -4 65 66 3.205502165270509 0.005921696640551356
-5 -4 66 67 3.003185792825962 0.005604401798319211
-5 -4 67 68 2.812521644666119 0.005303257379706214
-5 -4 68 69 2.63256041764742 0.005019053683114477
-5 -4 69 70 2.462183471781522 0.004750095707844481
-5 -4 70 71 2.300513378593458 0.004495819392342252
-5 -4 71 72 2.147058107344539 0.004253209429156121
-5 -4 72 73 2.001483129542996 0.00402350624461024
-5 -4 73 74 1.86350613415845 0.003806773777106252
-5 -4 74 75 1.732864350522695 0.003595399852006909
-5 -4 75 76 1.607676581909049 0.001650068380701388
-5 -4 76 77 1.491038544554154 0.001558884486282894
-5 -4 77 78 1.380982042139649 0.001472218814257634
-5 -4 78 79 1.277263300342043 0.001388059562567195
-5 -4 79 80 1.18130736548691 0.001734733235622016
-5 -4 80 81 1.08925291015192 0.001280867080626737
-5 -4 81 82 1.001649601693312 0.001649342524480316
-5 -4 82 83 0.9208711305342256 0.001443544042628552
-5 -4 83 84 0.8452359244224095 0.001270096341160682
-5 -4 84 85 0.7745119415145423 0.001125485037843561
-5 -4 85 86 0.7084713621701597 0.001004519698121087
-5 -4 86 87 0.6486180582261678 0.001143554925347727
-5 -4 87 88 0.5895527190452341 0.00081939220388993
-5 -4 88 89 0.5362435059272159 0.0007479037531394377
-5 -4 89 90 0.4867548315126895 0.0006868703106288622
-5 -4 90 91 0.4408836587995064 0.0006396613736328996
-5 -4 91 92 0.3984328330248199 0.0005958323365344757
-5 -4 92 93 0.359211169584696 0.0005544648500310245
-5 -4 93 94 0.3227889152048418 0.0003147743324194599
-5 -4 94 95 0.2894932355605062 0.0002991736199090161
-5 -4 95 96 0.2588890235604965 0.0002836957039657427
-5 -4 96 97 0.2308100968044288 0.0002684037133803926
-5 -4 97 98 0.205096747482417 0.0002533547739972034
-5 -4 98 99 0.1815957836476727 0.0001816977040556645
-5 -4 99 100 0.1601605062297174 0.0001700586928543192
-4 -3.75 50 51 10.16736227843025 0.001384746893659479
-4 -3.75 51 52 9.628694357214549 0.00134279729987782
-4 -3.75 52 53 9.118951863510212 0.001281068305101156
-4 -3.75 53 54 8.636502519625559 0.001242159576379915
-4 -3.75 54 55 8.179863911654987 0.00120360486938815
-4 -3.75 55 56 7.747634378251547 0.001149913479297278
-4 -3.75 56 57 7.338590843719572 0.02026757892000192
-4 -3.75 57 58 6.951118919533947 0.02378454785298954
-4 -3.75 58 59 6.584266256184215 0.0220406014845793
-4 -3.75 59 60 6.236887822209088 0.02075498718230355
-4 -3.75 60 61 5.907895964445967 0.01955484598128793
-4 -3.75 61 62 5.596234196587304 0.01799583996689564
-4 -3.75 62 63 5.300981290903795 0.01613670648921782
-4 -3.75 63 64 5.021210895722646 0.01439836026068676
-4 -3.75 64 65 4.756051091340357 0.01304412494791924
-4 -3.75 65 66 4.504658092160202 0.01163944761726409
-4 -3.75 66 67 4.266198044227105 0.01033943090468019
-4 -3.75 67 68 4.039802883397041 0.009117050339980226
-4 -3.75 68 69 3.824391870679939 0.007986897913765884
-4 -3.75 69 70 3.613397840696223 0.006327458727821288
-4 -3.75 70 71 3.420882909015496 0.006465366529417311
-4 -3.75 71 72 3.231789787003132 0.006048377698665673
-4 -3.75 72 73 3.053620964198862 0.003699902907145093
-4 -3.75 73 74 2.879322662504874 0.005402364176406648
-4 -3.75 74 75 2.710380305504167 0.002918407818858295
-4 -3.75 75 76 2.55118428414027 0.002314536607544694
-4 -3.75 76 77 2.399073697673925 0.001866656924151914
-4 -3.75 77 78 2.25388675290191 0.001525603860583844
-4 -3.75 78 79 2.115444352396374 0.001198306551375913
-4 -3.75 79 80 1.966792896509896 0.003236829933998973
-4 -3.75 80 81 1.86990549223653 0.002227017858076878
-4 -3.75 81 82 1.738867855517314 0.0004934766421866372
-4 -3.75 82 83 1.625655951119274 0.0004468069647548703
-4 -3.75 83 84 1.518287287137017 0.0004489300066610596
-4 -3.75 84 85 1.416574144149625 0.0004556796040437866
-4 -3.75 85 86 1.320326673140223 0.0004914513090080024
-4 -3.75 86 87 1.229353496000325 0.0005481398327020439
-4 -3.75 87 88 1.143461336545344 0.0005775737812545103
-4 -3.75 88 89 1.062455329653322 0.000594795878616114
-4 -3.75 89 90 0.9861438725255121 0.0006031476528590106
-4 -3.75 90 91 0.9143367015512505 0.0006034729186186641
-4 -3.75 91 92 0.8468449416490285 0.0005945771313272785
-4 -3.75 92 93 0.7834819897536782 0.0005776885142531049
-4 -3.75 93 94 0.7240638267211712 0.0005546016465601053
-4 -3.75 94 95 0.6684093739281356 0.0005268942122464905
-4 -3.75 95 96 0.6163408773029009 0.0004959356645642452
-4 -3.75 96 97 0.5676842531609008 0.0004628992087596055
-4 -3.75 97 98 0.5222693968289396 0.0004303752745041259
-4 -3.75 98 99 0.4799304514520302 0.0004086836799467588
-4 -3.75 99 100 0.4405060596475459 0.0003868226319679488
-3.75 -3.5 50 51 13.43478912135252 0.04857552375194735
-3.75 -3.5 51 52 12.7593700896393 0.04757368194282086
-3.75 -3.5 52 53 12.11793372325404 0.04538774483257831
-3.75 -3.5 53 54 11.50884863313701 0.0422240931704834
-3.75 -3.5 54 55 10.93054182110173 0.03826945227976432
-3.75 -3.5 55 56 10.38146903729775 0.0339159031577746
-3.75 -3.5 56 57 9.860046882869668 0.03024025421045577
-3.75 -3.5 57 58 9.364878350954662 0.02742878935002447
-3.75 -3.5 58 59 8.894667577583611 0.02536822716695499
-3.75 -3.5 59 60 8.448171455944575 0.02394475048010429
-3.75 -3.5 60 61 8.024151799861777 0.02262877692640615
-3.75 -3.5 61 62 7.621392205105117 0.02078388327714473
-3.75 -3.5 62 63 7.238833673799089 0.01849013786326527
-3.75 -3.5 63 64 6.875396020067477 0.01636686833777271
-3.75 -3.5 64 65 6.530057491933036 0.01480289288778837
-3.75 -3.5 65 66 6.201818564492768 0.0131361629848764
-3.75 -3.5 66 67 5.8896790759078 0.01160736299110723
-3.75 -3.5 67 68 5.585086321194499 0.01222797908251625
-3.75 -3.5 68 69 5.308687129442749 0.01212828612173359
-3.75 -3.5 69 70 5.037255977852343 0.00717749996673144
-3.75 -3.5 70 71 4.776275451492946 0.01039227371356527
-3.75 -3.5 71 72 4.529077880919228 0.006503041111021218
-3.75 -3.5 72 73 4.286817691447915 0.009556972866586537
-3.75 -3.5 73 74 4.051235182707064 0.003845527694133339
-3.75 -3.5 74 75 3.828110252077872 0.002977454593605799
-3.75 -3.5 75 76 3.614014160938213 0.002275408272767438
-3.75 -3.5 76 77 3.408795778895195 0.0018143296896033
-3.75 -3.5 77 78 3.212296042482217 0.001507494021078236
-3.75 -3.5 78 79 3.024328009033548 0.001185481602353769
-3.75 -3.5 79 80 2.822247825782338 0.007633291891854426
-3.75 -3.5 80 81 2.673001043078589 0.005745102278158923
-3.75 -3.5 81 82 2.525737519091747 0.004919694616488259
-3.75 -3.5 82 83 2.353894987417469 0.004367357508275137
-3.75 -3.5 83 84 2.205786814259056 0.003761012899765726
-3.75 -3.5 84 85 2.065027102747129 0.003220925800299524
-3.75 -3.5 85 86 1.93139905667555 0.002730608738212227
-3.75 -3.5 86 87 1.804681309208235 0.002280869680037591
-3.75 -3.5 87 88 1.684647234118305 0.001869842907481737
-3.75 -3.5 88 89 1.571065124563281 0.00150321568882882
-3.75 -3.5 89 90 1.463706325041417 0.001183443772871375
-3.75 -3.5 90 91 1.362341843808159 0.0009144601270552998
-3.75 -3.5 91 92 1.266742350695193 0.0007246970463292854
-3.75 -3.5 92 93 1.176679592917805 0.0006933911912368812
-3.75 -3.5 93 94 1.091926839662681 0.0006717683268708004
-3.75 -3.5 94 95 1.012259419266712 0.0006473786507718695
-3.75 -3.5 95 96 0.9375789247485482 0.0006226223463326443
-3.75 -3.5 96 97 0.8672957394209009 0.0007955850389700983
-3.75 -3.5 97 98 0.8015655860518089 0.0008921189307441054
-3.75 -3.5 98 99 0.7365433006665598 0.0009869993818153746
-3.75 -3.5 99 100 0.6854783989548343 0.001138563187936645
-3.5 -3.25 50 51 15.85899530223172 0.05502988442713907
-3.5 -3.25 51 52 15.10185990886026 0.05380227449921002
-3.5 -3.25 52 53 14.3803161936155 0.05120547491992617
-3.5 -3.25 53 54 13.69288074113329 0.04747581260006589
-3.5 -3.25 54 55 13.03809407767835 0.04282749574590808
-3.5 -3.25 55 56 12.41449372642704 0.03772447881837584
-3.5 -3.25 56 57 11.8205444346625 0.03346205265049364
-3.5 -3.25 57 58 11.25488676614042 0.03026391971411342
-3.5 -3.25 58 59 10.71624867757879 0.02799205260252572
-3.5 -3.25 59 60 10.2033955550638 0.02650696914193292
-3.5 -3.25 60 61 9.715079365207266 0.02514315875331086
-3.5 -3.25 61 62 9.250056561715432 0.02309638570379188
-3.5 -3.25 62 63 8.80724893204772 0.02046494455343893
-3.5 -3.25 63 64 8.385536715559354 0.018045756395089
-3.5 -3.25 64 65 7.983854649103677 0.01634043732551047
-3.5 -3.25 65 66 7.6011477926466 0.01447967172300305
-3.5 -3.25 66 67 7.227040321331614 0.0181880506998016
-3.5 -3.25 67 68 6.887914497955983 0.0186675145514416
-3.5 -3.25 68 69 6.555183713055552 0.009491570252435997
-3.5 -3.25 69 70 6.235509354161028 0.00974295425543438
-3.5 -3.25 70 71 5.927255650471686 0.01533019855464929
-3.5 -3.25 71 72 5.633986157189003 0.009689909663083094
-3.5 -3.25 72 73 5.346229153673931 0.01309078992587672
-3.5 -3.25 73 74 5.065760013938394 0.004239516540788408
-3.5 -3.25 74 75 4.799120120099147 0.003243968381102741
-3.5 -3.25 75 76 4.542518233765747 0.002461108932274962
-3.5 -3.25 76 77 4.29583814636673 0.002000718637728687
-3.5 -3.25 77 78 4.058951549071619 0.001738915279123745
-3.5 -3.25 78 79 3.831692127397087 0.00142835135711756
-3.5 -3.25 79 80 3.613908325441443 0.001043356273778244
-3.5 -3.25 80 81 3.405438163723387 0.0007785172211530585
-3.5 -3.25 81 82 3.206102701210966 0.0006204072967730339
-3.5 -3.25 82 83 2.994419406882004 0.003397976918987326
-3.5 -3.25 83 84 2.813975150936555 0.001905824078174917
-3.5 -3.25 84 85 2.642122447120792 0.004869637742707712
-3.5 -3.25 85 86 2.478608786943081 0.005907096087055324
-3.5 -3.25 86 87 2.336970068910446 0.007547238263669347
-3.5 -3.25 87 88 2.188311416748451 0.006258818929403757
-3.5 -3.25 88 89 2.035614060185823 0.0008293591115685004
-3.5 -3.25 89 90 1.90298777831689 0.003053857315074199
-3.5 -3.25 90 91 1.787848699809437 0.0008098012323270486
-3.5 -3.25 91 92 1.667780537671031 0.0007953567937145897
-3.5 -3.25 92 93 1.554321877659905 0.0007764014358772283
-3.5 -3.25 93 94 1.44722442612156 0.0007542112707419017
-3.5 -3.25 94 95 1.346240330868389 0.0007298971404144034
-3.5 -3.25 95 96 1.251122980747234 0.0007043948459789471
-3.5 -3.25 96 97 1.161627746358142 0.0006784647383703635
-3.5 -3.25 97 98 1.077512662532037 0.0006526981023698439
-3.5 -3.25 98 99 0.9986770020048237 0.002956257038244357
-3.5 -3.25 99 100 0.9245629266311655 0.002349212996000249
-3.25 -3 50 51 17.34081419446711 0.05976723546047649
-3.25 -3 51 52 16.55120564406562 0.05840046981666755
-3.25 -3 52 53 15.79616206846249 0.05552041165994905
-3.25 -3 53 54 15.07449289096041 0.05138571028120669
-3.25 -3 54 55 14.38498929491247 0.04623117429230234
-3.25 -3 55 56 13.72640174653158 0.04057676055412931
-3.25 -3 56 57 13.09737187352725 0.03589054288959516
-3.25 -3 57 58 12.49669400219859 0.03242620596729277
