#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 72.40647455643426 0.01070927913732404
-5 -4 1 2 -3139.670351408218 0.04440589949241165
-5 -4 2 3 -2189.39526681808 0.05909987718442012
-5 -4 3 4 -1268.514317318202 0.05821759922401165
-5 -4 4 5 -728.9484138906646 0.04445262780542001
-5 -4 5 6 -413.8897819333981 0.03829810000900864
-5 -4 6 7 -225.4095105352183 0.03490396274382718
-5 -4 7 8 -111.2054665865289 0.02017486001153048
-5 -4 8 9 -41.33233908805539 0.02594153593379356
-5 -4 9 10 2.349576039110616 0.02274173904558595
-5 -4 10 11 29.29061979129904 0.02451266828319299
-5 -4 11 12 45.76981169477051 0.01594333415878615
-5 -4 12 13 55.47537832963917 0.01583299911190876
-5 -4 13 14 60.74922183283797 0.0150670180540065
-5 -4 14 15 63.09079623092248 0.01364372662842278
-5 -4 15 16 63.49103800641802 0.01276964531154022
-5 -4 16 17 62.61789176028208 0.01196888803531005
-5 -4 17 18 60.92214164945216 0.01119039003203896
-5 -4 18 19 58.70956343473944 0.01043256481154497
-5 -4 19 20 56.1893766616833 0.009718863121455909
-5 -4 20 21 53.50592802432104 0.00906454656220643
-5 -4 21 22 50.7589401574663 0.008468736212377393
-5 -4 22 23 48.01676574571741 0.007922521084074834
-5 -4 23 24 45.32550587618866 0.007417384824205853
-5 -4 24 25 42.71550338135802 0.006948203863218739
-5 -4 25 26 40.20599276081441 0.006512418176771291
-5 -4 26 27 37.80839792590655 0.006108327706723963
-5 -4 27 28 35.5286520934485 0.005734058486671507
-5 -4 28 29 33.36883229720486 0.005387350760395391
-5 -4 29 30 31.32832258838752 0.005065771095381268
-5 -4 30 31 29.40465217901222 0.004766981399813779
-5 -4 31 32 27.59410479823828 0.004488899095163059
-5 -4 32 33 25.89216292704775 0.004229735088959467
-5 -4 33 34 24.29218796810751 0.00282057653845836
-5 -4 34 35 22.79231565580446 0.002660039827805475
-5 -4 35 36 21.3854838823912 0.002510352815170124
-5 -4 36 37 20.06640836693377 0.002370648158724904
-5 -4 37 38 18.82992194212096 0.002240138375012711
-5 -4 38 39 17.67102843163749 0.002118105594695145
-5 -4 39 40 16.58649357762145 0.001947339434356559
-5 -4 40 41 15.56842266784388 0.001121713274557801
-5 -4 41 42 14.61443972822219 0.001063524656749206
-5 -4 42 43 13.72028098925223 0.001008860621245269
-5 -4 43 44 12.88209754810034 0.0009574717899211197
-5 -4 44 45 12.09627351664694 0.0009091285662062424
-5 -4 45 46 11.35902996884934 0.0008636134144567178
-5 -4 46 47 10.66788027362054 0.0008206991746460629
-5 -4 47 48 10.01933127974493 0.0007802112590851179
-5 -4 48 49 9.410537623673363 0.0007423426408066631
-5 -4 49 50 8.838850540658694 0.0007061654466255255
-4 -3.75 0 1 921.5604262142656 0.007316458883654219
-4 -3.75 1 2 -2368.041766552061 0.08883627807878708
-4 -3.75 2 3 -2286.175018279658 0.08912818989764888
-4 -3.75 3 4 -1492.673689534955 0.07121334164488577
-4 -3.75 4 5 -944.8774259689594 0.05698533231900402
-4 -3.75 5 6 -597.1635177069322 0.04646816353290099
-4 -3.75 6 7 -376.4209323071175 0.03859644742280213
-4 -3.75 7 8 -233.9903637278135 0.03256651524168936
-4 -3.75 8 9 -140.4020443149911 0.02784093424524659
-4 -3.75 9 10 -77.91318600362297 0.02406388293235434
-4 -3.75 10 11 -35.71700759051373 0.02099244028769294
-4 -3.75 11 12 -7.033491830662115 0.01845785288491111
-4 -3.75 12 13 12.4790231245421 0.01633964653542959
-4 -3.75 13 14 25.66766773628353 0.0145498834068451
-4 -3.75 14 15 34.43886163187631 0.01302307789164151
-4 -3.75 15 16 40.09307478786383 0.01170958037087295
-4 -3.75 16 17 43.53201056514206 0.01057113936481869
-4 -3.75 17 18 45.38978194199717 0.009577859113677091
-4 -3.75 18 19 46.11775752923177 0.008706071520129624
-4 -3.75 19 20 46.04053250725127 0.007936820110869543
