#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -510316.6868819176 10.58381056750659
10 60 -5 -4 0.5 1 97338.66786305301 4.211165211541811
10 60 -5 -4 1 1.5 97503.87694381551 3.469658398054889
10 60 -5 -4 1.5 2 76689.6564165953 2.636290621579974
10 60 -5 -4 2 2.5 60457.6589329759 2.040138456926798
10 60 -5 -4 2.5 3 48634.56064665009 1.601513356959913
10 60 -5 -4 3 3.5 39895.12464472735 1.267932958777237
10 60 -5 -4 3.5 4 33270.5870298696 1.007333062079852
10 60 -5 -4 4 4.5 28125.72666027557 1.053077702836163
10 60 -5 -4 4.5 5 24043.97976126107 0.6376223227016453
10 60 -5 -4 5 5.5 20745.92556748201 0.5455388816080813
10 60 -5 -4 5.5 6 18039.41984056191 0.412737098744401
10 60 -5 -4 6 6.5 15788.81338399367 0.3358314189663361
10 60 -5 -4 6.5 7 13896.21557012316 0.2753652140927443
10 60 -5 -4 7 7.5 12289.35557262235 0.2278618052660022
10 60 -5 -4 7.5 8 10913.83848274369 0.1899460287058901
10 60 -5 -4 8 8.5 9727.986684828 0.1592357184999855
10 60 -5 -4 8.5 9 8699.344788704657 0.1345125149437081
10 60 -5 -4 9 9.5 7802.268700221879 0.1137271710585992
10 60 -5 -4 9.5 10 7016.227832118768 0.09651742602818558
10 60 -5 -4 10 10.5 6324.590880977891 0.08325924671044049
10 60 -5 -4 10.5 11 5713.74243967801 0.07185442936315667
10 60 -5 -4 11 11.5 5172.429734744876 0.2304846893648573
10 60 -5 -4 11.5 12 4691.274410540917 0.168579966733887
10 60 -5 -4 12 12.5 4262.400807379786 0.1195644704366714
10 60 -5 -4 12.5 13 3879.152013474393 0.08101987202917371
10 60 -5 -4 13 13.5 3535.866056497035 0.05075627196902133
10 60 -5 -4 13.5 14 3227.70223660885 0.03228240447106145
10 60 -5 -4 14 14.5 2950.502645702238 0.0285978570068437
10 60 -5 -4 14.5 15 2700.678470566635 0.0248854932760878
10 60 -5 -4 15 16 4746.245669513776 0.1622333134400833
10 60 -5 -4 16 17 4005.01721539309 0.03455955964000168
10 60 -5 -4 17 18 3394.135205018868 0.02808258560935428
10 60 -5 -4 18 19 2887.858822805887 0.02265600268265189
10 60 -5 -4 19 20 2466.126212006126 0.01904163539893489
10 60 -5 -4 20 21 2113.162996859097 0.01593753241240847
10 60 -5 -4 21 22 1816.466599014534 0.01387781040739355
10 60 -5 -4 22 23 1566.058220265208 0.01503219334631467
10 60 -5 -4 23 24 1353.917373316731 0.01533576830229322
10 60 -5 -4 24 25 1173.561126176917 0.01428737947890113
10 60 -5 -4 25 26 1019.719789995737 0.01325187187978827
10 60 -5 -4 26 27 888.0885917280615 0.01245403740028905
10 60 -5 -4 27 28 775.132708121776 0.01217208720242979
10 60 -5 -4 28 29 677.9341583859041 0.01217588240422174
10 60 -5 -4 29 30 594.0769028049895 0.01153813017083394
10 60 -5 -4 30 31 521.5527937433764 0.01101490094015389
10 60 -5 -4 31 32 458.6845586169775 0.01041900753506297
10 60 -5 -4 32 33 404.0660881813687 0.009523553314238598
10 60 -5 -4 33 34 356.5151040083045 0.008838800594730856
10 60 -5 -4 34 35 315.0345809388589 0.008351754658804111
10 60 -5 -4 35 36 278.7810044107435 0.007728980152194254
10 60 -5 -4 36 37 247.0385479493944 0.006793146108691417
10 60 -5 -4 37 38 219.1980555013438 0.006178518619805118
10 60 -5 -4 38 39 194.7400625026678 0.005753233334047536
10 60 -5 -4 39 40 173.2250690980759 0.001789993502143261
10 60 -5 -4 40 42 291.7754427388897 0.008357708284790988
10 60 -5 -4 42 44 232.3734547211175 0.005857067011817207
10 60 -5 -4 44 46 185.8112808954617 0.004008184187227926
10 60 -5 -4 46 48 149.1338093695067 0.001906321003133371
10 60 -5 -4 48 50 120.1109484880057 0.0007137159284695826
10 60 -5 -4 50 52 97.04760849129096 0.001418585292555008
10 60 -5 -4 52 54 78.64879098500982 0.003028044820823084
10 60 -5 -4 54 56 63.91639207354272 0.0003791490244395845
10 60 -5 -4 56 58 52.07932415149895 0.0003082983662565653
10 60 -5 -4 58 60 42.53787180968028 0.0002520546238002908
10 60 -5 -4 60 65 75.70505804522209 0.0004502951128131372
10 60 -5 -4 65 70 46.45772625322077 0.0002772543604478983
10 60 -5 -4 70 80 46.82009725008568 0.001016677093375051
10 60 -5 -4 80 90 18.50366130823412 0.0004713849221360533
10 60 -5 -4 90 100 7.434182351117776 0.000223068626174161
10 60 -4 -3.5 0 0.5 -338402.5186110542 5.921269755752292
10 60 -4 -3.5 0.5 1 39761.95270248902 0.1135812934298883
10 60 -4 -3.5 1 1.5 49852.46812905883 2.096280282916268
10 60 -4 -3.5 1.5 2 41051.70608804876 1.525119539997831
10 60 -4 -3.5 2 2.5 33115.8933882403 1.128875966991473
10 60 -4 -3.5 2.5 3 27044.85214333118 0.8825304102647351
10 60 -4 -3.5 3 3.5 22438.26435758716 0.7054083369403088
10 60 -4 -3.5 3.5 4 18887.15381149106 0.5594711483281571
10 60 -4 -3.5 4 4.5 16095.89299605368 0.4435221746225579
10 60 -4 -3.5 4.5 5 13860.94102744724 0.3519472864809359
10 60 -4 -3.5 5 5.5 12041.7420174969 0.2827034662623191
10 60 -4 -3.5 5.5 6 10539.62414031013 0.2304293209617754
10 60 -4 -3.5 6 6.5 9283.919742578288 0.1884388042290084
10 60 -4 -3.5 6.5 7 8222.993437532925 0.1550836186652305
10 60 -4 -3.5 7 7.5 7318.382378123667 0.1291332248092658
10 60 -4 -3.5 7.5 8 6540.915859335953 0.1082771436585972
10 60 -4 -3.5 8 8.5 5868.0984973195 0.0909232073900057
10 60 -4 -3.5 8.5 9 5282.320066842105 0.07648304267331696
10 60 -4 -3.5 9 9.5 4769.601817843924 0.06449871751647152
10 60 -4 -3.5 9.5 10 4318.707906339664 0.05487484846980806
10 60 -4 -3.5 10 10.5 3920.506071495173 0.04804229324645348
10 60 -4 -3.5 10.5 11 3567.498951889782 0.04419892240957779
10 60 -4 -3.5 11 11.5 3253.474350767887 0.1467324368072696
10 60 -4 -3.5 11.5 12 2973.243376289537 0.1119269780820105
10 60 -4 -3.5 12 12.5 2722.441937889542 0.08427067956381507
10 60 -4 -3.5 12.5 13 2497.374650429475 0.06227690240666561
10 60 -4 -3.5 13 13.5 2294.894477461272 0.04483148743474885
10 60 -4 -3.5 13.5 14 2112.307250199556 0.03105572173217297
10 60 -4 -3.5 14 14.5 1947.29504231622 0.02201303855440528
10 60 -4 -3.5 14.5 15 1797.855839311543 0.01971495243697063
10 60 -4 -3.5 15 16 3201.229150735373 0.03333600031237438
10 60 -4 -3.5 16 17 2750.983423194723 0.04621778572072799
10 60 -4 -3.5 17 18 2375.723506719055 0.08262222164921695
10 60 -4 -3.5 18 19 2060.996912633745 0.1012985110410227
10 60 -4 -3.5 19 20 1795.511194435414 0.01202601946056348
10 60 -4 -3.5 20 21 1570.360728867583 0.01010214552297839
10 60 -4 -3.5 21 22 1378.464565419275 0.008651214716337563
10 60 -4 -3.5 22 23 1214.149790778423 0.007408630852523856
10 60 -4 -3.5 23 24 1072.838864768627 0.006413168921653778
10 60 -4 -3.5 24 25 950.8154099327409 0.00635389260185093
10 60 -4 -3.5 25 26 845.0424590767116 0.008102476804651815
10 60 -4 -3.5 26 27 753.0247234739455 0.009376832061889218
10 60 -4 -3.5 27 28 672.700080063554 0.01003802032198564
10 60 -4 -3.5 28 29 602.3572801566214 0.01044119642028818
10 60 -4 -3.5 29 30 540.5686721059017 0.01080410991596636
10 60 -4 -3.5 30 31 486.1379219067388 0.01123821609758124
10 60 -4 -3.5 31 32 438.0583039267744 0.01186564293715264
10 60 -4 -3.5 32 33 395.4789776855833 0.01257374463023098
10 60 -4 -3.5 33 34 357.6780104344796 0.01317985595369464
10 60 -4 -3.5 34 35 324.0408591191706 0.01354651388277262
10 60 -4 -3.5 35 36 294.0422140958112 0.01370312050693201
10 60 -4 -3.5 36 37 267.2318633816911 0.001355936709330763
10 60 -4 -3.5 37 38 243.2230336661104 0.001227555029885252
10 60 -4 -3.5 38 39 221.6814643021794 0.001112427378330949
10 60 -4 -3.5 39 40 202.3179971202304 0.001010740926460585
10 60 -4 -3.5 40 42 354.037080785187 0.001758413252218816
10 60 -4 -3.5 42 44 297.0385999002733 0.001465140064283332
10 60 -4 -3.5 44 46 250.3141063192787 0.001227988886171261
10 60 -4 -3.5 46 48 211.7937281707744 0.001035174211125423
10 60 -4 -3.5 48 50 179.870183074928 0.0008762821577192881
10 60 -4 -3.5 50 52 153.2855900390856 0.0007454357059657468
10 60 -4 -3.5 52 54 131.0476357611035 0.0006366038531666618
10 60 -4 -3.5 54 56 112.3682401125368 0.0005455848241808781
10 60 -4 -3.5 56 58 96.61705560187021 0.0004694321945351021
10 60 -4 -3.5 58 60 83.28719997569773 0.0004050648691702463
10 60 -4 -3.5 60 65 162.2914068729168 0.0007914851765633557
10 60 -4 -3.5 65 70 114.1008391479238 0.0005593630279037143
10 60 -4 -3.5 70 80 139.3968943367355 0.0006917373558223971
10 60 -4 -3.5 80 90 72.9411893189957 0.0003692298313211495
10 60 -4 -3.5 90 100 39.2142010391529 0.0005979263784965383
10 60 -3.5 -3.25 0 0.5 -189453.6126642655 3.60514183450141
10 60 -3.5 -3.25 0.5 1 17661.57530817094 0.02198725826019654
10 60 -3.5 -3.25 1 1.5 25013.4373961682 1.086180112622969
10 60 -3.5 -3.25 1.5 2 21010.50697196843 0.8507083202639478
10 60 -3.5 -3.25 2 2.5 17104.40895901334 0.6154228257291834
10 60 -3.5 -3.25 2.5 3 14046.01701377653 0.4495160227324959
10 60 -3.5 -3.25 3 3.5 11697.78411662372 0.3565595378931903
10 60 -3.5 -3.25 3.5 4 9874.086991099313 0.2894641125658381
10 60 -3.5 -3.25 4 4.5 8433.125642848852 0.2317116206868377
10 60 -3.5 -3.25 4.5 5 7274.850546545927 0.186785170886651
10 60 -3.5 -3.25 5 5.5 6329.17601007174 0.1501005280651952
10 60 -3.5 -3.25 5.5 6 5546.434838250792 0.1200789448794239
10 60 -3.5 -3.25 6 6.5 4890.808198102745 0.0975679070888873
10 60 -3.5 -3.25 6.5 7 4335.982099905341 0.08164895276968309
10 60 -3.5 -3.25 7 7.5 3862.270114951335 0.08201136549860166
10 60 -3.5 -3.25 7.5 8 3454.685380733677 0.0875019175819034
10 60 -3.5 -3.25 8 8.5 3101.635626230199 0.09291805087786997
10 60 -3.5 -3.25 8.5 9 2794.019980877234 0.09823990471886646
10 60 -3.5 -3.25 9 9.5 2524.595924170841 0.1030585284083827
10 60 -3.5 -3.25 9.5 10 2287.530413700431 0.1079305579087304
10 60 -3.5 -3.25 10 10.5 2078.073762516847 0.02492459610130027
