#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -485705.7559424441 18.39557144517312
10 60 -5 -4 0.5 1 91443.00733640883 3.890679514603107
10 60 -5 -4 1 1.5 92522.42381503552 3.259542617146508
10 60 -5 -4 1.5 2 73048.44680865003 2.498276929734857
10 60 -5 -4 2 2.5 57732.72502437279 1.945658094831742
10 60 -5 -4 2.5 3 46531.58177064766 1.534559613348392
10 60 -5 -4 3 3.5 38228.73119974449 1.21914209388342
10 60 -5 -4 3.5 4 31921.37000165191 0.9715050990525924
10 60 -5 -4 4 4.5 27014.01197764408 0.7763341230311198
10 60 -5 -4 4.5 5 23114.57459570397 0.9168821595922054
10 60 -5 -4 5 5.5 19959.649346418 0.4959512952700607
10 60 -5 -4 5.5 6 17367.54807215168 0.5015863325206737
10 60 -5 -4 6 6.5 15209.90723531904 0.325571888115519
10 60 -5 -4 6.5 7 13393.82561770159 0.266261196542473
10 60 -5 -4 7 7.5 11850.70077470226 0.2200094092695508
10 60 -5 -4 7.5 8 10528.81080509081 0.1833234795703902
10 60 -5 -4 8 8.5 9388.477307063158 0.1536351682589157
10 60 -5 -4 8.5 9 8398.765801519286 0.1298590628648526
10 60 -5 -4 9 9.5 7535.207208675295 0.1098544756259798
10 60 -5 -4 9.5 10 6778.192031437316 0.09321619338879827
10 60 -5 -4 10 10.5 6111.820195286683 0.08034713003144134
10 60 -5 -4 10.5 11 5523.063669386173 0.06925244860940438
10 60 -5 -4 11 11.5 5001.146606607865 0.2269246933255999
10 60 -5 -4 11.5 12 4537.081725441642 0.1665420755980449
10 60 -5 -4 12 12.5 4123.316733097114 0.1186982594681467
10 60 -5 -4 12.5 13 3753.464287480576 0.08105045228103336
10 60 -5 -4 13 13.5 3422.088724427871 0.05146208782934991
10 60 -5 -4 13.5 14 3124.540552232695 0.03111028386501857
10 60 -5 -4 14 14.5 2856.824421467738 0.02761309212701235
10 60 -5 -4 14.5 15 2615.490375244784 0.02402108882461107
10 60 -5 -4 15 16 4597.945790607957 0.1458538347505964
10 60 -5 -4 16 17 3881.442067225483 0.03329270534095485
10 60 -5 -4 17 18 3290.692266137567 0.02707669594656181
10 60 -5 -4 18 19 2800.906162828298 0.02183377024221045
10 60 -5 -4 19 20 2392.753711231404 0.0183443711093787
10 60 -5 -4 20 21 2051.029236111541 0.0153559092609612
10 60 -5 -4 21 22 1763.675974147315 0.01402597073456491
10 60 -5 -4 22 23 1521.067264799638 0.01491592411684906
10 60 -5 -4 23 24 1315.462995444797 0.01505316330690221
10 60 -5 -4 24 25 1140.604732958903 0.01396031314038737
10 60 -5 -4 25 26 991.4035394540346 0.01292896549193756
10 60 -5 -4 26 27 863.7009059067636 0.01213928370441408
10 60 -5 -4 27 28 754.0810340788614 0.01182009226204173
10 60 -5 -4 28 29 659.723382863619 0.01176642666621319
10 60 -5 -4 29 30 578.2918611098277 0.01111355602370168
10 60 -5 -4 30 31 507.8441554146344 0.01059346341577339
10 60 -5 -4 31 32 446.7575080486305 0.01001196879423105
10 60 -5 -4 32 33 393.6711331172021 0.00914468731349416
10 60 -5 -4 33 34 347.4405244156905 0.008485438170737325
10 60 -5 -4 34 35 307.1002345866358 0.008011036718414744
10 60 -5 -4 35 36 271.8332413478057 0.007409279170815353
10 60 -5 -4 36 37 240.9460019547193 0.006517415622397493
10 60 -5 -4 37 38 213.8481615670612 0.005933669184855717
10 60 -5 -4 38 39 190.0361416475392 0.00553339686155141
10 60 -5 -4 39 40 169.0785816463352 0.005159915063217113
10 60 -5 -4 40 42 284.9044825144413 0.008093150923969006
10 60 -5 -4 42 44 227.0118761591251 0.005742536881200522
10 60 -5 -4 44 46 181.6100493724376 0.004012866719790509
10 60 -5 -4 46 48 145.8291569514421 0.002040018425674361
10 60 -5 -4 48 50 117.5023187006035 0.0006872261131576352
10 60 -5 -4 50 52 94.98169777832564 0.001114807490225189
10 60 -5 -4 52 54 77.00773882748219 0.002657030467545951
10 60 -5 -4 54 56 62.60923257252251 0.0003650909539913982
10 60 -5 -4 56 58 51.03548502279137 0.0002968812551387146
10 60 -5 -4 58 60 41.70237812967327 0.0002427235686397466
10 60 -5 -4 60 65 74.26795351753526 0.0004336150525148241
10 60 -5 -4 65 70 45.62107013852549 0.0002670060539529118
10 60 -5 -4 70 80 46.03904929853996 0.0009806714373254977
10 60 -5 -4 80 90 18.2300202421129 0.0004567982734329235
10 60 -5 -4 90 100 7.338020721783686 0.0002166784084680629
10 60 -4 -3.5 0 0.5 -322063.5999508551 5.582672551972792
10 60 -4 -3.5 0.5 1 37519.39570234199 0.06604501136462204
10 60 -4 -3.5 1 1.5 47469.88567126732 2.02770206459536
10 60 -4 -3.5 1.5 2 39209.61003835381 1.448241404475993
10 60 -4 -3.5 2 2.5 31694.15099936161 1.075084352880367
10 60 -4 -3.5 2.5 3 25923.34071159676 0.8434169581778406
10 60 -4 -3.5 3 3.5 21533.83074755371 0.6761009955844202
10 60 -4 -3.5 3.5 4 18143.67922261017 0.5373317465746368
10 60 -4 -3.5 4 4.5 15474.80802473898 0.4267896881410707
10 60 -4 -3.5 4.5 5 13335.04888300062 0.3393039991769911
10 60 -4 -3.5 5 5.5 11591.37166570039 0.2730301773153769
10 60 -4 -3.5 5.5 6 10150.21057802445 0.22283194317788
10 60 -4 -3.5 6 6.5 8944.448703726903 0.182351093764737
10 60 -4 -3.5 6.5 7 7924.976440975829 0.1501316897210927
10 60 -4 -3.5 7 7.5 7055.165730548091 0.1250232932243307
10 60 -4 -3.5 7.5 8 6307.204184656674 0.1048174471379753
10 60 -4 -3.5 8 8.5 5659.619770015142 0.08795341862514761
10 60 -4 -3.5 8.5 9 5095.58546861895 0.07394772503994318
10 60 -4 -3.5 9 9.5 4601.730954330998 0.06236137040650647
10 60 -4 -3.5 9.5 10 4167.299368393697 0.05304056882232544
10 60 -4 -3.5 10 10.5 3783.540249901309 0.04891023714753828
10 60 -4 -3.5 10.5 11 3443.263974151984 0.04538533372397069
10 60 -4 -3.5 11 11.5 3140.508956266774 0.1428228054655847
10 60 -4 -3.5 11.5 12 2870.292335846801 0.1089566009677583
10 60 -4 -3.5 12 12.5 2628.420785469843 0.0820498714056157
10 60 -4 -3.5 12.5 13 2411.341684610983 0.060660601597192
10 60 -4 -3.5 13 13.5 2216.028114500466 0.04369977590204144
10 60 -4 -3.5 13.5 14 2039.887637700714 0.0303074043538345
10 60 -4 -3.5 14 14.5 1880.689044967067 0.02401794567299476
10 60 -4 -3.5 14.5 15 1736.504499752829 0.02173950519977552
10 60 -4 -3.5 15 16 3092.365514277024 0.03725611902200399
10 60 -4 -3.5 16 17 2657.874396858257 0.0437026496638282
10 60 -4 -3.5 17 18 2295.707506688851 0.07902571613612963
10 60 -4 -3.5 18 19 1991.931618371476 0.09715750831423975
10 60 -4 -3.5 19 20 1735.657627219512 0.01170338816268668
10 60 -4 -3.5 20 21 1518.296913988767 0.009710049982004421
10 60 -4 -3.5 21 22 1333.019877061715 0.008316144128002634
10 60 -4 -3.5 22 23 1174.354561821984 0.007115566203765411
10 60 -4 -3.5 23 24 1037.885444656864 0.006159778889923473
10 60 -4 -3.5 24 25 920.0274892194363 0.005316341061529783
10 60 -4 -3.5 25 26 817.8510548845677 0.006732430839633707
10 60 -4 -3.5 26 27 728.9490175559914 0.00818950179609601
10 60 -4 -3.5 27 28 651.3321966207182 0.009003125551089397
10 60 -4 -3.5 28 29 583.3497638773357 0.009562577090491686
10 60 -4 -3.5 29 30 523.6245029703113 0.01009580699462731
10 60 -4 -3.5 30 31 471.0023126199197 0.01066059962613508
10 60 -4 -3.5 31 32 424.511954146349 0.01138213231007512
10 60 -4 -3.5 32 33 383.3325664366627 0.01214309071178832
10 60 -4 -3.5 33 34 346.767618766593 0.0127765105971207
10 60 -4 -3.5 34 35 314.2241655111578 0.01316998561100036
10 60 -4 -3.5 35 36 285.1953509256255 0.01334827569019126
10 60 -4 -3.5 36 37 259.2467533348782 0.001299745881851777
10 60 -4 -3.5 37 38 236.0050805252058 0.001176577293620085
10 60 -4 -3.5 38 39 215.147734665279 0.001066217576749295
10 60 -4 -3.5 39 40 196.3956168953767 0.0009686511090478689
10 60 -4 -3.5 40 42 343.777165784581 0.001685063199829528
10 60 -4 -3.5 42 44 288.5461520093498 0.001403900691911986
10 60 -4 -3.5 44 46 243.2528027345187 0.001176574191362079
10 60 -4 -3.5 46 48 205.897813272771 0.0009917457493315851
10 60 -4 -3.5 48 50 174.9282586498601 0.0008394777865134984
10 60 -4 -3.5 50 52 149.1284268468342 0.0007140992396443835
10 60 -4 -3.5 52 54 127.5389757173502 0.0006098208253746407
10 60 -4 -3.5 54 56 109.3977667810411 0.0005226215334346307
10 60 -4 -3.5 56 58 94.09500352599326 0.0004496666248314796
10 60 -4 -3.5 58 60 81.14016464645172 0.0003880061748731123
10 60 -4 -3.5 60 65 158.1943164912813 0.0007581504768836567
10 60 -4 -3.5 65 70 111.3077102649731 0.0005358090171085905
10 60 -4 -3.5 70 80 136.1296109185541 0.0006626215709104599
10 60 -4 -3.5 80 90 71.33493075396981 0.0003537086877400952
10 60 -4 -3.5 90 100 38.4046509511731 0.0003632539893132503
10 60 -3.5 -3.25 0 0.5 -180619.976877988 3.423842692747712
10 60 -3.5 -3.25 0.5 1 16640.61668593201 0.008910223230486736
10 60 -3.5 -3.25 1 1.5 23837.93024517923 1.036863853954856
10 60 -3.5 -3.25 1.5 2 20088.25579463711 0.8171189396125556
10 60 -3.5 -3.25 2 2.5 16387.77556200801 0.5922487613315752
10 60 -3.5 -3.25 2.5 3 13478.47209039978 0.4326830939407955
10 60 -3.5 -3.25 3 3.5 11238.90421532599 0.3434371064195147
10 60 -3.5 -3.25 3.5 4 9496.18805754429 0.2789472731128626
10 60 -3.5 -3.25 4 4.5 8117.014335838778 0.2233393501792307
10 60 -3.5 -3.25 4.5 5 7006.911873824393 0.1801288466540427
10 60 -3.5 -3.25 5 5.5 6099.518930033731 0.1448390740943069
10 60 -3.5 -3.25 5.5 6 5347.710849464565 0.118464340304854
10 60 -3.5 -3.25 6 6.5 4717.445548114772 0.1112578501570169
10 60 -3.5 -3.25 6.5 7 4183.677740901923 0.1072734701110676
10 60 -3.5 -3.25 7 7.5 3727.645623403637 0.1058732557730764
10 60 -3.5 -3.25 7.5 8 3335.048959421866 0.1047505118326626
10 60 -3.5 -3.25 8 8.5 2994.813977048211 0.1045827665284378
10 60 -3.5 -3.25 8.5 9 2698.237505226975 0.1051588026625723
10 60 -3.5 -3.25 9 9.5 2438.386531976228 0.1059464531276717
10 60 -3.5 -3.25 9.5 10 2209.672034185233 0.107384851291954
10 60 -3.5 -3.25 10 10.5 2007.538903177702 0.02407550809834902
10 60 -3.5 -3.25 10.5 11 1828.234309822575 0.02067311677546968
10 60 -3.5 -3.25 11 11.5 1668.644972471893 0.07528317197602519
10 60 -3.5 -3.25 11.5 12 1526.164333213241 0.05728402196064053
10 60 -3.5 -3.25 12 12.5 1398.595627731803 0.04297288302018387
10 60 -3.5 -3.25 12.5 13 1284.075927711479 0.03164659839671913
10 60 -3.5 -3.25 13 13.5 1181.016289583795 0.02267816947642132
10 60 -3.5 -3.25 13.5 14 1088.054755254732 0.01559964361604216
10 60 -3.5 -3.25 14 14.5 1004.018506367611 0.01003686227284106
10 60 -3.5 -3.25 14.5 15 927.893402508671 0.007518961800542456
10 60 -3.5 -3.25 15 16 1654.768025836112 0.01291355780972481
10 60 -3.5 -3.25 16 17 1425.235572831181 0.02470501125276314
10 60 -3.5 -3.25 17 18 1233.82419511826 0.04271741270281382
10 60 -3.5 -3.25 18 19 1073.189374667017 0.05175327338452007
10 60 -3.5 -3.25 19 20 937.5901298591681 0.006038839708253363
10 60 -3.5 -3.25 20 21 822.4978762005653 0.005125163894376783
10 60 -3.5 -3.25 21 22 724.3120839886435 0.004380250740041447
10 60 -3.5 -3.25 22 23 640.1480390709243 0.003750222505686907
10 60 -3.5 -3.25 23 24 567.6789180798531 0.003250724457529941
10 60 -3.5 -3.25 24 25 505.0155316912546 0.002821604223299801
10 60 -3.5 -3.25 25 26 450.6147892364176 0.00246683110003687
10 60 -3.5 -3.25 26 27 403.2093435781865 0.002163822602767596
10 60 -3.5 -3.25 27 28 361.7525924608263 0.0019088510790084
10 60 -3.5 -3.25 28 29 325.3757536106845 0.001685856351571147
10 60 -3.5 -3.25 29 30 293.3544724614943 0.001504208056189782
10 60 -3.5 -3.25 30 31 265.0817506043325 0.001332119695518941
10 60 -3.5 -3.25 31 32 240.0468582484786 0.001200876496938008
