#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -535440.3303590001 11.02529724442866
10 60 -5 -4 0.5 1 99517.45687998146 4.383747801402933
10 60 -5 -4 1 1.5 100190.7002382791 3.562961701260065
10 60 -5 -4 1.5 2 78788.74322175828 2.693134382963763
10 60 -5 -4 2 2.5 62074.15646364952 2.078654039847606
10 60 -5 -4 2.5 3 49902.85256870112 1.629774242384883
10 60 -5 -4 3 3.5 40911.5133328536 1.289983324968489
10 60 -5 -4 3.5 4 34100.7196069304 1.025217095178959
10 60 -5 -4 4 4.5 28814.82387692055 1.283291201521934
10 60 -5 -4 4.5 5 24623.90215141479 0.6503748781760805
10 60 -5 -4 5 5.5 21239.65512368985 0.5199886669470288
10 60 -5 -4 5.5 6 18463.91489792005 0.4212718224116543
10 60 -5 -4 6 6.5 16156.84627445165 0.3426923159513535
10 60 -5 -4 6.5 7 14217.5911967213 0.2809884176258493
10 60 -5 -4 7 7.5 12571.72908694777 0.2325418934069603
10 60 -5 -4 7.5 8 11163.27896430264 0.1938466928349953
10 60 -5 -4 8 8.5 9949.372779722436 0.1624958120773954
10 60 -5 -4 8.5 9 8896.646992910513 0.137303275798331
10 60 -5 -4 9 9.5 7978.754649082977 0.1161321419731394
10 60 -5 -4 9.5 10 7174.613588337066 0.09858392990008724
10 60 -5 -4 10 10.5 6467.154195539264 0.08504776550580573
10 60 -5 -4 10.5 11 5842.408815962495 0.07338412388071447
10 60 -5 -4 11 11.5 5288.838466344176 0.2339021140460318
10 60 -5 -4 11.5 12 4796.830103964863 0.1710215024686477
10 60 -5 -4 12 12.5 4358.313888115217 0.1212293425096505
10 60 -5 -4 12.5 13 3966.470987917978 0.08207331175708532
10 60 -5 -4 13 13.5 3615.503381634695 0.05132927498334539
10 60 -5 -4 13.5 14 3300.455313561838 0.03300185320085802
10 60 -5 -4 14 14.5 3017.071083657659 0.02926061270500213
10 60 -5 -4 14.5 15 2761.67820319779 0.02547185518733386
10 60 -5 -4 15 16 4853.65293981445 0.166702572192662
10 60 -5 -4 16 17 4095.918974839801 0.03538211434351979
