#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -524203.698945549 8.633797534042969
10 60 -5 -4 0.5 1 68629.47848274212 3.088945995652466
10 60 -5 -4 1 1.5 81954.7483326731 3.14925835323811
10 60 -5 -4 1.5 2 67032.84175944413 2.56815157008532
10 60 -5 -4 2 2.5 53990.43670000017 2.07577306881285
10 60 -5 -4 2.5 3 44099.46004742948 1.688102068445005
10 60 -5 -4 3 3.5 36618.67692170964 1.380775309444289
10 60 -5 -4 3.5 4 30856.60370969467 1.133119782196445
10 60 -5 -4 4 4.5 26325.02913932539 0.9341518022556556
10 60 -5 -4 4.5 5 22691.58475909844 0.7950038309645606
10 60 -5 -4 5 5.5 19728.44181540927 0.6382853374452679
10 60 -5 -4 5.5 6 17276.27147177075 0.5336398547733552
10 60 -5 -4 6 6.5 15221.37444403866 0.450978333787134
10 60 -5 -4 6.5 7 13480.80480114889 0.3820191870072449
10 60 -5 -4 7 7.5 11992.91869411726 0.3249676170198654
10 60 -5 -4 7.5 8 10710.98200176561 0.2777432674683951
10 60 -5 -4 8 8.5 9598.964955490148 0.2384848795391008
10 60 -5 -4 8.5 9 8628.649261593544 0.205441570156836
10 60 -5 -4 9 9.5 7777.619259590314 0.1772632407637502
10 60 -5 -4 9.5 10 7027.833781273353 0.1536985916773119
10 60 -5 -4 10 10.5 6364.604411977842 0.1349566680091812
10 60 -5 -4 10.5 11 5775.84699867668 0.1182360106922715
10 60 -5 -4 11 11.5 5251.524912163462 0.1026371651232694
10 60 -5 -4 11.5 12 4783.232634106609 0.22265733043605
10 60 -5 -4 12 12.5 4363.87769111702 0.1690376312972148
10 60 -5 -4 12.5 13 3987.43701571708 0.1260417156158837
10 60 -5 -4 13 13.5 3648.763378577318 0.09152948826977081
10 60 -5 -4 13.5 14 3343.435764020041 0.06377889101622713
10 60 -5 -4 14 14.5 3067.639742238372 0.05015133063307076
10 60 -5 -4 14.5 15 2818.067930818071 0.04413720269440091
10 60 -5 -4 15 16 4978.290766128792 0.07515384255748359
10 60 -5 -4 16 17 4229.303257037941 0.0979412796723409
10 60 -5 -4 17 18 3607.483796144574 0.1770244755439307
10 60 -5 -4 18 19 3088.511747259042 0.04048516780494538
10 60 -5 -4 19 20 2653.281063566636 0.03391182628593015
10 60 -5 -4 20 21 2286.653636163119 0.02824858751819193
10 60 -5 -4 21 22 1976.543005825368 0.02336688564309952
10 60 -5 -4 22 23 1713.233860964779 0.01979274999393965
10 60 -5 -4 23 24 1488.863478173551 0.01671080872824859
10 60 -5 -4 24 25 1297.034789353791 0.01460727997414324
10 60 -5 -4 25 26 1132.514360697794 0.01374244471799102
10 60 -5 -4 26 27 991.0009019143275 0.01287479172367512
10 60 -5 -4 27 28 868.9412266161893 0.01257816119220934
10 60 -5 -4 28 29 763.3845765807455 0.01271518427654428
10 60 -5 -4 29 30 671.8745365014305 0.01220877329285486
10 60 -5 -4 30 31 592.3582055359694 0.01190752314471411
10 60 -5 -4 31 32 523.1115698380704 0.01142194784927142
10 60 -5 -4 32 33 462.6819884058461 0.01041824939289882
10 60 -5 -4 33 34 409.841731959668 0.00971520606390186
10 60 -5 -4 34 35 363.5502983126291 0.009318111177833543
10 60 -5 -4 35 36 322.923355529708 0.008753709377003815
10 60 -5 -4 36 37 287.2067500659843 0.007859561667260095
10 60 -5 -4 37 38 255.7557885404761 0.007316542222156386
10 60 -5 -4 38 39 228.018386599949 0.006952866056877838
10 60 -5 -4 39 40 203.5194564345038 0.006573489818237022
10 60 -5 -4 40 42 344.5169751249347 0.008676567799284385
10 60 -5 -4 42 44 276.1534374249802 0.008040350420799314
10 60 -5 -4 44 46 222.2007858440613 0.006144530667512527
10 60 -5 -4 46 48 179.4163328964187 0.003825693272148101
10 60 -5 -4 48 50 145.3418216310568 0.002013457512248351
10 60 -5 -4 50 52 118.0951845574034 0.0009944148565210753
10 60 -5 -4 52 54 96.22816235896526 0.001924410490829587
10 60 -5 -4 54 56 78.61679255843245 0.002938210173709876
10 60 -5 -4 56 58 64.38652524472229 0.0005397230822552501
10 60 -5 -4 58 60 52.8534050309791 0.0004432082858727426
10 60 -5 -4 60 65 94.82048471941648 0.0007981549987903236
10 60 -5 -4 65 70 58.86287373822015 0.0004989468625282711
10 60 -5 -4 70 80 60.22138295150837 0.001011235457283988
10 60 -5 -4 80 90 24.29239949506609 0.0005014138457113404
10 60 -5 -4 90 100 9.949880077447304 0.0002503454417350781
10 60 -4 -3.5 0 0.5 -332526.8537196068 13.7019188827835
10 60 -4 -3.5 0.5 1 25313.51071970298 0.05956257042635116
10 60 -4 -3.5 1 1.5 41377.19587791275 1.809517211913771
10 60 -4 -3.5 1.5 2 35581.37695188863 1.388731592931435
10 60 -4 -3.5 2 2.5 29348.06795366643 1.085415741417819
10 60 -4 -3.5 2.5 3 24336.98526547618 0.8845004587674339
10 60 -4 -3.5 3 3.5 20434.86644861722 0.7331086440863146
10 60 -4 -3.5 3.5 4 17374.50029881261 0.6036726451056893
10 60 -4 -3.5 4 4.5 14937.34663081326 0.4967932976196607
10 60 -4 -3.5 4.5 5 12964.92895061983 0.4095743667003262
10 60 -4 -3.5 5 5.5 11344.56109337464 0.3406478031502047
10 60 -4 -3.5 5.5 6 9995.59726732554 0.2863524293516093
10 60 -4 -3.5 6 6.5 8859.469453761576 0.2412920784845483
10 60 -4 -3.5 6.5 7 7892.919567549764 0.2042125631196541
10 60 -4 -3.5 7 7.5 7063.439963234756 0.1743980933142666
10 60 -4 -3.5 7.5 8 6346.190858572976 0.1496606589325893
10 60 -4 -3.5 8 8.5 5721.890740927339 0.1286752033975063
10 60 -4 -3.5 8.5 9 5175.353828122727 0.1108781984385132
10 60 -4 -3.5 9 9.5 4694.458796665573 0.09560281932135695
10 60 -4 -3.5 9.5 10 4269.411872051454 0.08301430151732347
10 60 -4 -3.5 10 10.5 3892.212009054145 0.07245719185175403
10 60 -4 -3.5 10.5 11 3556.258261080197 0.06319579242381224
10 60 -4 -3.5 11 11.5 3256.055144494133 0.05580141145264861
10 60 -4 -3.5 11.5 12 2986.990895666419 0.1354585725093784
10 60 -4 -3.5 12 12.5 2745.169093812531 0.106215182653159
10 60 -4 -3.5 12.5 13 2527.27525648602 0.08257265542988534
10 60 -4 -3.5 13 13.5 2330.474247818019 0.06347003904056692
10 60 -4 -3.5 13.5 14 2152.328428888697 0.04810802081101428
10 60 -4 -3.5 14 14.5 1990.73136496301 0.0356818160214516
10 60 -4 -3.5 14.5 15 1843.856322092299 0.02571822109757704
10 60 -4 -3.5 15 16 3298.222021851376 0.1152410245194915
10 60 -4 -3.5 16 17 2851.225059218908 0.03451079038813987
10 60 -4 -3.5 17 18 2476.279638019846 0.02829916162590962
10 60 -4 -3.5 18 19 2159.89487082303 0.04909466815342967
10 60 -4 -3.5 19 20 1891.454520196753 0.0665119095413047
10 60 -4 -3.5 20 21 1662.529435705953 0.07519848258334605
10 60 -4 -3.5 21 22 1466.37445903506 0.0139348489283293
10 60 -4 -3.5 22 23 1297.552457687619 0.01184774842113256
10 60 -4 -3.5 23 24 1151.649566281307 0.01016446251446723
10 60 -4 -3.5 24 25 1025.062538509837 0.008711610465979902
10 60 -4 -3.5 25 26 914.8307958628519 0.00756129349758794
10 60 -4 -3.5 26 27 818.5093812942528 0.007550207754889016
10 60 -4 -3.5 27 28 734.0673828448316 0.008556460487625372
10 60 -4 -3.5 28 29 659.8116305103106 0.009302655468673038
10 60 -4 -3.5 29 30 594.3228736310037 0.009958098715742381
10 60 -4 -3.5 30 31 536.4065051532258 0.01064026708399979
10 60 -4 -3.5 31 32 485.0530530298881 0.01154943236940653
10 60 -4 -3.5 32 33 439.4056636799795 0.01255613458431526
10 60 -4 -3.5 33 34 398.734449513097 0.01343952489617095
10 60 -4 -3.5 34 35 362.4155495850169 0.01403414006398407
10 60 -4 -3.5 35 36 329.9136942182668 0.01436828378615473
10 60 -4 -3.5 36 37 300.7685319932392 0.01444951971365072
10 60 -4 -3.5 37 38 274.5829218900205 0.001766114918325457
10 60 -4 -3.5 38 39 251.0126997039943 0.001593658034323653
10 60 -4 -3.5 39 40 229.7589366516599 0.001441702265083222
10 60 -4 -3.5 40 42 403.7555300960519 0.002494462815207044
10 60 -4 -3.5 42 44 340.6328442062945 0.002064968824754487
10 60 -4 -3.5 44 46 288.5882705094078 0.001721290606610637
10 60 -4 -3.5 46 48 245.4420800811593 0.001444725182267348
10 60 -4 -3.5 48 50 209.4916835753135 0.001218935994756976
10 60 -4 -3.5 50 52 179.3969859333753 0.001034388317833645
10 60 -4 -3.5 52 54 154.0950133038634 0.0008819412234970514
10 60 -4 -3.5 54 56 132.7371058196419 0.0007551935488265826
10 60 -4 -3.5 56 58 114.6408829091001 0.0006496530385362576
10 60 -4 -3.5 58 60 99.25492786222804 0.0005608755469523885
10 60 -4 -3.5 60 65 194.7806722846099 0.001098452239659764
10 60 -4 -3.5 65 70 138.3248916862864 0.0007810134372618904
10 60 -4 -3.5 70 80 171.2590758234869 0.0009789016164347686
10 60 -4 -3.5 80 90 91.19240280944908 0.0005360127340594545
10 60 -4 -3.5 90 100 49.82075739184 0.001447116352430555
10 60 -3.5 -3.25 0 0.5 -182854.3546991719 4.95138931326801
10 60 -3.5 -3.25 0.5 1 10498.74684645675 0.02009291873400798
10 60 -3.5 -3.25 1 1.5 20619.56166986534 0.9212450168488431
10 60 -3.5 -3.25 1.5 2 18120.75487900198 0.7708201836867374
10 60 -3.5 -3.25 2 2.5 15089.16438474584 0.5899673598978552
10 60 -3.5 -3.25 2.5 3 12583.21258114729 0.4553765576820297
10 60 -3.5 -3.25 3 3.5 10605.83450984154 0.3730352691727603
10 60 -3.5 -3.25 3.5 4 9042.487864915331 0.3103242078141193
10 60 -3.5 -3.25 4 4.5 7790.607077928467 0.2565294997966703
10 60 -3.5 -3.25 4.5 5 6773.320924871203 0.2133891814928575
10 60 -3.5 -3.25 5 5.5 5934.990556793794 0.1836458109746673
10 60 -3.5 -3.25 5.5 6 5235.350578989166 0.1717738598417782
10 60 -3.5 -3.25 6 6.5 4644.926230323225 0.1632887612859122
10 60 -3.5 -3.25 6.5 7 4141.814286900339 0.1573893486438465
10 60 -3.5 -3.25 7 7.5 3709.476716061487 0.1535086403937385
10 60 -3.5 -3.25 7.5 8 3335.225455820738 0.1504088918954949
10 60 -3.5 -3.25 8 8.5 3009.178435524844 0.1478540030179829
10 60 -3.5 -3.25 8.5 9 2723.530895738393 0.05649947842675829
10 60 -3.5 -3.25 9 9.5 2472.033953805898 0.0490287322209042
10 60 -3.5 -3.25 9.5 10 2249.629411763765 0.04271753566627012
10 60 -3.5 -3.25 10 10.5 2052.176074074452 0.0373424079052711
10 60 -3.5 -3.25 10.5 11 1876.250702297508 0.03260239801306852
10 60 -3.5 -3.25 11 11.5 1718.999080927315 0.02847925209857749
10 60 -3.5 -3.25 11.5 12 1578.022764985035 0.07049627203878117
10 60 -3.5 -3.25 12 12.5 1451.292289402886 0.05508769782136369
10 60 -3.5 -3.25 12.5 13 1337.079776043138 0.04267627816147979
10 60 -3.5 -3.25 13 13.5 1233.905683718202 0.03267395734246747
10 60 -3.5 -3.25 13.5 14 1140.4968249683 0.02462303954825984
10 60 -3.5 -3.25 14 14.5 1055.752587801675 0.01815339806080374
10 60 -3.5 -3.25 14.5 15 978.717623979927 0.01297468305097027
10 60 -3.5 -3.25 15 16 1753.109799071153 0.05699421407416594
10 60 -3.5 -3.25 16 17 1518.554545217232 0.01752542207350416
10 60 -3.5 -3.25 17 18 1321.735321177764 0.01445283342604853
10 60 -3.5 -3.25 18 19 1155.58370420336 0.02688704170645906
10 60 -3.5 -3.25 19 20 1014.53666398239 0.03541226425204513
10 60 -3.5 -3.25 20 21 894.177121415353 0.03953174593902986
10 60 -3.5 -3.25 21 22 790.9711335081843 0.007118996663166399
10 60 -3.5 -3.25 22 23 702.0699558324676 0.00604510568666683
10 60 -3.5 -3.25 23 24 625.1625808025643 0.005185881320358021
10 60 -3.5 -3.25 24 25 558.3621643901416 0.004458448072114152
10 60 -3.5 -3.25 25 26 500.1193523747074 0.003859053513224353
10 60 -3.5 -3.25 26 27 449.1550555398703 0.003353374512471419
10 60 -3.5 -3.25 27 28 404.4078598079619 0.002927457827695434
10 60 -3.5 -3.25 28 29 364.9924524348862 0.002565523411874437
10 60 -3.5 -3.25 29 30 330.1673981904786 0.002260734104652329
10 60 -3.5 -3.25 30 31 299.3086577732491 0.00199019123317612
10 60 -3.5 -3.25 31 32 271.8889694745805 0.001774024732355883
10 60 -3.5 -3.25 32 33 247.4611426134996 0.001570258961351101
10 60 -3.5 -3.25 33 34 225.644245602583 0.00140558762876708
10 60 -3.5 -3.25 34 35 206.1128066424829 0.001256496543021512
10 60 -3.5 -3.25 35 36 188.5876438431769 0.001128533628076411
10 60 -3.5 -3.25 36 37 172.8285373328474 0.001015787783018141
10 60 -3.5 -3.25 37 38 158.6281545999908 0.0009164581343554801
10 60 -3.5 -3.25 38 39 145.8069460124119 0.0008291683488437229
10 60 -3.5 -3.25 39 40 134.2090079007736 0.0007519935606978834
10 60 -3.5 -3.25 40 42 237.8557689908269 0.001306079219403955
10 60 -3.5 -3.25 42 44 203.0594865064035 0.001087669895099452
