#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -1017627.5140181 13.38555038126651
10 60 -5 -4 0.5 1 26664.04585161286 0.2249755629709398
10 60 -5 -4 1 1.5 82435.1906231858 3.529025407595327
10 60 -5 -4 1.5 2 73776.98828202332 2.972052254874143
10 60 -5 -4 2 2.5 61379.87527886668 2.416702677830472
10 60 -5 -4 2.5 3 50908.82729499562 1.95634805312875
10 60 -5 -4 3 3.5 42611.37504995042 1.584014680622204
10 60 -5 -4 3.5 4 36057.56855703484 1.282304292377376
10 60 -5 -4 4 4.5 30825.3007963644 1.039820404319471
10 60 -5 -4 4.5 5 26590.17673086416 0.8453571641584858
10 60 -5 -4 5 5.5 23115.09491172638 0.6826014178950572
10 60 -5 -4 5.5 6 20227.96112925454 0.5574245124116715
10 60 -5 -4 6 6.5 17802.54406719952 0.7937636035749165
10 60 -5 -4 6.5 7 15745.18566993788 0.3798220719709207
10 60 -5 -4 7 7.5 13985.22769971891 0.3166663583178888
10 60 -5 -4 7.5 8 12468.63297391087 0.2659209706507681
10 60 -5 -4 8 8.5 11153.39931566655 0.2244291858296492
10 60 -5 -4 8.5 9 10006.43071169488 0.1906819573068788
10 60 -5 -4 9 9.5 9001.308900548927 0.1621086035356711
10 60 -5 -4 9.5 10 8116.691601975881 0.1382783665840179
10 60 -5 -4 10 10.5 7335.149136105771 0.1197519557035776
10 60 -5 -4 10.5 11 6642.30646744076 0.1036590086996512
10 60 -5 -4 11 11.5 6026.201369208447 0.08897490874187497
10 60 -5 -4 11.5 12 5476.800752676578 0.2424830697736979
10 60 -5 -4 12 12.5 4985.628731689525 0.1791928458487746
10 60 -5 -4 12.5 13 4545.481441388937 0.1289083455203581
10 60 -5 -4 13 13.5 4150.199239858604 0.08895933540043188
10 60 -5 -4 13.5 14 3794.490063323612 0.05720646724876133
10 60 -5 -4 14 14.5 3473.787569341052 0.04202861004523584
10 60 -5 -4 14.5 15 3184.132834351532 0.03669213602915988
10 60 -5 -4 15 16 5606.709734777372 0.06665468227856763
10 60 -5 -4 16 17 4742.443099507882 0.2091047874610013
10 60 -5 -4 17 18 4027.776300124575 0.041551549120868
10 60 -5 -4 18 19 3433.707325838278 0.03359228790259294
10 60 -5 -4 19 20 2937.500982387765 0.02823780578137303
10 60 -5 -4 20 21 2521.187283177398 0.02360685831308729
10 60 -5 -4 21 22 2170.456071212944 0.01953556966191172
10 60 -5 -4 22 23 1873.837535320685 0.01740254415176423
10 60 -5 -4 23 24 1622.076793527169 0.01786334247208288
10 60 -5 -4 24 25 1407.666969798591 0.01654636657031006
10 60 -5 -4 25 26 1224.486444618865 0.01529357586514379
10 60 -5 -4 26 27 1067.520112382718 0.01435980777137047
10 60 -5 -4 27 28 932.6387595973208 0.0141107681174617
10 60 -5 -4 28 29 816.4247564646128 0.01425690847656824
10 60 -5 -4 29 30 716.0421259372681 0.01352115337829218
10 60 -5 -4 30 31 629.1289360392246 0.01296405400626099
10 60 -5 -4 31 32 553.7084449409964 0.0123239430937474
10 60 -5 -4 32 33 488.1203050086272 0.01125362737184332
10 60 -5 -4 33 34 430.9660551180301 0.01046403248619754
10 60 -5 -4 34 35 381.0645344191694 0.009962203312511519
10 60 -5 -4 35 36 337.4149699766468 0.009266287524042127
10 60 -5 -4 36 37 299.1668846072753 0.00813009218023808
10 60 -5 -4 37 38 265.5955544696637 0.007438159145124246
10 60 -5 -4 38 39 236.0822811558237 0.00700733149392363
10 60 -5 -4 39 40 210.0964867851461 0.006612425434866509
10 60 -5 -4 40 42 354.1319740468235 0.01039184440611507
10 60 -5 -4 42 44 282.2762640035062 0.007447588290119711
10 60 -5 -4 44 46 225.8914116195203 0.005364266499697123
10 60 -5 -4 46 48 181.4326851562796 0.002865131377575381
10 60 -5 -4 48 50 146.2207138254294 0.001064636624391824
10 60 -5 -4 50 52 118.215821881006 0.001094400176341992
10 60 -5 -4 52 54 95.85791752367957 0.003101789633518592
10 60 -5 -4 54 56 77.94272176527386 0.000565377942507439
10 60 -5 -4 56 58 63.53899690633506 0.0004597516368178844
10 60 -5 -4 58 60 51.92164873179514 0.0003757860052644446
10 60 -5 -4 60 65 92.46917161781862 0.0006710525936455269
10 60 -5 -4 65 70 56.79763252104803 0.0004130601431953096
10 60 -5 -4 70 80 57.30188884660647 0.00122034668786597
10 60 -5 -4 80 90 22.67432647465442 0.0005690044983950315
10 60 -5 -4 90 100 9.118081498754897 0.0002715616478212723
10 60 -4 -3.5 0 0.5 -640810.7661536628 7.561714056995697
10 60 -4 -3.5 0.5 1 -5874.287442767918 0.01160184439686418
10 60 -4 -3.5 1 1.5 39084.52754193552 0.6145630357787013
10 60 -4 -3.5 1.5 2 38220.90856509224 1.707950735115446
10 60 -4 -3.5 2 2.5 32922.74687393363 1.321051791164791
10 60 -4 -3.5 2.5 3 27863.07112497067 1.068127090991766
10 60 -4 -3.5 3 3.5 23651.43711185707 0.8763209091121098
10 60 -4 -3.5 3.5 4 20232.41700140298 0.7084124901593896
10 60 -4 -3.5 4 4.5 17453.69252531058 0.5707124872642453
10 60 -4 -3.5 4.5 5 15175.68924593267 0.459545516398066
10 60 -4 -3.5 5 5.5 13288.33039448015 0.374365638848758
10 60 -4 -3.5 5.5 6 11708.10516086394 0.3092536795647902
10 60 -4 -3.5 6 6.5 10372.06685402357 0.2559073803331557
10 60 -4 -3.5 6.5 7 9232.525098197941 0.2127758822425676
10 60 -4 -3.5 7 7.5 8252.979836819353 0.1787445909449161
10 60 -4 -3.5 7.5 8 7405.15782254611 0.1509927944107403
10 60 -4 -3.5 8 8.5 6666.880169290597 0.1276398731379231
10 60 -4 -3.5 8.5 9 6020.537274737822 0.1080393635929795
10 60 -4 -3.5 9 9.5 5451.981134799584 0.09163797741985036
10 60 -4 -3.5 9.5 10 4949.719637511798 0.07836642696111085
10 60 -4 -3.5 10 10.5 4504.325168714118 0.06746344917246461
10 60 -4 -3.5 10.5 11 4107.993103515085 0.05824477773148828
10 60 -4 -3.5 11 11.5 3754.206955796225 0.05097025825762103
10 60 -4 -3.5 11.5 12 3437.485595029045 0.1538117000636703
10 60 -4 -3.5 12 12.5 3153.189560965138 0.1185624384879702
10 60 -4 -3.5 12.5 13 2897.366818138302 0.09028381299549437
10 60 -4 -3.5 13 13.5 2666.633072865418 0.06764434883689319
10 60 -4 -3.5 13.5 14 2458.076013579543 0.04958015147349215
10 60 -4 -3.5 14 14.5 2269.177802762189 0.03512927794781717
10 60 -4 -3.5 14.5 15 2097.753915173458 0.02583102990911357
10 60 -4 -3.5 15 16 3741.860194863013 0.08675504852089944
10 60 -4 -3.5 16 17 3222.610863603196 0.03490678310708972
10 60 -4 -3.5 17 18 2788.484847167114 0.05839614739670651
10 60 -4 -3.5 18 19 2423.372521789945 0.08916880597007548
10 60 -4 -3.5 19 20 2114.614423206975 0.1047015904860018
10 60 -4 -3.5 20 21 1852.176152053785 0.01496239688776768
10 60 -4 -3.5 21 22 1628.043148542733 0.01281910488705762
10 60 -4 -3.5 22 23 1435.768519094819 0.01098353518000295
10 60 -4 -3.5 23 24 1270.130984690883 0.009515382641211545
10 60 -4 -3.5 24 25 1126.877851083191 0.008224953691978953
10 60 -4 -3.5 25 26 1002.523527872469 0.007909227701588861
10 60 -4 -3.5 26 27 894.1964340788435 0.009667308505072469
10 60 -4 -3.5 27 28 799.5174900751944 0.01060866406930927
10 60 -4 -3.5 28 29 716.5080843509182 0.01125533675588031
10 60 -4 -3.5 29 30 643.5141201771694 0.01188625863835568
10 60 -4 -3.5 30 31 579.1468597079922 0.01256984373401338
10 60 -4 -3.5 31 32 522.2356299100937 0.01348068757954479
10 60 -4 -3.5 32 33 471.7894022779373 0.01447460783936094
10 60 -4 -3.5 33 34 426.9659894904166 0.01532228197532959
10 60 -4 -3.5 34 35 387.0475020945909 0.01585384874533702
10 60 -4 -3.5 35 36 351.419443322301 0.01610793778826292
10 60 -4 -3.5 36 37 319.5545432126278 0.002020256834498468
10 60 -4 -3.5 37 38 290.9993205411934 0.001828997719599101
10 60 -4 -3.5 38 39 265.3613822223411 0.001657981384255436
10 60 -4 -3.5 39 40 242.3009214112491 0.001506409989417534
10 60 -4 -3.5 40 42 424.2941318522982 0.002621220562900817
10 60 -4 -3.5 42 44 356.2949575144022 0.002184323251867681
10 60 -4 -3.5 44 46 300.4927043509672 0.0018309765413278
10 60 -4 -3.5 46 48 254.4425433671626 0.001543609410106228
10 60 -4 -3.5 48 50 216.2431808203248 0.001306768073817466
10 60 -4 -3.5 50 52 184.4046444325107 0.001111661913370199
10 60 -4 -3.5 52 54 157.750009600654 0.0009493623930154627
10 60 -4 -3.5 54 56 135.3435245952114 0.0008135999871115018
10 60 -4 -3.5 56 58 116.4358269111367 0.0006999693425342457
10 60 -4 -3.5 58 60 100.423776331606 0.0006039315413630675
10 60 -4 -3.5 60 65 195.8411245846973 0.001179807109593867
10 60 -4 -3.5 65 70 137.8362053531378 0.0008335589421051282
10 60 -4 -3.5 70 80 168.6102324852567 0.001030089546873114
10 60 -4 -3.5 80 90 88.35647869342763 0.0005492058402722932
10 60 -4 -3.5 90 100 47.55427900699681 0.0003066606834494223
10 60 -3.5 -3.25 0 0.5 -352497.7199551036 3.949542177724652
10 60 -3.5 -3.25 0.5 1 -7519.170240431698 0.01352467018023162
10 60 -3.5 -3.25 1 1.5 18878.13135532628 0.6044913804435055
10 60 -3.5 -3.25 1.5 2 19272.57724572365 0.4948606680700323
10 60 -3.5 -3.25 2 2.5 16852.37391649916 0.7275927348746336
10 60 -3.5 -3.25 2.5 3 14377.6599306566 0.5426444442909997
10 60 -3.5 -3.25 3 3.5 12267.31586694772 0.4413354299504135
10 60 -3.5 -3.25 3.5 4 10531.99709218359 0.3659459122118278
10 60 -3.5 -3.25 4 4.5 9110.136182976055 0.2976526324964652
10 60 -3.5 -3.25 4.5 5 7937.8489705686 0.243575447963849
10 60 -3.5 -3.25 5 5.5 6962.48642704376 0.1984298414317891
10 60 -3.5 -3.25 5.5 6 6143.187161539409 0.1606823920683382
10 60 -3.5 -3.25 6 6.5 5448.708603694531 0.1333513119816416
10 60 -3.5 -3.25 6.5 7 4855.142848738275 0.1306271783669217
10 60 -3.5 -3.25 7 7.5 4344.056013261543 0.1307165308999174
10 60 -3.5 -3.25 7.5 8 3901.083346920854 0.1305817106026552
10 60 -3.5 -3.25 8 8.5 3514.904706635931 0.1313277980329985
10 60 -3.5 -3.25 8.5 9 3176.494824305761 0.1327587680088982
10 60 -3.5 -3.25 9 9.5 2878.576709019836 0.1342143735887475
10 60 -3.5 -3.25 9.5 10 2615.224685318908 0.04118610886871465
10 60 -3.5 -3.25 10 10.5 2381.559986271036 0.03563825831315626
10 60 -3.5 -3.25 10.5 11 2173.537479444626 0.03074460431071202
10 60 -3.5 -3.25 11 11.5 1987.772451703906 0.026529838926308
10 60 -3.5 -3.25 11.5 12 1821.413182294669 0.08065673526266437
10 60 -3.5 -3.25 12 12.5 1672.041458963306 0.06196671132488518
10 60 -3.5 -3.25 12.5 13 1537.594950612586 0.04704380413932086
10 60 -3.5 -3.25 13 13.5 1416.305294997502 0.03511078938640821
10 60 -3.5 -3.25 13.5 14 1306.64930405069 0.02559070302413602
10 60 -3.5 -3.25 14 14.5 1207.309282220975 0.01802194812444213
10 60 -3.5 -3.25 14.5 15 1117.14087136412 0.01201932619028412
10 60 -3.5 -3.25 15 16 1995.601459836119 0.04285555395858864
10 60 -3.5 -3.25 16 17 1722.310594025862 0.01595091791728009
10 60 -3.5 -3.25 17 18 1493.715054568965 0.03194450908677027
10 60 -3.5 -3.25 18 19 1301.355975790394 0.0474721114071599
10 60 -3.5 -3.25 19 20 1138.584612302297 0.05501264396025363
10 60 -3.5 -3.25 20 21 1000.130242095763 0.007879894534880805
10 60 -3.5 -3.25 21 22 881.783788157783 0.006740658626313234
10 60 -3.5 -3.25 22 23 780.1594544698153 0.005781417942557709
10 60 -3.5 -3.25 23 24 692.5164851315647 0.005014886167032273
10 60 -3.5 -3.25 24 25 616.6223619319956 0.004357248652240742
10 60 -3.5 -3.25 25 26 550.6481806147347 0.003812629546018798
10 60 -3.5 -3.25 26 27 493.0878611928391 0.003347793989632919
10 60 -3.5 -3.25 27 28 442.6946194187865 0.002953686336184091
10 60 -3.5 -3.25 28 29 398.4311624873362 0.002613020331295957
10 60 -3.5 -3.25 29 30 359.4309021388302 0.0023292925206988
10 60 -3.5 -3.25 30 31 324.9662599502114 0.002067803797785928
10 60 -3.5 -3.25 31 32 294.423993357725 0.001861351608283712
10 60 -3.5 -3.25 32 33 267.2853262180084 0.001662760620320114
10 60 -3.5 -3.25 33 34 243.1094130723797 0.001500943073807548
10 60 -3.5 -3.25 34 35 221.5204049029349 0.001353261512633708
10 60 -3.5 -3.25 35 36 202.1967739570459 0.001225011933030373
10 60 -3.5 -3.25 36 37 184.8624970550865 0.001111252284061948
10 60 -3.5 -3.25 37 38 169.2798235146301 0.001009784417590254
10 60 -3.5 -3.25 38 39 155.2433844827028 0.0009199898616145674
10 60 -3.5 -3.25 39 40 142.5752771143688 0.0008398506429330155
10 60 -3.5 -3.25 40 42 251.866453744082 0.001472014115705633
10 60 -3.5 -3.25 42 44 214.107188066048 0.001239654999153572
10 60 -3.5 -3.25 44 46 182.8756408870208 0.001050200566396597
10 60 -3.5 -3.25 46 48 156.8860517007555 0.0008954599848891576
10 60 -3.5 -3.25 48 50 135.1371150060146 0.0007673716203271397
10 60 -3.5 -3.25 50 52 116.8418037685019 0.0006608397007994427
10 60 -3.5 -3.25 52 54 101.3772853927541 0.0005712475818313578
10 60 -3.5 -3.25 54 56 88.24641843920828 0.0004962166582487271
10 60 -3.5 -3.25 56 58 77.05025654999828 0.0004325032098932979
10 60 -3.5 -3.25 58 60 67.46613246473251 0.0003783231334182346
10 60 -3.5 -3.25 60 65 135.0737204552932 0.0007572515807225955
10 60 -3.5 -3.25 65 70 98.97617627291649 0.0005556540338886862
10 60 -3.5 -3.25 70 80 128.6191063596132 0.0008556255081089148
10 60 -3.5 -3.25 80 90 73.76799843792695 0.000611719552622958
10 60 -3.5 -3.25 90 100 43.71784425786457 0.0004975590270461794
10 60 -3.25 -3 0 0.5 -373984.3874088463 10.73607833951246
