#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -231451.2042488633 6.704057577240746
10 60 -5 -4 0.5 1 100744.3152476024 3.303968155407347
10 60 -5 -4 1 1.5 83950.06321766227 2.691236307713552
10 60 -5 -4 1.5 2 63658.23992788509 2.076573482467211
10 60 -5 -4 2 2.5 49500.43175472879 1.63453997180477
10 60 -5 -4 2.5 3 39589.26424839048 1.30804143682326
10 60 -5 -4 3 3.5 32404.56429232419 1.057858713371388
10 60 -5 -4 3.5 4 27017.2257479429 0.8603835397661896
10 60 -5 -4 4 4.5 22859.43005089907 0.7819202857863274
10 60 -5 -4 4.5 5 19572.61599940816 0.5755718004584196
10 60 -5 -4 5 5.5 16921.85088356202 0.4741353132121731
10 60 -5 -4 5.5 6 14748.1088040197 0.3957836317640613
10 60 -5 -4 6 6.5 12940.37976199226 0.3317940436736535
10 60 -5 -4 6.5 7 11419.20569301442 0.2801037543631537
10 60 -5 -4 7 7.5 10126.28530340216 0.2375771009556047
10 60 -5 -4 7.5 8 9017.943852543858 0.2024648368551425
10 60 -5 -4 8 8.5 8060.837560168519 0.1733637085153532
10 60 -5 -4 8.5 9 7229.072160660813 0.1490349025743853
10 60 -5 -4 9 9.5 6502.231361176463 0.1283472585300842
10 60 -5 -4 9.5 10 5863.994115807642 0.1110621231255209
10 60 -5 -4 10 10.5 5301.153866151977 0.09732530890869384
10 60 -5 -4 10.5 11 4802.906951070723 0.08511630648717983
10 60 -5 -4 11 11.5 4360.327611073154 0.2124841828554054
10 60 -5 -4 11.5 12 3965.977402729136 0.1610950295084876
10 60 -5 -4 12 12.5 3613.608886266439 0.1198909516665481
10 60 -5 -4 12.5 13 3297.939330719184 0.08704956263545682
10 60 -5 -4 13 13.5 3014.472719705987 0.06086719506265581
10 60 -5 -4 13.5 14 2759.362053857125 0.04013804499209073
10 60 -5 -4 14 14.5 2529.299887129924 0.03568788625398156
10 60 -5 -4 14.5 15 2321.428274224862 0.03134257247847927
10 60 -5 -4 15 16 4095.928562543684 0.05327958569296243
10 60 -5 -4 16 17 3474.51343189026 0.1258955941680142
10 60 -5 -4 17 18 2959.770983799112 0.03534610470751431
10 60 -5 -4 18 19 2531.021927016586 0.02846145623925622
10 60 -5 -4 19 20 2172.091500200219 0.02379095497008166
10 60 -5 -4 20 21 1870.213596649772 0.01979853270199783
10 60 -5 -4 21 22 1615.230695696744 0.01631364272861902
10 60 -5 -4 22 23 1399.002923182915 0.01379471128893783
10 60 -5 -4 23 24 1214.961067913245 0.01310478381446956
10 60 -5 -4 24 25 1057.773591911526 0.01232546279038615
10 60 -5 -4 25 26 923.0885374377162 0.01159638213118797
10 60 -5 -4 26 27 807.3361238386628 0.0108735265038149
10 60 -5 -4 27 28 707.5728584438828 0.01056780243322919
10 60 -5 -4 28 29 621.3587312325875 0.01057128203387947
10 60 -5 -4 29 30 546.6653854494695 0.01012194165093661
10 60 -5 -4 30 31 481.799849533341 0.009817808419427365
10 60 -5 -4 31 32 424.5860711821878 0.0136457236404226
