#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -439373.5211631684 11.68730252375826
10 60 -5 -4 0.5 1 127189.097864697 4.122634864179417
10 60 -5 -4 1 1.5 110974.222961208 3.801356608906644
10 60 -5 -4 1.5 2 84326.48292715932 2.964252297737403
10 60 -5 -4 2 2.5 65260.21521636148 2.318216680891055
10 60 -5 -4 2.5 3 51834.29805038871 1.827041954034939
10 60 -5 -4 3 3.5 42101.83052912548 1.446695368853398
10 60 -5 -4 3.5 4 34823.4622495424 1.147491750765766
10 60 -5 -4 4 4.5 29229.22454089176 0.9113461840897799
10 60 -5 -4 4.5 5 24828.60861026612 0.7227793919118994
10 60 -5 -4 5 5.5 21299.0408159046 0.5741339285414142
10 60 -5 -4 5.5 6 18421.47828037081 0.4602921637706459
10 60 -5 -4 6 6.5 16042.87425108389 0.3707314373841655
10 60 -5 -4 6.5 7 14053.66820124186 0.3005938346886978
10 60 -5 -4 7 7.5 12373.51146910482 0.2469614911278768
10 60 -5 -4 7.5 8 10942.27238207998 0.2053565755049931
10 60 -5 -4 8 8.5 9714.11089296174 0.1717744864199631
10 60 -5 -4 8.5 9 8653.494448725576 0.1449408083171875
10 60 -5 -4 9 9.5 7732.466804458616 0.1223602340505749
10 60 -5 -4 9.5 10 6928.738776282341 0.1034288630607989
10 60 -5 -4 10 10.5 6224.325121469898 0.08835137611549726
10 60 -5 -4 10.5 11 5604.558041551593 0.252675396345694
10 60 -5 -4 11 11.5 5057.360473576368 0.1798676622083804
10 60 -5 -4 11.5 12 4572.704533096807 0.1232117369727348
10 60 -5 -4 12 12.5 4142.19950955491 0.07908323512674542
10 60 -5 -4 12.5 13 3758.778558070177 0.04502035145651462
10 60 -5 -4 13 13.5 3416.452468012757 0.03754526359125521
10 60 -5 -4 13.5 14 3110.11884500252 0.03332151496033475
10 60 -5 -4 14 14.5 2835.409758856782 0.0294403899538338
10 60 -5 -4 14.5 15 2588.568028545968 0.027275595023184
10 60 -5 -4 15 16 4532.292653390984 0.04335401433309016
10 60 -5 -4 16 17 3806.000582898487 0.03505767797832959
10 60 -5 -4 17 18 3210.611183834525 0.02816112121172409
10 60 -5 -4 18 19 2719.676169874774 0.02271070908045658
10 60 -5 -4 19 20 2312.704688982429 0.01881993906317803
10 60 -5 -4 20 21 1973.676021356039 0.01565763847270318
10 60 -5 -4 21 22 1689.961158558259 0.01387596520771694
10 60 -5 -4 22 23 1451.532858222049 0.0149051557484654
10 60 -5 -4 23 24 1250.372720526647 0.01498555404077706
10 60 -5 -4 24 25 1080.030409303446 0.01365088228999412
10 60 -5 -4 25 26 935.2872488160459 0.0125073406500178
10 60 -5 -4 26 27 811.8988700431773 0.01188785518786517
10 60 -5 -4 27 28 706.3951843930886 0.01166296832104763
10 60 -5 -4 28 29 615.924102607786 0.01143802212573064
10 60 -5 -4 29 30 538.13332052371 0.01058679598361323
10 60 -5 -4 30 31 471.0752250393708 0.009901353977170402
10 60 -5 -4 31 32 413.1293566124825 0.009296443520497633
10 60 -5 -4 32 33 362.9422694277796 0.008554945799232883
10 60 -5 -4 33 34 319.3801208540933 0.007927706848192884
10 60 -5 -4 34 35 281.4900552906346 0.007361369644343085
10 60 -5 -4 35 36 248.468543380234 0.006691302268393429
10 60 -5 -4 36 37 219.6360317185652 0.00578293170619304
10 60 -5 -4 37 38 194.4160674078642 0.005187364207102974
10 60 -5 -4 38 39 172.3185086444271 0.004783118977940148
10 60 -5 -4 39 40 152.9250588784015 0.004414967134010794
10 60 -5 -4 40 42 256.7494943597264 0.006757691249504205
10 60 -5 -4 42 44 203.6032623448305 0.004419901898671696
10 60 -5 -4 44 46 162.1382625219174 0.002730520308688256
10 60 -5 -4 46 48 129.6212756493038 0.000937778390124322
10 60 -5 -4 48 50 104.0005586089364 0.0006023870501934425
10 60 -5 -4 50 52 83.72431703046092 0.001916991738667662
10 60 -5 -4 52 54 67.61273288333487 0.003256892412906609
10 60 -5 -4 54 56 54.76088490938843 0.0003135060327821293
10 60 -5 -4 56 58 44.47264865013065 0.0002533890625073809
10 60 -5 -4 58 60 36.20904834654876 0.0002059702110770445
10 60 -5 -4 60 65 64.11456312575704 0.0003645423093843192
10 60 -5 -4 65 70 39.06024638818983 0.0002215255081026157
10 60 -5 -4 70 80 38.99927209827148 0.0009858437072409743
10 60 -5 -4 80 90 15.22148901053722 0.0004392166451694379
10 60 -5 -4 90 100 6.045540836715958 0.0002007915340245248
10 60 -4 -3.5 0 0.5 -307789.3140131729 6.616156162985135
10 60 -4 -3.5 0.5 1 56421.45844412108 0.05761959003575612
10 60 -4 -3.5 1 1.5 57801.90956428715 2.54241855028522
10 60 -4 -3.5 1.5 2 45722.04655379078 1.812734519975493
10 60 -4 -3.5 2 2.5 36143.32564586163 1.334569719343563
10 60 -4 -3.5 2.5 3 29122.21849990149 1.033118697971076
10 60 -4 -3.5 3 3.5 23915.96672568051 0.8164571192937728
