#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -466897.8782938814 9.158657838997897
10 60 -5 -4 0.5 1 81453.89248678274 0.1505666383745847
10 60 -5 -4 1 1.5 84585.17377573196 3.560939043149119
10 60 -5 -4 1.5 2 67086.82918989305 2.461461406070157
10 60 -5 -4 2 2.5 53137.48507776966 1.794705819193041
10 60 -5 -4 2.5 3 42897.007897708 1.358292060722306
10 60 -5 -4 3 3.5 35294.13918987487 1.056326929865463
10 60 -5 -4 3.5 4 29513.52575795282 0.8366639119958563
10 60 -5 -4 4 4.5 25013.23842269034 0.6689538678474491
10 60 -5 -4 4.5 5 21435.27761983753 0.5918020533717936
10 60 -5 -4 5 5.5 18538.70440004246 0.434044647958217
10 60 -5 -4 5.5 6 16157.21960001091 0.6469516790602938
10 60 -5 -4 6 6.5 14173.31710661443 0.2915583247158793
10 60 -5 -4 6.5 7 12501.93683177722 0.2402786245565949
10 60 -5 -4 7 7.5 11080.29808125344 0.1994370418960898
10 60 -5 -4 7.5 8 9861.091801483319 0.1667061086627655
10 60 -5 -4 8 8.5 8808.043912515901 0.1402999903930322
10 60 -5 -4 8.5 9 7892.891660884353 0.1187725524823691
10 60 -5 -4 9 9.5 7093.290064608555 0.1010047817126178
10 60 -5 -4 9.5 10 6391.339552205579 0.08622715338606213
10 60 -5 -4 10 10.5 5772.52991829344 0.0737824121124504
10 60 -5 -4 10.5 11 5224.973018964002 0.06364393450348871
10 60 -5 -4 11 11.5 4738.836986051335 0.2297633463504098
10 60 -5 -4 11.5 12 4305.920093941547 0.1724885079065643
10 60 -5 -4 12 12.5 3919.328716212475 0.1268153618375436
10 60 -5 -4 12.5 13 3573.229442373914 0.09043731725751059
10 60 -5 -4 13 13.5 3262.656091957458 0.06158976778169745
10 60 -5 -4 13.5 14 2983.357226692014 0.0387825265192987
10 60 -5 -4 14 14.5 2731.675710031159 0.02565092200438812
10 60 -5 -4 14.5 15 2504.451864418706 0.02288650546688586
10 60 -5 -4 15 16 4411.708891749046 0.06720808460704575
10 60 -5 -4 16 17 3734.138347219728 0.1692750437528048
10 60 -5 -4 17 18 3173.879866795695 0.0256156576479043
10 60 -5 -4 18 19 2708.075418531951 0.02104826356026024
10 60 -5 -4 19 20 2318.857258400414 0.01745417415713746
10 60 -5 -4 20 21 1992.132297197229 0.01507726342788374
10 60 -5 -4 21 22 1716.697752054918 0.01487516909401165
10 60 -5 -4 22 23 1483.583367774284 0.01437720480998905
10 60 -5 -4 23 24 1285.559913750993 0.01362547275334691
10 60 -5 -4 24 25 1116.766770868003 0.01296907873415876
10 60 -5 -4 25 26 972.4259922333703 0.01235346381645286
10 60 -5 -4 26 27 848.6223625780108 0.01172512842629203
10 60 -5 -4 27 28 742.1323613335622 0.01114207214027374
