#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -456963.7906693024 8.959530952735804
10 60 -5 -4 0.5 1 80179.3360115626 0.1428875797282672
10 60 -5 -4 1 1.5 83281.16655162837 3.470181784345186
10 60 -5 -4 1.5 2 66104.22578420558 2.409170055005234
10 60 -5 -4 2 2.5 52394.88442153252 1.761226001886826
10 60 -5 -4 2.5 3 42321.76807718197 1.335322141647339
10 60 -5 -4 3 3.5 34837.63205492499 1.039797103381716
10 60 -5 -4 3.5 4 29143.62093947222 0.8243610001045454
10 60 -5 -4 4 4.5 24708.21817470665 0.6595779793569818
10 60 -5 -4 4.5 5 21180.04392463692 0.7642062332597561
10 60 -5 -4 5 5.5 18322.48424028945 0.4284339500663918
10 60 -5 -4 5.5 6 15972.12967853681 0.5245785249098844
10 60 -5 -4 6 6.5 14013.46569344503 0.287995163242158
10 60 -5 -4 6.5 7 12362.82773983874 0.2374249172844429
10 60 -5 -4 7 7.5 10958.44405154744 0.1971439598455618
10 60 -5 -4 7.5 8 9753.743626899175 0.1648434437611286
10 60 -5 -4 8 8.5 8713.003198389011 0.1387771300360328
10 60 -5 -4 8.5 9 7808.377853483631 0.1175240107668287
10 60 -5 -4 9 9.5 7017.844460107404 0.09997760668466071
10 60 -5 -4 9.5 10 6323.754766883583 0.085383435730364
10 60 -5 -4 10 10.5 5711.79738611918 0.07309023079960753
10 60 -5 -4 10.5 11 5170.243257277396 0.06307225956606999
10 60 -5 -4 11 11.5 4689.389218474549 0.2286522086569676
10 60 -5 -4 11.5 12 4261.138716554312 0.1717403906877735
10 60 -5 -4 12 12.5 3878.684792518737 0.1263522947456295
10 60 -5 -4 12.5 13 3536.266069913326 0.09019683901215103
10 60 -5 -4 13 13.5 3228.97669046566 0.06152318139174895
10 60 -5 -4 13.5 14 2952.616047198868 0.03884971479419619
10 60 -5 -4 14 14.5 2703.570114205037 0.02548744827709015
10 60 -5 -4 14.5 15 2478.715996707232 0.0227455563122021
10 60 -5 -4 15 16 4366.436147888303 0.06464344039795833
10 60 -5 -4 16 17 3695.863940037861 0.1662832006090866
10 60 -5 -4 17 18 3141.363361738567 0.02549297096447845
10 60 -5 -4 18 19 2680.327441381314 0.02095370162169274
10 60 -5 -4 19 20 2295.081927182401 0.01738005408606114
10 60 -5 -4 20 21 1971.684473580532 0.0153172642460504
10 60 -5 -4 21 22 1699.050872735825 0.01497681021896824
10 60 -5 -4 22 23 1468.304959253802 0.0143659734007997
10 60 -5 -4 23 24 1272.292726726934 0.01352921019042697
10 60 -5 -4 24 25 1105.214135053286 0.01281053171828717
10 60 -5 -4 25 26 962.3403269751425 0.01215104372397491
10 60 -5 -4 26 27 839.7961083989857 0.01149866074001693
10 60 -5 -4 27 28 734.3907624743637 0.01090850592004244
10 60 -5 -4 28 29 643.484970512069 0.01028752918261944
10 60 -5 -4 29 30 564.8865892257916 0.009786907912825882
10 60 -5 -4 30 31 496.7676829216384 0.009395995690681502
