#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -453814.8922318176 7.420777625229675
10 60 -5 -4 0.5 1 61386.204799121 0.5389749570094864
10 60 -5 -4 1 1.5 72512.24381139837 0.5878848321153782
10 60 -5 -4 1.5 2 59207.67668207736 0.1462486242089653
10 60 -5 -4 2 2.5 47681.84607243177 0.1475788315801765
10 60 -5 -4 2.5 3 38970.39195774318 0.1355282290896866
10 60 -5 -4 3 3.5 32393.68649497399 0.1213515247000032
10 60 -5 -4 3.5 4 27333.15790338416 0.1075590307264065
10 60 -5 -4 4 4.5 23355.26564477746 0.09527383380918764
10 60 -5 -4 4.5 5 20166.05509784504 0.5693640067074739
10 60 -5 -4 5 5.5 17564.54941852324 0.07539130363875302
10 60 -5 -4 5.5 6 15410.52325217872 0.5581401177969383
10 60 -5 -4 6 6.5 13604.09237402979 0.05963028075893817
10 60 -5 -4 6.5 7 12072.48684350165 0.05270829691653489
10 60 -5 -4 7 7.5 10761.71670590604 0.04709653782992973
10 60 -5 -4 7.5 8 9630.903088079467 0.0423526240465435
10 60 -5 -4 8 8.5 8648.569382686082 0.03777384493878344
10 60 -5 -4 8.5 9 7790.091960041618 0.03374897430421697
10 60 -5 -4 9 9.5 7035.92708972928 0.03025895930659317
10 60 -5 -4 9.5 10 6370.358137616425 0.02714263789312099
10 60 -5 -4 10 10.5 5780.595130883473 0.02434689581059502
10 60 -5 -4 10.5 11 5256.118640240542 0.02187454594513838
10 60 -5 -4 11 11.5 4788.193576221594 0.01973237489892199
10 60 -5 -4 11.5 12 4369.503961868433 0.2178427627450219
10 60 -5 -4 12 12.5 3993.875462596475 0.1690617437784567
10 60 -5 -4 12.5 13 3656.061775537692 0.1294799941560996
10 60 -5 -4 13 13.5 3351.577659251227 0.09739592286814513
10 60 -5 -4 13.5 14 3076.567662015744 0.07146378076822657
10 60 -5 -4 14 14.5 2827.701150619803 0.05052733527600139
10 60 -5 -4 14.5 15 2602.088221343605 0.03370046995269149
10 60 -5 -4 15 16 4608.079486696701 0.1172326719142802
10 60 -5 -4 16 17 3927.4218143894 0.02030714107149834
