#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -926974.7238252073 11.72454067715444
10 60 -5 -4 0.5 1 17833.97563293345 0.1211787898500916
10 60 -5 -4 1 1.5 71333.78769484696 0.8707850197388325
10 60 -5 -4 1.5 2 64765.43711845847 2.857613663982193
10 60 -5 -4 2 2.5 54232.03082848127 2.170374358487607
10 60 -5 -4 2.5 3 45176.50196188372 1.6892910331444
10 60 -5 -4 3 3.5 37945.45096617057 1.343005979295413
10 60 -5 -4 3.5 4 32207.41877736504 1.083747671593301
10 60 -5 -4 4 4.5 27611.00942145996 0.8808553910566843
10 60 -5 -4 4.5 5 23880.36457765018 0.7186619944368431
10 60 -5 -4 5 5.5 20811.84284647569 0.6327333831213764
10 60 -5 -4 5.5 6 18256.75206713299 0.4860757761889545
10 60 -5 -4 6 6.5 16105.6676641849 0.6708507572348026
10 60 -5 -4 6.5 7 14277.18895626928 0.3360515374042734
10 60 -5 -4 7 7.5 12709.76404104742 0.2813368167535373
10 60 -5 -4 7.5 8 11356.28697693212 0.2369025270290877
10 60 -5 -4 8 8.5 10180.09520780265 0.2006522686042445
10 60 -5 -4 8.5 9 9152.276062281053 0.1708244567835209
10 60 -5 -4 9 9.5 8249.729830526581 0.1460414027860679
10 60 -5 -4 9.5 10 7453.779902141989 0.1252809117768265
10 60 -5 -4 10 10.5 6749.158687744323 0.1076848988031998
10 60 -5 -4 10.5 11 6123.261191862016 0.0932684976623932
10 60 -5 -4 11 11.5 5565.588737182587 0.08113901904835075
10 60 -5 -4 11.5 12 5067.325307048404 0.2450238506808091
10 60 -5 -4 12 12.5 4621.014805194522 0.1857177492902338
10 60 -5 -4 12.5 13 4220.311215924575 0.138028914102506
10 60 -5 -4 13 13.5 3859.782324525688 0.09982125096212258
10 60 -5 -4 13.5 14 3534.753572020333 0.0692697713780035
10 60 -5 -4 14 14.5 3241.184224839097 0.04489281997575745
10 60 -5 -4 14.5 15 2975.567195198744 0.03415933143287475
10 60 -5 -4 15 16 5251.194160997858 0.05810500480765768
10 60 -5 -4 16 17 4454.662228572053 0.1156846756739469
10 60 -5 -4 17 18 3793.861717488895 0.03845776253865552
10 60 -5 -4 18 19 3242.84994683821 0.03165200291050496
10 60 -5 -4 19 20 2781.224379710311 0.02628078448969973
10 60 -5 -4 20 21 2392.804486363076 0.02201157853824043
10 60 -5 -4 21 22 2064.665294838532 0.01847652284595824
10 60 -5 -4 22 23 1786.411849322188 0.01656623099097487
10 60 -5 -4 23 24 1549.633429844763 0.01568818967166408
10 60 -5 -4 24 25 1347.487172475406 0.01495458183649134
10 60 -5 -4 25 26 1174.376149899195 0.01428414905035424
10 60 -5 -4 26 27 1025.70043540083 0.01359027476200936
10 60 -5 -4 27 28 897.6625810762381 0.01296015738194001
10 60 -5 -4 28 29 787.1137246797624 0.01226068185076201
10 60 -5 -4 29 30 691.4326907164835 0.01170408757923269
10 60 -5 -4 30 31 608.4293368016421 0.01127974408564114
10 60 -5 -4 31 32 536.2667310643994 0.01090509846892473
10 60 -5 -4 32 33 473.3990347589688 0.01042545551712237
10 60 -5 -4 33 34 418.521355877312 0.009950888413811754
10 60 -5 -4 34 35 370.5286722666847 0.009575310797060865
10 60 -5 -4 35 36 328.4823650874067 0.009233954649687348
10 60 -5 -4 36 37 291.5831390380868 0.008830755275596402
10 60 -5 -4 37 38 259.1484859240753 0.008338353030580947
10 60 -5 -4 38 39 230.5941155357121 0.007863582644006328
10 60 -5 -4 39 40 205.4185745766262 0.007438699776997737
10 60 -5 -4 40 42 346.7290136103334 0.01341198381561526
10 60 -5 -4 42 44 276.8611734457799 0.01090373032315028
10 60 -5 -4 44 46 221.9117290041401 0.00808534613389611
10 60 -5 -4 46 48 178.494274947606 0.005114842108383755
10 60 -5 -4 48 50 144.0408867832047 0.002004443276376833
10 60 -5 -4 50 52 116.5912389514443 0.0009358382725679348
10 60 -5 -4 52 54 94.63994010785488 0.003514074403966561
10 60 -5 -4 54 56 77.02439932861081 0.0005511750230056123
10 60 -5 -4 56 58 62.84201684078818 0.0004495829279278496
10 60 -5 -4 58 60 51.38865525668176 0.0003677433459827739
10 60 -5 -4 60 65 91.6053040454405 0.0006564223889995446
10 60 -5 -4 65 70 56.31797653160925 0.0004052246298797968
10 60 -5 -4 70 80 56.8252534994149 0.001092622866543991
10 60 -5 -4 80 90 22.4426599420678 0.0005391351166714742
10 60 -5 -4 90 100 8.983523804435285 0.0002545630603414395
10 60 -4 -3.5 0 0.5 -594010.9017110893 6.577920719631948
10 60 -4 -3.5 0.5 1 -9987.703690616821 0.2584470615747705
10 60 -4 -3.5 1 1.5 33574.98131755275 0.5516336385990144
10 60 -4 -3.5 1.5 2 33706.48443073839 1.667355596473499
10 60 -4 -3.5 2 2.5 29325.23507900726 1.448617303256469
10 60 -4 -3.5 2.5 3 24967.54759535759 0.9546376104735828
10 60 -4 -3.5 3 3.5 21286.15606640629 0.7592566378480115
10 60 -4 -3.5 3.5 4 18273.26495259912 0.6116850593389245
10 60 -4 -3.5 4 4.5 15811.30228597799 0.4974402426523739
10 60 -4 -3.5 4.5 5 13784.74316888887 0.4065166060736374
10 60 -4 -3.5 5 5.5 12100.14281293143 0.3342512253784662
10 60 -4 -3.5 5.5 6 10685.66609443526 0.2765001259158453
10 60 -4 -3.5 6 6.5 9486.731686209128 0.2297821594638663
10 60 -4 -3.5 6.5 7 8461.756903613374 0.19196264344464
10 60 -4 -3.5 7 7.5 7578.784466093961 0.1608999231011694
10 60 -4 -3.5 7.5 8 6812.984093444004 0.1353306067803715
10 60 -4 -3.5 8 8.5 6144.827405911722 0.114623447606391
10 60 -4 -3.5 8.5 9 5558.777191317979 0.09768483411244233
10 60 -4 -3.5 9 9.5 5042.325108754536 0.08324145246842818
10 60 -4 -3.5 9.5 10 4585.294059920077 0.07151187754607236
10 60 -4 -3.5 10 10.5 4179.321548706168 0.06196650585388852
10 60 -4 -3.5 10.5 11 3817.472443083489 0.05365640305853958
10 60 -4 -3.5 11 11.5 3493.949077272572 0.04668018244683481
10 60 -4 -3.5 11.5 12 3203.86812324857 0.1513218721374869
10 60 -4 -3.5 12 12.5 2943.088343241383 0.1181858016284423
10 60 -4 -3.5 12.5 13 2708.077745066246 0.09144719497044207
10 60 -4 -3.5 13 13.5 2495.807668651292 0.06994564092747169
10 60 -4 -3.5 13.5 14 2303.667405940044 0.05262971705906239
10 60 -4 -3.5 14 14.5 2129.397267870134 0.03870005377484631
10 60 -4 -3.5 14.5 15 1971.034033469523 0.02753376274495167
10 60 -4 -3.5 15 16 3522.257620344229 0.1196613860747675
10 60 -4 -3.5 16 17 3040.727370580691 0.03444711722340799
10 60 -4 -3.5 17 18 2637.14078630786 0.02758112652918498
10 60 -4 -3.5 18 19 2296.90395906362 0.06091295661599361
10 60 -4 -3.5 19 20 2008.520394103385 0.07933612898659703
10 60 -4 -3.5 20 21 1762.856799603935 0.08802874953812534
10 60 -4 -3.5 21 22 1552.59983975557 0.01206110210750921
10 60 -4 -3.5 22 23 1371.854256202816 0.01033496554123303
10 60 -4 -3.5 23 24 1215.835461887681 0.009012307586544921
10 60 -4 -3.5 24 25 1080.636846532535 0.007773356490361039
10 60 -4 -3.5 25 26 963.0515270748866 0.006834519416088369
10 60 -4 -3.5 26 27 860.431520329733 0.008247100354651593
10 60 -4 -3.5 27 28 770.5795761920135 0.01003320576376154
10 60 -4 -3.5 28 29 691.6646077641489 0.01144267083611794
10 60 -4 -3.5 29 30 622.1532388843559 0.01247821108984226
10 60 -4 -3.5 30 31 560.755372622645 0.01333112572422124
10 60 -4 -3.5 31 32 506.3814688710751 0.01405455396945854
10 60 -4 -3.5 32 33 458.1079932180261 0.01456217618277833
10 60 -4 -3.5 33 34 415.1491704263825 0.01486940705314055
10 60 -4 -3.5 34 35 376.8337574878797 0.01504799940772727
10 60 -4 -3.5 35 36 342.586459378323 0.0151479048348051
10 60 -4 -3.5 36 37 311.9128040308247 0.01515085886694578
10 60 -4 -3.5 37 38 284.3864350282008 0.001764936041354304
10 60 -4 -3.5 38 39 259.6384060923097 0.001603413003806509
10 60 -4 -3.5 39 40 237.3488073330696 0.001457710616023178
10 60 -4 -3.5 40 42 416.3066387771386 0.002540960171643292
10 60 -4 -3.5 42 44 350.3333437033551 0.002123138017225301
10 60 -4 -3.5 44 46 296.0629070005456 0.001783600746250613
10 60 -4 -3.5 46 48 251.1733099670304 0.001506820436333101
10 60 -4 -3.5 48 50 213.8544740575611 0.001278762457445737
10 60 -4 -3.5 50 52 182.6839477591324 0.00108982005008329
10 60 -4 -3.5 52 54 156.5356798748561 0.0009326952007029377
10 60 -4 -3.5 54 56 134.5119865516668 0.0008007550895854365
10 60 -4 -3.5 56 58 115.8926792513522 0.0006898194486097964
10 60 -4 -3.5 58 60 100.0965305375813 0.0005962063512043869
10 60 -4 -3.5 60 65 195.6343182133532 0.001167656614569523
10 60 -4 -3.5 65 70 138.0961126285218 0.0008284308885890823
10 60 -4 -3.5 70 80 169.5115606487435 0.001027510990951441
10 60 -4 -3.5 80 90 89.15519765466654 0.000550382136935923
10 60 -4 -3.5 90 100 48.09312552932251 0.001074054561968296
10 60 -3.5 -3.25 0 0.5 -330189.4971648916 15.93762662581867
10 60 -3.5 -3.25 0.5 1 -9653.988166223289 0.016362342857974
10 60 -3.5 -3.25 1 1.5 16146.50103929729 0.534935177076477
10 60 -3.5 -3.25 1.5 2 17053.5929447804 0.8156725047047075
10 60 -3.5 -3.25 2 2.5 15092.07618334386 0.6304624922577204
10 60 -3.5 -3.25 2.5 3 12965.09076523769 0.4971507602549536
10 60 -3.5 -3.25 3 3.5 11116.02311983983 0.3964198746925831
10 60 -3.5 -3.25 3.5 4 9580.047397349485 0.3192563970496849
10 60 -3.5 -3.25 4 4.5 8313.193983231769 0.2607697530729638
10 60 -3.5 -3.25 4.5 5 7263.636446621088 0.2151352318696809
10 60 -3.5 -3.25 5 5.5 6387.025266227495 0.1786164903687677
10 60 -3.5 -3.25 5.5 6 5648.297470063607 0.1484503443498397
10 60 -3.5 -3.25 6 6.5 5020.354154513318 0.123136681861979
10 60 -3.5 -3.25 6.5 7 4482.302949209283 0.1020626840381738
10 60 -3.5 -3.25 7 7.5 4017.948884990627 0.08466983210973922
10 60 -3.5 -3.25 7.5 8 3614.62076658214 0.07101800818463744
10 60 -3.5 -3.25 8 8.5 3262.300887800079 0.0603721949823921
10 60 -3.5 -3.25 8.5 9 2952.976827448674 0.05166235946717279
10 60 -3.5 -3.25 9 9.5 2680.175154640744 0.04418894506443394
10 60 -3.5 -3.25 9.5 10 2438.6105335281 0.0379086057441782
10 60 -3.5 -3.25 10 10.5 2223.925352031565 0.04439872257762545
10 60 -3.5 -3.25 10.5 11 2032.498259953112 0.05386527878977176
10 60 -3.5 -3.25 11 11.5 1861.29312980705 0.06268591764342091
10 60 -3.5 -3.25 11.5 12 1707.747448437549 0.07965097392525422
10 60 -3.5 -3.25 12 12.5 1569.685814115666 0.07807023868804208
10 60 -3.5 -3.25 12.5 13 1445.249733114809 0.04770770711888872
10 60 -3.5 -3.25 13 13.5 1332.840974529874 0.0362710696817885
10 60 -3.5 -3.25 13.5 14 1231.083091420808 0.02709203648691982
