#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -196394.1640374816 8.164708662428893
10 60 -5 -4 0.5 1 89967.41584897241 2.470353983182576
10 60 -5 -4 1 1.5 74381.56142636201 0.4547284352738643
10 60 -5 -4 1.5 2 56282.96451820456 0.1445409260632005
10 60 -5 -4 2 2.5 43738.82738283234 0.1348353475041222
10 60 -5 -4 2.5 3 34986.58963529095 0.1195998737312038
10 60 -5 -4 3 3.5 28655.13854786492 0.1049785502109444
10 60 -5 -4 3.5 4 23913.98909375498 0.09189536152553046
10 60 -5 -4 4 4.5 20257.99436960197 0.5168751817000157
10 60 -5 -4 4.5 5 17369.14570649157 0.07216457713002455
10 60 -5 -4 5 5.5 15039.60903089908 0.5323837367814122
10 60 -5 -4 5.5 6 13128.96910626448 0.05585386148413818
10 60 -5 -4 6 6.5 11539.3811454715 0.04955209833678964
10 60 -5 -4 6.5 7 10200.91499319417 0.04371842950422433
10 60 -5 -4 7 7.5 9062.340866561164 0.0389737411896931
10 60 -5 -4 7.5 8 8085.33489855567 0.0349746814226819
10 60 -5 -4 8 8.5 7240.67719711544 0.03115467749285017
10 60 -5 -4 8.5 9 6505.704890594087 0.02779377467140876
10 60 -5 -4 9 9.5 5862.567502741781 0.02488789408289449
10 60 -5 -4 9.5 10 5297.009166595508 0.02230305794091691
10 60 -5 -4 10 10.5 4797.502311137149 0.01998630025354942
10 60 -5 -4 10.5 11 4354.621610395355 0.01794330428765534
10 60 -5 -4 11 11.5 3960.583561095965 0.01617712805864358
10 60 -5 -4 11.5 12 3608.90289921552 0.1578291276887285
10 60 -5 -4 12 12.5 3294.133022706626 0.1205192122015433
10 60 -5 -4 12.5 13 3011.667202348826 0.09042488848126595
10 60 -5 -4 13 13.5 2757.584054147341 0.06618398923956192
10 60 -5 -4 13.5 14 2528.52657862857 0.0467231856437138
10 60 -5 -4 14 14.5 2321.605941419946 0.03112752841070687
10 60 -5 -4 14.5 15 2134.324685209672 0.01869557833151703
10 60 -5 -4 15 16 3774.799826334388 0.03832443558076193
10 60 -5 -4 16 17 3212.147018891262 0.0600927471164141
10 60 -5 -4 17 18 2744.538165587529 0.1182197319058105
10 60 -5 -4 18 19 2353.788287853288 0.0134759917386873
10 60 -5 -4 19 20 2025.637241273174 0.01348483183505778
10 60 -5 -4 20 21 1748.799109099672 0.01328731827288721
10 60 -5 -4 21 22 1514.268997725429 0.01292844321983466
10 60 -5 -4 22 23 1314.808943233918 0.01243289820513382
10 60 -5 -4 23 24 1144.562679703477 0.01184314630836525
10 60 -5 -4 24 25 998.7629007621938 0.01124141251909805
10 60 -5 -4 25 26 873.5071612363796 0.01064236165336752
10 60 -5 -4 26 27 765.5842524475645 0.01008035109475713
10 60 -5 -4 27 28 672.3390709347286 0.009595955436680015
10 60 -5 -4 28 29 591.5664022633597 0.009092515334828022
10 60 -5 -4 29 30 521.425706234374 0.02546682670106293
10 60 -5 -4 30 31 460.379459245773 0.0218583739758742
10 60 -5 -4 31 32 407.1316473955628 0.01880123601262085
10 60 -5 -4 32 33 360.5903148531078 0.01619609686326839
10 60 -5 -4 33 34 319.8313724802209 0.01397530209328579
10 60 -5 -4 34 35 284.0702649409494 0.01207992398008173
10 60 -5 -4 35 36 252.6388970329514 0.01045555549166011
10 60 -5 -4 36 37 224.9667901808995 0.009065175384705526
10 60 -5 -4 37 38 200.179010999586 0.006313578904098449
10 60 -5 -4 38 39 179.0156178426733 0.006837996462706997
10 60 -5 -4 39 40 159.9563607415473 0.00595150384401677
10 60 -5 -4 40 42 271.1938325365732 0.0111415762426077
10 60 -5 -4 42 44 217.8112603221919 0.008976791575577181
10 60 -5 -4 44 46 175.5835528789764 0.007061238406862458
10 60 -5 -4 46 48 142.0219210601984 0.004914009391683294
10 60 -5 -4 48 50 115.2362519873299 0.003348984904633312
10 60 -5 -4 50 52 93.77543681969946 0.002586706604574829
10 60 -5 -4 52 54 76.51875951142713 0.002002383601691804
10 60 -5 -4 54 56 62.59582894490546 0.001553717762419637
10 60 -5 -4 56 58 51.3271476053447 0.001207375458683657
10 60 -5 -4 58 60 42.17970482275168 0.0009395167867012333
10 60 -5 -4 60 65 75.79323520963256 0.001538363361035522
10 60 -5 -4 65 70 47.14335706192181 0.0008253442387342602
10 60 -5 -4 70 80 48.31235045438009 0.0007115559682091543
10 60 -5 -4 80 90 19.49757020781894 0.0003800438795096284
10 60 -5 -4 90 100 7.969971742679148 0.0001870449814713737
10 60 -4 -3.5 0 0.5 -142834.1677649877 3.186800269410014
10 60 -4 -3.5 0.5 1 41413.62310490724 0.8458204888083856
10 60 -4 -3.5 1 1.5 39061.92268141967 0.2860459514558897
10 60 -4 -3.5 1.5 2 30693.62992075769 0.1978375541439163
10 60 -4 -3.5 2 2.5 24351.96003136858 0.1672996570741816
10 60 -4 -3.5 2.5 3 19756.22830351827 0.1421301909067552
10 60 -4 -3.5 3 3.5 16356.48667891196 0.1231430475072557
