#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -466952.3473615659 9.160650932404678
10 60 -5 -4 0.5 1 81484.42938621721 0.1466537048545433
10 60 -5 -4 1 1.5 84607.93913327361 3.561824456584873
10 60 -5 -4 1.5 2 67103.29536058359 2.461876190049225
10 60 -5 -4 2 2.5 53149.90177948573 1.794931680829905
10 60 -5 -4 2.5 3 42906.71782905411 1.358444587567647
10 60 -5 -4 3 3.5 35301.95016612629 1.056442317109031
10 60 -5 -4 3.5 4 29519.94822674978 0.8367665008991025
10 60 -5 -4 4 4.5 25018.61051798287 0.6690435100754257
10 60 -5 -4 4.5 5 21439.83210154929 0.6318332063638081
10 60 -5 -4 5 5.5 18542.6085159749 0.4341156899863563
10 60 -5 -4 5.5 6 16160.59596744696 0.6184056090514787
10 60 -5 -4 6 6.5 14176.25872802855 0.2916072297703067
10 60 -5 -4 6.5 7 12504.51467350849 0.2403191284756758
10 60 -5 -4 7 7.5 11082.56832422106 0.1994722342187742
10 60 -5 -4 7.5 8 9863.099385979616 0.1667357908754639
10 60 -5 -4 8 8.5 8809.825309549922 0.140324770611187
10 60 -5 -4 8.5 9 7894.476854294591 0.1187935358784671
10 60 -5 -4 9 9.5 7094.703989150968 0.1010237675545795
10 60 -5 -4 9.5 10 6392.603154994489 0.08624358653560193
10 60 -5 -4 10 10.5 5773.660954655497 0.07379592523375322
10 60 -5 -4 10.5 11 5225.986659531453 0.0636565822569537
10 60 -5 -4 11 11.5 4739.746289715155 0.2298333221751818
10 60 -5 -4 11.5 12 4306.736373674758 0.1725444414032609
10 60 -5 -4 12 12.5 3920.061829820326 0.1268596319378048
10 60 -5 -4 12.5 13 3573.888024096667 0.09047156408951196
10 60 -5 -4 13 13.5 3263.247741664615 0.06161570868562194
10 60 -5 -4 13.5 14 2983.888660573196 0.03880161236793356
10 60 -5 -4 14 14.5 2732.152884686697 0.02565650416727294
10 60 -5 -4 14.5 15 2504.880084865179 0.02289119695706177
10 60 -5 -4 15 16 4412.43691352128 0.0671879375277058
10 60 -5 -4 16 17 3734.721280953312 0.1692995493353919
10 60 -5 -4 17 18 3174.343815620864 0.02562114656802805
10 60 -5 -4 18 19 2708.441639249567 0.02105258701840285
10 60 -5 -4 19 20 2319.143167211792 0.01745759648974854
10 60 -5 -4 20 21 1992.352228638599 0.01521174947765758
10 60 -5 -4 21 22 1716.863550092798 0.01495004661910571
10 60 -5 -4 22 23 1483.704846037514 0.01439871673778725
10 60 -5 -4 23 24 1285.645220755729 0.01360303834849219
10 60 -5 -4 24 25 1116.822684218391 0.01291347978758495
10 60 -5 -4 25 26 972.4581529408076 0.01227604492737555
10 60 -5 -4 26 27 848.635465735556 0.01163910833929549
10 60 -5 -4 27 28 742.1303139169804 0.0110593103456722
10 60 -5 -4 28 29 650.2756915459341 0.01043696041665498
10 60 -5 -4 29 30 570.8565239687255 0.009925428984047358
10 60 -5 -4 30 31 502.0258014914702 0.009518671989951599
10 60 -5 -4 31 32 442.2373621938571 0.009153313821798292
10 60 -5 -4 32 33 390.1923613279294 0.008715867097293994
10 60 -5 -4 33 34 344.7961734911262 0.00828611694078063
10 60 -5 -4 34 35 305.1232363880978 0.00793257320418661
10 60 -5 -4 35 36 270.3884862049354 0.007607040744915139
10 60 -5 -4 36 37 239.9242534746448 0.007237752255065288
10 60 -5 -4 37 38 213.1611158786964 0.006804552240140538
10 60 -5 -4 38 39 189.6121498104381 0.00638464463312971
10 60 -5 -4 39 40 168.8599148929478 0.006000867233893814
10 60 -5 -4 40 42 284.906523759014 0.01071076056877018
10 60 -5 -4 42 44 227.3865914662674 0.008582287394716559
10 60 -5 -4 44 46 182.1813085427443 0.006226627485887093
10 60 -5 -4 46 48 146.4856671820923 0.003769590087841834
10 60 -5 -4 48 50 118.1754605680364 0.001232914329662549
10 60 -5 -4 50 52 95.63104145033337 0.001145604188977245
10 60 -5 -4 52 54 77.60994770721493 0.003215535412039117
10 60 -5 -4 54 56 63.15355125579323 0.0003647724647848349
10 60 -5 -4 56 58 51.51823539691215 0.000297640462783022
10 60 -5 -4 58 60 42.12432571502162 0.0002435563568781163
10 60 -5 -4 60 65 75.0827032514281 0.0004350302554172458
10 60 -5 -4 65 70 46.15793604063428 0.0002688392217393698
10 60 -5 -4 70 80 46.58087807525761 0.0009072788965482914
10 60 -5 -4 80 90 18.40705336567992 0.0004442552190759841
10 60 -5 -4 90 100 7.37509846571117 0.00020897758582894
10 60 -4 -3.5 0 0.5 -316013.2181679757 5.134916071081534
10 60 -4 -3.5 0.5 1 32029.79904552786 0.05414078894682461
10 60 -4 -3.5 1 1.5 43425.04673889903 2.106590827221225
10 60 -4 -3.5 1.5 2 36243.9668186765 1.374978052997903
10 60 -4 -3.5 2 2.5 29436.17194288434 1.016400320990215
10 60 -4 -3.5 2.5 3 24150.19079842364 0.7740829372414737
10 60 -4 -3.5 3 3.5 20108.28540746241 0.6019562171823054
10 60 -4 -3.5 3.5 4 16976.75555372872 0.4757727643300314
10 60 -4 -3.5 4 4.5 14506.06164909689 0.3804435716192529
10 60 -4 -3.5 4.5 5 12521.79669905214 0.3062936921342043
10 60 -4 -3.5 5 5.5 10902.47309807643 0.2485217140038003
10 60 -4 -3.5 5.5 6 9562.314857974858 0.2031957007511664
10 60 -4 -3.5 6 6.5 8439.643844612157 0.1671134297448589
10 60 -4 -3.5 6.5 7 7489.253703580188 0.1382926350897833
