#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0.1 1 7509.557811103895 1.473981243902017
-5 -4 1 2 25253.56281928401 9.109648470959655
-5 -4 2 3 17923.15862517424 4.744359573836846
-5 -4 3 4 12918.08692620748 3.957850200777102
-5 -4 4 5 9748.62302656974 9.501156635367806
-5 -4 5 6 7623.636924334505 5.382248534422615
-5 -4 6 7 6123.37264342207 3.284065306265802
-5 -4 7 8 5020.136698426504 4.787547869375885
-5 -4 8 9 4182.7232272715 3.32060102077412
-5 -4 9 10 3530.554664515229 2.286018710572534
-5 -4 10 11 3012.040612233002 1.559008242913933
-5 -4 11 12 2592.684352738015 1.190434166860086
-5 -4 12 13 2248.624544236351 1.063262750734793
-5 -4 13 14 1962.874500340721 0.9573805293614441
-5 -4 14 15 1723.051706596347 0.8657919833651704
-5 -4 15 16 1519.931731139362 0.7835464834067807
-5 -4 16 17 1346.518486968916 0.7130287674353895
-5 -4 17 18 1197.421168778807 0.650788992677235
-5 -4 18 19 1068.427756475661 0.5935371868438324
-5 -4 19 20 956.2016548771036 0.5431549640316007
-5 -4 20 21 858.0723024036438 0.4984302197923398
-5 -4 21 22 771.8823137761996 0.4568682085207456
-5 -4 22 23 695.8694297789287 0.4188683325229476
-5 -4 23 24 628.5824080484291 0.3841668014247261
-5 -4 24 25 568.8182546957554 0.3527824653732523
-5 -4 25 26 515.5731484010473 0.3237892893271237
-5 -4 26 27 468.0032486356223 0.2968307647940378
-5 -4 27 28 425.3939659298848 0.2720941352320096
-5 -4 28 29 387.1446277899511 0.3707243494928889
-5 -4 29 30 352.7204798420973 0.3027811984011919
-5 -4 30 31 321.6851760563796 0.2472964186225681
-5 -4 31 32 293.6542185044653 0.2019636423245288
-5 -4 32 33 268.2938503431419 0.1742905748708949
-5 -4 33 34 245.3136774246992 0.1586145870100779
-5 -4 34 35 224.4607256922386 0.1440708074644306
-5 -4 35 36 205.5134792509754 0.1304432260669444
-5 -4 36 37 188.2772843404156 0.1176028742847279
-5 -4 37 38 172.580068736763 0.1056950101460359
-5 -4 38 39 158.2695958206773 0.09467429475714084
-5 -4 39 40 145.2108437696193 0.08456520869572159
-5 -4 40 41 133.2839110493045 0.07537459244926481
-5 -4 41 42 122.3820691141122 0.067006394417092
-5 -4 42 43 112.409961942348 0.0593052789250379
-5 -4 43 44 103.2820859725678 0.05230838764228452
-5 -4 44 45 94.92162950302323 0.04599435635196869
-5 -4 45 46 87.25964694010435 0.04027458460517153
-5 -4 46 47 80.23403120067923 0.03505698970775484
-5 -4 47 48 73.78879097542729 0.03029311980044724
-5 -4 48 49 67.87339914780797 0.02597122215142633
-5 -4 49 50 62.44216362334105 0.02205336256170654
