#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 21690.60081236433 1.426219067085185
-5 -4 1 2 76361.87700516482 5.894252233687439
-5 -4 2 3 55277.98575798365 5.144249900251452
-5 -4 3 4 40168.74815995535 2.888848952752596
-5 -4 4 5 30482.81045461964 1.525971416358516
-5 -4 5 6 23946.72265162063 1.612961908798752
-5 -4 6 7 19311.94814476716 0.2817842605509213
-5 -4 7 8 15891.8644148128 0.2199236239703168
-5 -4 8 9 13287.70328818949 0.2044095146411564
-5 -4 9 10 11254.26329042505 0.1910664287570398
-5 -4 10 11 9633.535148836279 0.1771330442752515
-5 -4 11 12 8319.606183513044 0.1639624308063503
-5 -4 12 13 7239.064031871801 0.1509705287207908
-5 -4 13 14 6339.603676330606 0.6051339103551072
-5 -4 14 15 5582.92634268073 0.3839695112337722
-5 -4 15 16 4940.573768637096 0.2335791708264878
-5 -4 16 17 4390.898552868571 0.3919011287734975
-5 -4 17 18 3917.200751498752 0.3022556471196367
-5 -4 18 19 3506.413393548459 0.2335771589664546
-5 -4 19 20 3148.179013966625 0.180845134651463
-5 -4 20 21 2834.194426641134 0.1393940478501463
-5 -4 21 22 2557.743441604905 0.106857531409787
-5 -4 22 23 2313.338542249933 0.08137580981838255
-5 -4 23 24 2096.453681047954 0.06110422305528118
-5 -4 24 25 1903.331831831605 0.04475648212883243
-5 -4 25 26 1730.836121544223 0.03171652711989736
-5 -4 26 27 1576.326896508763 0.02138165533642677
-5 -4 27 28 1437.566732218422 0.01742758981708903
-5 -4 28 29 1312.649217292704 0.01486119103992678
-5 -4 29 30 1199.945994385162 0.01251947176001522
-5 -4 30 31 1098.058459649413 0.01041997495826763
-5 -4 31 32 1005.778228713468 0.00858789174856156
-5 -4 32 33 922.0545270145343 0.009959690610685357
-5 -4 33 34 845.9718822787682 0.01129343307673025
-5 -4 34 35 776.731449217969 0.0129322493660311
-5 -4 35 36 713.6335118929802 0.01418749123854468
-5 -4 36 37 656.0622372350838 0.01503742716522538
-5 -4 37 38 603.4726831742422 0.01560236146667648
-5 -4 38 39 555.3817968573488 0.01595313528173392
-5 -4 39 40 511.360869401153 0.01615209626464775
-5 -4 40 41 471.028738846957 0.01621456411419331
-5 -4 41 42 434.045635732057 0.01617219049018104
-5 -4 42 43 400.107720753655 0.0159842778436996
-5 -4 43 44 368.9418968342281 0.01570638938733282
-5 -4 44 45 340.3025511772515 0.03105852168272349
-5 -4 45 46 313.9683840070188 0.02564647044573576
-5 -4 46 47 289.7402978201932 0.02117839621377016
-5 -4 47 48 267.4384272035989 0.01751120058543165
-5 -4 48 49 246.900120332367 0.01449905373829097
-5 -4 49 50 227.9780007079081 0.0132035730642599
-5 -4 50 51 210.537831852214 0.01270063012970013
-5 -4 51 52 194.4574813562528 0.01220039995510547
-5 -4 52 53 179.6258866307337 0.01169517085068605
-5 -4 53 54 165.941784195805 0.01119644150750787
-5 -4 54 55 153.3128167925802 0.01070662576196924
-5 -4 55 56 141.6546743219984 0.01022476825960439
-5 -4 56 57 130.8903047896842 0.009757232146768047
-5 -4 57 58 120.9492327788736 0.009289947719196334
-5 -4 58 59 111.7667269588403 0.008834778821650957
-5 -4 59 60 103.2833857814936 0.008393956174529649
-5 -4 60 61 95.44471531758778 0.007966300863444076
-5 -4 61 62 88.20068063163404 0.007556435935967443
-5 -4 62 63 81.50535075412597 0.007162484749642317
-5 -4 63 64 75.31651157773625 0.006781623700646833
-5 -4 64 65 69.59530977406158 0.006418034258516059
-5 -4 65 66 64.30601824246774 0.006073778510170769
-5 -4 66 67 59.4158027153363 0.005741163057450649
-5 -4 67 68 54.89436603901034 0.005421838023451642
-5 -4 68 69 50.71373354792142 0.0006919028101961544
-5 -4 69 70 46.84807583227531 0.0006246037229047374
-5 -4 70 71 43.27357646781763 0.0005657459844243817
-5 -4 71 72 39.96828769724357 0.0005748264866696218
-5 -4 72 73 36.91195471652048 0.0006033705053738458
-5 -4 73 74 34.08584631222978 0.0006085596859932707
-5 -4 74 75 31.47264848246704 0.0005831357585535102
-5 -4 75 76 29.0563986299038 0.0005031380226867554
-5 -4 76 77 26.82234468961613 0.0003740859546432773
-5 -4 77 78 24.75683854320825 0.0003310422549027692
-5 -4 78 79 22.8472606742326 0.0003088068749725892
-5 -4 79 80 21.0819423145103 0.0002872742319190991
-5 -4 80 81 19.45009939191988 0.0002673406821607216
-5 -4 81 82 17.94176524914907 0.000250563468945586
-5 -4 82 83 16.54770452791755 0.000234497153854818
-5 -4 83 84 15.25937891076109 0.0002190467654870076
-5 -4 84 85 14.06888503025183 0.0002054619469866736
-5 -4 85 86 12.96890483793991 0.0001927474564134002
-5 -4 86 87 11.95265961161427 0.0001805170905058162
-5 -4 87 88 11.01387381476788 0.0001688893184947915
-5 -4 88 89 10.14674539341059 0.0001574777077824052
-5 -4 89 90 9.345918811576327 0.0001472376323388147
-5 -4 90 91 8.606441416085401 0.0001378841706536349
-5 -4 91 92 7.923770933712124 0.0006220563792878053
-5 -4 92 93 7.293523274908686 0.000382574563453808
-5 -4 93 94 6.711812376214348 0.0001815224456791498
-5 -4 94 95 6.174988341786534 0.0001029157657006508
-5 -4 95 96 5.679675742338413 0.0001159302944806484
-5 -4 96 97 5.222749687424561 0.0002092191973703805
-5 -4 97 98 4.801316287375079 0.0002698521668946796
-5 -4 98 99 4.412692336917718 0.0003080526747307744
-5 -4 99 100 4.054390651529046 0.0003367886403768949
-4 -3.75 0 1 5587.364480037459 0.394169479915945
-4 -3.75 1 2 48963.94601820598 4.567156967670599
-4 -3.75 2 3 40755.8653154421 1.421361230401089
-4 -3.75 3 4 31076.82020658955 0.7953927512135124
-4 -3.75 4 5 24286.54213424217 0.4159164553093433
-4 -3.75 5 6 19505.08955920099 0.3108228948003671
-4 -3.75 6 7 16022.54643764151 0.2591816935691895
-4 -3.75 7 8 13402.54464218015 0.2238754405680083
-4 -3.75 8 9 11376.66047478326 0.20208824434485
-4 -3.75 9 10 9774.044332060914 0.8104189123605465
-4 -3.75 10 11 8481.925487402397 0.555797612580136
-4 -3.75 11 12 7423.327734731571 0.3745442056560933
-4 -3.75 12 13 6544.152488838978 0.2468457890154241
-4 -3.75 13 14 5805.397857503718 0.1578667151325135
-4 -3.75 14 15 5178.265174497659 0.1050771451964465
-4 -3.75 15 16 4641.134031203895 0.4611165751675799
-4 -3.75 16 17 4177.459483388576 0.3674779833236244
-4 -3.75 17 18 3774.372341409989 0.2945324245647498
-4 -3.75 18 19 3421.75947730821 0.2375168814974131
-4 -3.75 19 20 3111.566885172383 0.1930821867281338
-4 -3.75 20 21 2837.295344395303 0.1581224680280684
-4 -3.75 21 22 2593.656893691449 0.129528116579877
-4 -3.75 22 23 2376.321743976857 0.1064267919564372
-4 -3.75 23 24 2181.706561071835 0.0879464832787562
-4 -3.75 24 25 2006.817903011648 0.07278042755183378
-4 -3.75 25 26 1849.142039881875 0.06010595558041132
-4 -3.75 26 27 1706.559673540491 0.04947988917524526
-4 -3.75 27 28 1577.272910022184 0.04079453968415692
-4 -3.75 28 29 1459.742984071982 0.03353506270968865
-4 -3.75 29 30 1352.646101615278 0.02760254396162054
-4 -3.75 30 31 1254.839212493233 0.02327215836703544
-4 -3.75 31 32 1165.335259248854 0.02153260513864552
-4 -3.75 32 33 1083.275108577631 0.0196849782555546
-4 -3.75 33 34 1007.907792630316 0.01802832835244317
-4 -3.75 34 35 938.5760973879933 0.08717970424811483
-4 -3.75 35 36 874.6921725172122 0.07451566054135128
-4 -3.75 36 37 815.7459207642922 0.06392927861099906
-4 -3.75 37 38 761.2832985548714 0.05506394916017143
-4 -3.75 38 39 710.9122538818681 0.06808768265227627
-4 -3.75 39 40 664.250377124142 0.04721739651688495
-4 -3.75 40 41 620.9789427812766 0.03618088684368104
-4 -3.75 41 42 580.827694076467 0.03176676497855624
-4 -3.75 42 43 543.527246321989 0.028039243539979
-4 -3.75 43 44 508.844129563869 0.02489049085443185
-4 -3.75 44 45 476.5681194321489 0.02221501152354222
-4 -3.75 45 46 446.5090646634241 0.01993470514190676
-4 -3.75 46 47 418.4946036327274 0.01798552698983258
-4 -3.75 47 48 392.3677368960405 0.01631384163783878
-4 -3.75 48 49 367.9854448658625 0.01487127546232614
-4 -3.75 49 50 345.217411502422 0.01362357123167612
-4 -3.75 50 51 323.9446483686982 0.01254175630612053
-4 -3.75 51 52 304.0583117131309 0.01159174286920006
