#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 26.2770598514625 0.0008211008857550439
-5 -4.75 1 2 45.63310705100763 0.0009874404194363251
-5 -4.75 2 3 26.6123347408686 0.001102508496579446
-5 -4.75 3 4 17.49160771456189 0.0006113136328025348
-5 -4.75 4 5 12.35727349822109 0.0003838986577768821
-5 -4.75 5 6 9.144218220319008 0.0002559656655467535
-5 -4.75 6 7 6.986841991267786 0.0001750478256852261
-5 -4.75 7 8 5.46453074695651 0.0001190463790559093
-5 -4.75 8 9 4.350134408744841 8.045385221233659e-05
-5 -4.75 9 10 3.511036376189389 5.41728268581565e-05
-5 -4.75 10 11 2.865022117173755 3.780677317566372e-05
-5 -4.75 11 12 2.358668661808224 2.601819910585945e-05
-5 -4.75 12 13 1.955900390975274 2.045012977980321e-05
-5 -4.75 13 14 1.631586869956733 1.867372353725472e-05
-5 -4.75 14 15 1.36774344118188 1.740828302887465e-05
-5 -4.75 15 16 1.151223022286167 3.437169788345074e-05
-5 -4.75 16 17 0.9722134940819591 1.373335178878055e-05
-5 -4.75 17 18 0.8232782588094167 1.965735648146172e-05
-5 -4.75 18 19 0.698694865707038 3.350939673507636e-05
-5 -4.75 19 20 0.5939977777559737 6.199510672377784e-06
-5 -4.75 20 21 0.5056682951703211 4.936394506716013e-06
-5 -4.75 21 22 0.4309013823277335 4.313478012829552e-06
-5 -4.75 22 23 0.367437331162277 4.380825863625759e-06
-5 -4.75 23 24 0.313443482722438 4.323903383895988e-06
-5 -4.75 24 25 0.2674218483035204 4.003678913955255e-06
-5 -4.75 25 26 0.2281374832956818 3.510388051047864e-06
-5 -4.75 26 27 0.1945663307733511 3.219604070098248e-06
-5 -4.75 27 28 0.165854772844511 3.132076667911043e-06
-5 -4.75 28 29 0.1412870060474276 2.816511667586008e-06
-5 -4.75 29 30 0.1202597394535507 2.460657252012499e-06
-5 -4.75 30 31 0.1022631017825266 2.201711160693121e-06
-5 -4.75 31 32 0.08686374143317038 1.985801114004482e-06
-5 -4.75 32 33 0.07369276079350845 1.820881473962865e-06
-5 -4.75 33 34 0.06243472064965539 1.602293245986375e-06
-5 -4.75 34 35 0.05281955359311188 1.394835735413213e-06
-5 -4.75 35 36 0.04461539101843995 1.237671094507509e-06
-5 -4.75 36 37 0.03762319248827501 1.12300034570828e-06
-5 -4.75 37 38 0.03167131085939505 9.482393822646262e-07
-5 -4.75 38 39 0.02661196155830103 8.067327664229573e-07
-5 -4.75 39 40 0.02231785600243377 7.509302657332517e-07
-5 -4.75 40 41 0.01867922108819482 6.359272062203547e-07
-5 -4.75 41 42 0.01560114417749382 5.186776471498983e-07
-5 -4.75 42 43 0.01300211087441547 4.849201922178109e-07
-5 -4.75 43 44 0.01081184389632169 4.228541559680998e-07
-5 -4.75 44 45 0.008969613552408594 3.539154772181502e-07
-5 -4.75 45 46 0.007423337054420944 3.429541903217717e-07
-5 -4.75 46 47 0.006128372829198567 1.339487775637097e-07
-5 -4.75 47 48 0.005046205783747904 1.04179426313987e-07
-5 -4.75 48 49 0.004143972911952804 9.506804659383666e-08
-5 -4.75 49 50 0.003393549083581078 8.316474048048611e-08
