#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 21655.18212304602 4.800367898536933
-5 -4 1 2 78796.37804246496 29.83424994538655
-5 -4 2 3 57275.16842992813 39.54170203116519
-5 -4 3 4 41662.20125225976 26.2381522134383
-5 -4 4 5 31627.02995534222 18.22590063467942
-5 -4 5 6 24847.75331304788 17.18084737247045
-5 -4 6 7 20037.49699510871 10.52696205406392
-5 -4 7 8 16486.95194362781 6.809802978550579
-5 -4 8 9 13782.97689969942 4.624209153022093
-5 -4 9 10 11671.42966574462 3.238272741549736
-5 -4 10 11 9988.430796821978 2.668913195500863
-5 -4 11 12 8624.073767225511 2.613017561934612
-5 -4 12 13 7502.148262921495 2.524912928886806
-5 -4 13 14 6568.301472527324 2.444214328911585
-5 -4 14 15 5782.838372581487 2.358552450797106
-5 -4 15 16 5116.144751234648 2.265120139135433
-5 -4 16 17 4545.732060470574 2.178955996723744
-5 -4 17 18 4054.244550927343 2.093344971549868
-5 -4 18 19 3628.107414476477 2.003406056296626
-5 -4 19 20 3256.555881672825 1.919064069430533
-5 -4 20 21 2930.961685297824 1.83840476363639
-5 -4 21 22 2644.347341262609 1.755666668091635
-5 -4 22 23 2391.008864097546 1.674906375382307
-5 -4 23 24 2166.243779925826 1.596348944603506
-5 -4 24 25 1966.148571652081 1.521119225196571
-5 -4 25 26 1787.507132530111 1.325384345366729
-5 -4 26 27 1627.480221349125 1.092774495800768
-5 -4 27 28 1483.796736676419 0.9008133422537412
-5 -4 28 29 1354.476330028217 0.7424740699150334
-5 -4 29 30 1237.827633996798 0.611916404340036
-5 -4 30 31 1132.398032383184 0.5042751448081617
-5 -4 31 32 1036.932559102255 0.4155391466538276
-5 -4 32 33 950.339896399892 0.3424283859030766
-5 -4 33 34 871.6693116392236 0.282217394727013
-5 -4 34 35 800.0912955190488 0.2326297596620179
-5 -4 35 36 734.8794324440757 0.191781392344069
-5 -4 36 37 675.3944721998311 0.1581796298576137
-5 -4 37 38 621.0706826007373 0.1305107030082127
-5 -4 38 39 571.4066851009864 0.107692861065857
-5 -4 39 40 525.9575614802949 0.0888632670402103
-5 -4 40 41 484.3278166851455 0.07331877765614081
-5 -4 41 42 446.1649678836719 0.06050965924947604
-5 -4 42 43 411.153827315644 0.04997217747751392
-5 -4 43 44 379.0111231969345 0.04131769869002255
-5 -4 44 45 349.4820309358989 0.03419377447147554
-5 -4 45 46 322.3373600379573 0.02831928574761378
-5 -4 46 47 297.3704657436754 0.02345999914729191
-5 -4 47 48 274.3949089123353 0.01946254665301694
-5 -4 48 49 253.2421313943204 0.01617127266354146
-5 -4 49 50 233.7594349007626 0.01378968304203454
-5 -4 50 51 215.8077399267396 0.0132549057002791
-5 -4 51 52 199.260525749373 0.01272436727819581
-5 -4 52 53 184.0027645085737 0.01218954120741955
-5 -4 53 54 169.9295951171102 0.01166253262542227
-5 -4 54 55 156.9453982090867 0.01114582108399986
-5 -4 55 56 144.9629053330941 0.01063832128178888
-5 -4 56 57 133.9023804776108 0.01014671938514766
-5 -4 57 58 123.6886955935801 0.09744837452102217
-5 -4 58 59 114.259369037588 0.08720867728153792
-5 -4 59 60 105.5508212855245 0.07796116904158623
-5 -4 60 61 97.50665171748663 0.06960406091224058
-5 -4 61 62 90.0750723508994 0.06215707919798774
-5 -4 62 63 83.20857999470918 0.05553178304525375
-5 -4 63 64 76.86358239404284 0.04952427742045984
-5 -4 64 65 70.99993901835109 0.04401366493617331
-5 -4 65 66 65.58072227877821 0.03897677825322887
-5 -4 66 67 60.57202025759259 0.03443133164018519
-5 -4 67 68 55.94256669527518 0.03036406365560396
-5 -4 68 69 51.66349237080424 0.02675159963289531
-5 -4 69 70 47.70812662783914 0.02354575431806438
-5 -4 70 71 44.05188786136326 0.02069368173270902
-5 -4 71 72 40.67212091778332 0.01814432366960972
-5 -4 72 73 37.5479503622692 0.01587828192965191
-5 -4 73 74 34.66009544988474 0.01389272597793934
-5 -4 74 75 31.99070565553644 0.01215402714086267
-5 -4 75 76 29.52331118965453 0.01062209571755446
-5 -4 76 77 27.24272488368776 0.009281553549971733
-5 -4 77 78 25.13493421024899 0.00812155624968014
-5 -4 78 79 23.18697309550813 0.007116744706859635
-5 -4 79 80 21.3868338476714 0.006239845088963136
-5 -4 80 81 19.72342717067339 0.005476517845799833
-5 -4 81 82 18.18651260606224 0.004801606507960798
-5 -4 82 83 16.76659839142719 0.00418161964904229
-5 -4 83 84 15.45489934818659 0.003607477217597577
-5 -4 84 85 14.24329120480349 0.003077458623995
-5 -4 85 86 13.12425707694207 0.002577066016328899
-5 -4 86 87 12.0887234449582 0.004209875866434842
-5 -4 87 88 11.13654759697921 0.001671696052811811
-5 -4 88 89 10.25545465776831 0.001488186035150108
-5 -4 89 90 9.442044829771236 0.001391733773861148
-5 -4 90 91 8.691235003392922 0.001300547233684668
-5 -4 91 92 7.998311850331985 0.001214971621761762
-5 -4 92 93 7.358911737947077 0.001134638676576927
-5 -4 93 94 6.768996788839823 0.001059210264283905
-5 -4 94 95 6.224828419911378 0.0009887025989412379
-5 -4 95 96 5.722950445669817 0.0009225630985421063
-5 -4 96 97 5.260164191359667 0.0008605868973807773
-5 -4 97 98 4.833508502971132 0.0008023074294030152
-5 -4 98 99 4.440238730902825 0.0007476446210956667
-5 -4 99 100 4.077811670801938 0.0006962569442405808
-4 -3.75 0 1 5026.843925263086 1.492631151445494
-4 -3.75 1 2 50313.34930468787 17.13143364821008
-4 -3.75 2 3 42210.82957604425 10.81970210128202
-4 -3.75 3 4 32243.48053104812 7.255820870286698
-4 -3.75 4 5 25215.79665853391 5.061125103919039
-4 -3.75 5 6 20257.52794340191 12.70585744305208
-4 -3.75 6 7 16642.55313099152 7.912857161623833
-4 -3.75 7 8 13921.30314445046 5.188970011240599
-4 -3.75 8 9 11816.35975152908 3.555259266666326
-4 -3.75 9 10 10149.90497673143 8.028460983214245
-4 -3.75 10 11 8807.145834561876 6.605735137762167
-4 -3.75 11 12 7706.951560858153 5.460075235336262
-4 -3.75 12 13 6793.180535980361 4.527814815999591
-4 -3.75 13 14 6025.343066127027 3.763288637906953
-4 -3.75 14 15 5373.527888597602 3.132726854048087
-4 -3.75 15 16 4815.275499780869 2.610618960121428
-4 -3.75 16 17 4333.394546513088 2.17706325357176
-4 -3.75 17 18 3914.509229804214 1.816408055762167
-4 -3.75 18 19 3548.107563259213 1.516073854656042
-4 -3.75 19 20 3225.8167764736 1.265823107850792
-4 -3.75 20 21 2940.878906790039 1.057234258269546
-4 -3.75 21 22 2687.794925094039 0.8833220092537886
-4 -3.75 22 23 2462.062342237329 0.7383686856960594
-4 -3.75 23 24 2259.954576002257 0.6175451654989956
-4 -3.75 24 25 2078.358032905322 0.5168492820130268
-4 -3.75 25 26 1914.657919379438 0.4329341749507876
-4 -3.75 26 27 1766.649887928226 0.3630010205686176
-4 -3.75 27 28 1632.463987386484 0.3047254840100777
-4 -3.75 28 29 1510.499644788496 0.2561625623013697
-4 -3.75 29 30 1399.379783789802 0.2156973746627955
-4 -3.75 30 31 1297.915313130989 0.1819717490288895
-4 -3.75 31 32 1205.0796112237 0.1538539486193713
-4 -3.75 32 33 1119.979140604592 0.1304101552525481
-4 -3.75 33 34 1041.832867436218 0.1108476000383689
-4 -3.75 34 35 969.971830531348 0.7102601460456981
-4 -3.75 35 36 903.7544039811879 0.5308807596810539
-4 -3.75 36 37 842.6659189365646 0.368215627639529
-4 -3.75 37 38 786.2334349043098 0.2201725122056359
-4 -3.75 38 39 734.0385611660784 0.08628636651235411
-4 -3.75 39 40 685.7078024053068 0.04505253071431525
-4 -3.75 40 41 640.9063282987664 0.142472230726753
-4 -3.75 41 42 599.3335090892029 0.2402780195043306
-4 -3.75 42 43 560.719425834562 0.3284395944294829
-4 -3.75 43 44 524.8218125739423 0.4079320117214138
-4 -3.75 44 45 491.4151890361323 0.02416454613643282
-4 -3.75 45 46 460.3159148441988 0.02167716544300902
-4 -3.75 46 47 431.3375704396487 0.01954826485746253
-4 -3.75 47 48 404.2992855139248 0.3128137388142704
-4 -3.75 48 49 379.0894668861351 0.2773977719051004
-4 -3.75 49 50 355.5532040665652 0.2457550244285471
-4 -3.75 50 51 333.5669094337969 0.217483953073156
-4 -3.75 51 52 313.0175499763006 0.1922415363732739
-4 -3.75 52 53 293.8018903156773 0.1697180811734711
-4 -3.75 53 54 275.8251409290971 0.1496258196737017
-4 -3.75 54 55 259.0002863089466 0.1316750176385995
-4 -3.75 55 56 243.2473328868675 0.1156564549194172
-4 -3.75 56 57 228.4923346029142 0.1013770729377654
-4 -3.75 57 58 214.6670828979885 0.08866472123179392
-4 -3.75 58 59 201.7085796310462 0.07736003561328175
-4 -3.75 59 60 189.5585362399115 0.06728932870782955
-4 -3.75 60 61 178.1630245135961 0.05831858589093031
-4 -3.75 61 62 167.472237978939 0.05035891855771979
-4 -3.75 62 63 157.4399903286038 0.04331481278637739
-4 -3.75 63 64 148.0235086703787 0.03706215658249334
-4 -3.75 64 65 139.18308025761 0.03151460470564871
-4 -3.75 65 66 130.8816962590822 0.02659935407908165
-4 -3.75 66 67 123.0848914605114 0.02225306183976272
