#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 25.88432925033688 0.0008377625079560858
-5 -4.75 1 2 44.67419474927136 0.001024216164744018
-5 -4.75 2 3 26.1246116959876 0.0009341019887330049
-5 -4.75 3 4 17.18415958491237 0.0004714958469875796
-5 -4.75 4 5 12.14241951645161 0.0002696969524720316
-5 -4.75 5 6 8.984593014145105 0.0001618583213058855
-5 -4.75 6 7 6.86334718768733 9.676464331320744e-05
-5 -4.75 7 8 5.366214256477652 6.585582687801406e-05
-5 -4.75 8 9 4.270187880571449 4.934258537669933e-05
-5 -4.75 9 10 3.444968122342873 3.741440332261092e-05
-5 -4.75 10 11 2.809728105647292 2.938470059410392e-05
-5 -4.75 11 12 2.311924032703641 2.457059512606108e-05
-5 -4.75 12 13 1.916061619290052 2.155892143873572e-05
-5 -4.75 13 14 1.597409563517801 1.967903265942539e-05
-5 -4.75 14 15 1.338265211026698 1.832805667323356e-05
-5 -4.75 15 16 1.125686490598397 3.15233716876584e-05
-5 -4.75 16 17 0.9500129294250317 1.443331472883447e-05
-5 -4.75 17 18 0.8039228565042276 2.132797491583016e-05
-5 -4.75 18 19 0.6817821669646754 1.302574185224614e-05
-5 -4.75 19 20 0.5791940416966403 1.139988112308643e-05
-5 -4.75 20 21 0.4926942265607481 1.026372839135758e-05
-5 -4.75 21 22 0.4195212276203116 9.466761819842962e-06
-5 -4.75 22 23 0.3574503729394658 8.749880556879752e-06
-5 -4.75 23 24 0.3046776833612374 7.952179804870951e-06
-5 -4.75 24 25 0.2597288759349011 6.871694058885325e-06
-5 -4.75 25 26 0.2213886634719771 5.842577691067552e-06
-5 -4.75 26 27 0.1886494676833943 5.284979130742995e-06
-5 -4.75 27 28 0.1606716252611819 4.839463916161968e-06
-5 -4.75 28 29 0.1367512378928439 4.216730648737288e-06
-5 -4.75 29 30 0.116295218711727 3.602168734087585e-06
-5 -4.75 30 31 0.09880252795361151 3.133248131753641e-06
-5 -4.75 31 32 0.08384749491665877 2.746671975500936e-06
-5 -4.75 32 33 0.07106797443286761 2.438534059928665e-06
-5 -4.75 33 34 0.06015444881118222 2.098024166570511e-06
-5 -4.75 34 35 0.05084208461473676 1.794716849808087e-06
-5 -4.75 35 36 0.0429036682098276 1.561079719075709e-06
-5 -4.75 36 37 0.03614432318908518 1.385559238613332e-06
-5 -4.75 37 38 0.03039609914678056 1.159052101115665e-06
-5 -4.75 38 39 0.02551452428234702 9.778626847735394e-07
-5 -4.75 39 40 0.02137528859180179 8.945737165061418e-07
-5 -4.75 40 41 0.01787128787896394 7.545403220739211e-07
-5 -4.75 41 42 0.01490999050027874 6.181435612366559e-07
-5 -4.75 42 43 0.0124120288994551 5.715565165789055e-07
-5 -4.75 43 44 0.01030904669162799 4.975381724791478e-07
-5 -4.75 44 45 0.00854202208864327 4.187715619535098e-07
-5 -4.75 45 46 0.007060408662311927 1.532982200824415e-07
-5 -4.75 46 47 0.005820906860846923 1.38060893982786e-07
-5 -4.75 47 48 0.004786227325122198 1.071555595410015e-07
-5 -4.75 48 49 0.003924568458667901 9.749755692720075e-08
-5 -4.75 49 50 0.00320874606046866 8.517040354276764e-08
-5 -4.75 50 51 0.002615571524233184 6.573882107294496e-08
-5 -4.75 51 52 0.002125302120495687 5.608738423701354e-08
-5 -4.75 52 53 0.001721196616858021 5.080265169177603e-08
-5 -4.75 53 54 0.00138905531141737 4.000088312276426e-08
-5 -4.75 54 55 0.001116855044530205 3.367036949752066e-08
-5 -4.75 55 56 0.0008944854995963984 2.991923684508586e-08
-5 -4.75 56 57 0.0007134084127624463 2.151508200006098e-08
-5 -4.75 57 58 0.0005664700913578598 1.963676319759102e-08
-5 -4.75 58 59 0.0004476767802507019 1.751294494633463e-08
-5 -4.75 59 60 0.0003520118226186277 1.336150423555124e-08
-5 -4.75 60 61 0.0002753010434500143 1.115088033698921e-08
-5 -4.75 61 62 0.0002140678931927615 8.436542425625153e-09
-5 -4.75 62 63 0.0001654293863040631 7.180255439455689e-09
-5 -4.75 63 64 0.0001270001258061555 5.299445551170453e-10
-5 -4.75 64 65 9.681020043087901e-05 4.974423837661402e-10
-5 -4.75 65 66 7.323946482704715e-05 4.355245892119324e-11
-5 -4.75 66 67 5.495865179649045e-05 1.958215323360634e-10
-5 -4.75 67 68 4.088203080783864e-05 2.348136217259801e-11
-5 -4.75 68 69 3.012616084469584e-05 2.638006734375655e-11
-5 -4.75 69 70 2.197580230932783e-05 2.133344926901577e-11
-5 -4.75 70 71 1.585513952310044e-05 1.21774947574706e-11
-5 -4.75 71 72 1.130349638907858e-05 1.007860255248085e-11
-5 -4.75 72 73 7.954504470190738e-06 9.719230293221389e-12
-5 -4.75 73 74 5.51887076546887e-06 9.049161587736858e-12
-5 -4.75 74 75 3.769896305760854e-06 6.628940229767448e-12
-5 -4.75 75 76 2.531436722553417e-06 5.960980727377622e-12
-5 -4.75 76 77 1.667910716277375e-06 4.339155276349531e-12
-5 -4.75 77 78 1.0760331622676e-06 3.907072808289984e-12
-5 -4.75 78 79 6.780208802943048e-07 3.027487779138265e-12
-5 -4.75 79 80 4.160465761499518e-07 2.088248261019646e-12
-5 -4.75 80 81 2.477343751954395e-07 1.970001949286832e-12
-5 -4.75 81 82 1.425323594821151e-07 1.456639947461248e-12
-5 -4.75 82 83 7.882048215381032e-08 1.10265028568331e-12
-5 -4.75 83 84 4.16212053678603e-08 8.310948922046182e-13
-5 -4.75 84 85 2.081273929849757e-08 5.874411626764516e-13
-5 -4.75 85 86 9.750236212440001e-09 4.17695249264316e-13
-5 -4.75 86 87 4.218680659390257e-09 1.215072587363759e-13
-5 -4.75 87 88 1.653389271930959e-09 4.562070581847684e-14
-5 -4.75 88 89 5.710691627962207e-10 1.679972010201513e-14
-5 -4.75 89 90 1.66928902284249e-10 4.272178786957229e-16
-5 -4.75 90 91 3.879604069957444e-11 4.471754465842792e-16
-5 -4.75 91 92 6.475556933159593e-12 1.969428209590339e-16
-5 -4.75 92 93 6.461251276538849e-13 7.535655510431772e-18
-5 -4.75 93 94 2.599859509548984e-14 9.58160359686904e-19
-5 -4.75 94 95 2.967009523456763e-16 4.207779714725541e-21
-5 -4.75 95 96 1.716357730520408e-21 8.345140037431853e-27
-5 -4.75 96 97 0 0
-5 -4.75 97 98 0 0
-5 -4.75 98 99 0 0
-5 -4.75 99 100 0 0
-4.75 -4.5 0 1 199.5490012192593 0.005995020267647533
-4.75 -4.5 1 2 500.3532599333486 0.0021247573341725
-4.75 -4.5 2 3 314.2690373742682 0.001347803361852584
-4.75 -4.5 3 4 215.1449759190368 0.0008980007974344062
-4.75 -4.5 4 5 156.8763678758904 0.0006605429862531764
-4.75 -4.5 5 6 119.3630480641429 0.0004917519666776116
-4.75 -4.5 6 7 93.60234596031145 0.0003547651957234166
-4.75 -4.5 7 8 75.06304262519612 0.0002694790471622355
-4.75 -4.5 8 9 61.24085650754517 0.0002180676639156331
-4.75 -4.5 9 10 50.64838451329227 0.0001712344629822837
-4.75 -4.5 10 11 42.35128885993365 0.0001276254008146793
-4.75 -4.5 11 12 35.73498740900148 8.910929329175588e-05
-4.75 -4.5 12 13 30.38045309455361 5.867862598307738e-05
-4.75 -4.5 13 14 25.99286592286779 3.625410101193438e-05
-4.75 -4.5 14 15 22.35930028019375 2.154704614198977e-05
-4.75 -4.5 15 16 19.32281720512659 1.341469893745284e-05
-4.75 -4.5 16 17 16.76517664482582 1.006792217239649e-05
-4.75 -4.5 17 18 14.59600293308408 8.653894546739593e-06
-4.75 -4.5 18 19 12.74524064567137 0.0004817242885266637
-4.75 -4.5 19 20 11.15770292686843 0.0002669321239494593
-4.75 -4.5 20 21 9.789529823919931 0.0001055708192350124
-4.75 -4.5 21 22 8.605534535966655 1.5462410470235e-05
-4.75 -4.5 22 23 7.577130605123468 9.363036852860773e-05
-4.75 -4.5 23 24 6.680922192665584 0.0001550129175571513
-4.75 -4.5 24 25 5.897649051760388 0.0001991956049289811
-4.75 -4.5 25 26 5.211331343924469 0.0002282997015585764
-4.75 -4.5 26 27 4.608594211976892 1.619759227189377e-05
