#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 22.06457224680425 0.0003553502332387382
-5 -4.75 1 2 39.50150141095472 0.0005971145982641701
-5 -4.75 2 3 23.37949396226901 0.000918956078805877
-5 -4.75 3 4 15.48472616544147 0.0001963440964782848
-5 -4.75 4 5 10.9990619892971 0.0001720426055875635
-5 -4.75 5 6 8.174667148765522 0.0001386464675370291
-5 -4.75 6 7 6.269203036445516 0.0001100988596034469
-5 -4.75 7 8 4.919222055192499 8.866661182427293e-05
-5 -4.75 8 9 3.927572542244095 7.273102162086431e-05
-5 -4.75 9 10 3.178442843537805 6.13192408742691e-05
-5 -4.75 10 11 2.600070793170837 5.284251129245021e-05
-5 -4.75 11 12 2.145477884886799 4.590547735450201e-05
-5 -4.75 12 13 1.782948400560464 3.907673833936087e-05
-5 -4.75 13 14 1.490354123236535 3.136663986458288e-05
-5 -4.75 14 15 1.251766855205765 2.330098177183437e-05
-5 -4.75 15 16 1.055534689982427 4.211809773146946e-05
-5 -4.75 16 17 0.8929757373004876 1.246855863779039e-05
-5 -4.75 17 18 0.7574570241883064 1.025508954088927e-05
-5 -4.75 18 19 0.6438808554034063 2.379199637836393e-05
-5 -4.75 19 20 0.5482577969548116 6.195563581723462e-06
-5 -4.75 20 21 0.4674422719511116 4.925139604705642e-06
-5 -4.75 21 22 0.3989176857438502 4.374434135201444e-06
-5 -4.75 22 23 0.340654262959754 4.384000840351732e-06
-5 -4.75 23 24 0.2910078566459664 4.08771794274676e-06
-5 -4.75 24 25 0.2486274234958165 1.101610848763812e-05
-5 -4.75 25 26 0.2123919685708773 7.244852236409915e-06
-5 -4.75 26 27 0.1813798541749912 4.310320574130166e-06
-5 -4.75 27 28 0.1548178567031196 1.975381156815725e-06
-5 -4.75 28 29 0.1320569615176162 9.330368518079002e-07
-5 -4.75 29 30 0.1125481255444228 1.42050540428984e-06
-5 -4.75 30 31 0.09582778230282407 1.991234067563741e-06
-5 -4.75 31 32 0.08150133243745293 2.220864995988725e-06
-5 -4.75 32 33 0.06923116813805325 2.154710615653865e-06
-5 -4.75 33 34 0.05872865025652467 2.017062877300579e-06
-5 -4.75 34 35 0.04974660086962426 1.682613183846826e-06
-5 -4.75 35 36 0.0420724286625136 1.233294796086637e-06
-5 -4.75 36 37 0.03552313013752372 8.367173042062026e-07
-5 -4.75 37 38 0.02994098858630972 6.978876097886444e-07
-5 -4.75 38 39 0.02518989374397029 8.002297786496859e-07
-5 -4.75 39 40 0.02115224692365688 5.62480262127768e-07
-5 -4.75 40 41 0.01772636330094891 2.475202890775408e-07
-5 -4.75 41 42 0.01482464791951079 2.736427286050003e-07
-5 -4.75 42 43 0.01237164592804883 2.676133297411371e-07
-5 -4.75 43 44 0.01030171096093739 2.331912304920358e-07
-5 -4.75 44 45 0.008558465200958319 2.47811499735559e-07
-5 -4.75 45 46 0.007093512533929499 2.18875348526916e-07
-5 -4.75 46 47 0.005864980997271183 1.289960794396972e-07
-5 -4.75 47 48 0.004836975289962499 1.395409068467857e-07
-5 -4.75 48 49 0.003978775880491547 1.108688373538391e-07
-5 -4.75 49 50 0.003263974763960029 7.841539169904654e-08
-5 -4.75 50 51 0.002670036535035643 8.25354954415991e-08
-5 -4.75 51 52 0.002177766869185049 8.715069907102094e-08
-5 -4.75 52 53 0.001770780749366789 7.102923932269384e-08
-5 -4.75 53 54 0.001435192989646173 7.008816626445473e-08
-5 -4.75 54 55 0.001159235531998197 3.262003911148718e-08
-5 -4.75 55 56 0.0009329540666243524 2.706865197732358e-08
-5 -4.75 56 57 0.000747956994669988 2.457759288069464e-08
-5 -4.75 57 58 0.0005971854291170621 2.00628681836304e-08
-5 -4.75 58 59 0.000474720169030842 1.346922467467373e-08
-5 -4.75 59 60 0.000375599276409091 1.145750982078312e-08
-5 -4.75 60 61 0.0002956812180920459 1.186799343722749e-08
-5 -4.75 61 62 0.0002315101609189135 1.002374709740939e-08
-5 -4.75 62 63 0.0001802160785121692 6.803340728831538e-09
-5 -4.75 63 64 0.000139414123079426 5.317358628387746e-09
-5 -4.75 64 65 0.0001071304286258704 4.715873703207193e-09
-5 -4.75 65 66 8.173246448616749e-05 1.124685920349949e-09
-5 -4.75 66 67 6.187534264450947e-05 7.544554318848588e-10
-5 -4.75 67 68 4.645406303906619e-05 2.051885402107084e-10
-5 -4.75 68 69 3.456414905678812e-05 1.994260181729306e-10
-5 -4.75 69 70 2.546869605261588e-05 4.099811509367438e-10
-5 -4.75 70 71 1.857017030014775e-05 4.17542072247176e-10
-5 -4.75 71 72 1.338619569130071e-05 1.494859435583298e-10
-5 -4.75 72 73 9.529708757092487e-06 1.339474978095343e-10
-5 -4.75 73 74 6.692296520895841e-06 1.974227136334973e-10
-5 -4.75 74 75 4.629811683477978e-06 5.123317394142163e-11
-5 -4.75 75 76 3.150482787795393e-06 8.170424629931259e-11
-5 -4.75 76 77 2.10497759935068e-06 3.402262142059909e-11
-5 -4.75 77 78 1.378101625687846e-06 4.301291852672311e-11
-5 -4.75 78 79 8.819706315377985e-07 4.896270880262016e-12
-5 -4.75 79 80 5.502305292239821e-07 3.607766286416422e-12
-5 -4.75 80 81 3.335056995495987e-07 2.103224759139086e-12
-5 -4.75 81 82 1.955720636678084e-07 1.819884324638984e-12
-5 -4.75 82 83 1.103885312599463e-07 1.103253242632506e-12
-5 -4.75 83 84 5.960079025694659e-08 9.695610478115527e-13
-5 -4.75 84 85 3.054280850411521e-08 6.845589303335494e-13
-5 -4.75 85 86 1.470986700591838e-08 5.237505403944786e-13
-5 -4.75 86 87 6.572736650498091e-09 9.376354927396102e-14
-5 -4.75 87 88 2.680618885803199e-09 7.243705001760582e-14
-5 -4.75 88 89 9.77028380493786e-10 4.83795738711198e-14
-5 -4.75 89 90 3.102842682901041e-10 1.517912198412396e-14
-5 -4.75 90 91 8.38595887480707e-11 1.661580104538341e-15
-5 -4.75 91 92 1.921749539677537e-11 6.80515172290824e-17
-5 -4.75 92 93 3.691991935139757e-12 3.044021533607813e-17
-5 -4.75 93 94 4.751097623605696e-13 7.795019195716034e-18
-5 -4.75 94 95 1.542841134304871e-14 6.114193675926601e-20
-5 -4.75 95 96 2.579354683244587e-20 4.716309402510059e-25
-5 -4.75 96 97 0 0
-5 -4.75 97 98 0 0
-5 -4.75 98 99 0 0
-5 -4.75 99 100 0 0
-4.75 -4.5 0 1 166.4608542943023 0.005031317420076675
-4.75 -4.5 1 2 426.7070246574683 0.01342658263700969
-4.75 -4.5 2 3 271.1348647509633 0.008186758549015849
-4.75 -4.5 3 4 186.7137495851948 0.005493818311151699
-4.75 -4.5 4 5 136.7262151024054 0.003995106335992205
-4.75 -4.5 5 6 104.3944114059898 0.003007591859699232
-4.75 -4.5 6 7 82.11271942357806 0.002275645402690429
-4.75 -4.5 7 8 66.03013042415218 0.001769500892223164
-4.75 -4.5 8 9 54.00725934304072 0.001382375827240878
-4.75 -4.5 9 10 44.77176519381398 0.001078508888554097
-4.75 -4.5 10 11 37.52167298553525 0.0008350816798312621
-4.75 -4.5 11 12 31.72741813744473 0.0006455861557128628
