#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 22.28536373106601 0.0003682273359295607
-5 -4.75 1 2 39.83224165619993 0.0008001956862315751
-5 -4.75 2 3 23.55697893677345 0.001036927090176221
-5 -4.75 3 4 15.59238714402023 0.0001991925146906937
-5 -4.75 4 5 11.06956373001012 0.0001737449960685922
-5 -4.75 5 6 8.223167309159253 0.0001396578231105394
-5 -4.75 6 7 6.303710645711969 0.0001107048122923615
-5 -4.75 7 8 4.944369483506857 8.90403690307906e-05
-5 -4.75 8 9 3.946222904558356 7.29806398003241e-05
-5 -4.75 9 10 3.192451732869596 6.149898337026727e-05
-5 -4.75 10 11 2.610692045859002 5.298799725705905e-05
-5 -4.75 11 12 2.153582061216707 4.603021824589604e-05
-5 -4.75 12 13 1.789156279758616 3.917718918855506e-05
-5 -4.75 13 14 1.495118089119108 3.14335455708914e-05
-5 -4.75 14 15 1.255421259941127 2.333121336683952e-05
-5 -4.75 15 16 1.05833053893587 4.079776374155131e-05
-5 -4.75 16 17 0.8951042634428491 1.260251059276296e-05
-5 -4.75 17 18 0.7590648116083315 1.109119424591576e-05
-5 -4.75 18 19 0.6450815445864125 2.475410540192513e-05
-5 -4.75 19 20 0.5491400072376924 6.262821582003752e-06
-5 -4.75 20 21 0.4680756318198723 4.978702471514218e-06
-5 -4.75 21 22 0.3993571011963571 4.420843996044699e-06
-5 -4.75 22 23 0.3409431579502614 4.428188501159891e-06
-5 -4.75 23 24 0.2911807656509198 4.127064695769178e-06
-5 -4.75 24 25 0.2487117591436687 1.102817198830874e-05
-5 -4.75 25 26 0.2124095060375885 7.203847892489623e-06
-5 -4.75 26 27 0.1813479162255748 4.238027679681622e-06
-5 -4.75 27 28 0.1547501691939146 1.8847872177985e-06
-5 -4.75 28 29 0.1319643685332334 9.415646968491398e-07
-5 -4.75 29 30 0.1124391274164701 1.432478318463826e-06
-5 -4.75 30 31 0.09570901438022776 2.008362090327731e-06
-5 -4.75 31 32 0.08137792430555399 2.319632790862003e-06
-5 -4.75 32 33 0.06910702003784523 2.244856458888389e-06
-5 -4.75 33 34 0.0586066737759213 2.099995171429836e-06
-5 -4.75 34 35 0.04962891759438553 1.757155659178056e-06
-5 -4.75 35 36 0.04196052783297825 1.298977092722975e-06
-5 -4.75 36 37 0.03541800233512375 8.947545307447236e-07
-5 -4.75 37 38 0.02984322796723829 7.035883665580667e-07
-5 -4.75 38 39 0.02509978224817875 8.059261796811157e-07
-5 -4.75 39 40 0.02106982797674187 5.661929585142056e-07
-5 -4.75 40 41 0.01765149944604317 2.626377923267698e-07
-5 -4.75 41 42 0.01475707043846632 2.981413778323228e-07
-5 -4.75 42 43 0.0123109959385685 2.87807632826792e-07
-5 -4.75 43 44 0.01024756378882459 2.348889608077415e-07
-5 -4.75 44 45 0.008510358021669813 2.494012794340694e-07
-5 -4.75 45 46 0.007050966186302793 2.201331283022134e-07
-5 -4.75 46 47 0.005827512479077807 1.370921805920328e-07
-5 -4.75 47 48 0.00480411095882954 1.479210543896964e-07
-5 -4.75 48 49 0.003950060049719349 1.181514988389878e-07
-5 -4.75 49 50 0.003238974674178648 8.48948895669846e-08
-5 -4.75 50 51 0.002648347537310374 8.638510012957262e-08
-5 -4.75 51 52 0.002159014552046733 8.75938222909961e-08
-5 -4.75 52 53 0.001754621698416825 7.656265079954497e-08
-5 -4.75 53 54 0.001421314613081534 3.446805377942987e-08
-5 -4.75 54 55 0.001147357633587052 3.274242203667871e-08
-5 -4.75 55 56 0.0009228235080126621 2.714426348634797e-08
-5 -4.75 56 57 0.0007393485557114337 2.463623523956716e-08
-5 -4.75 57 58 0.0005898990927162269 2.009435905853379e-08
-5 -4.75 58 59 0.0004685789452688589 1.349313300734413e-08
-5 -4.75 59 60 0.0003704469123176116 1.147782023293515e-08
-5 -4.75 60 61 0.0002913800740756438 1.187072364722003e-08
-5 -4.75 61 62 0.0002279391196963888 1.002036083722437e-08
-5 -4.75 62 63 0.0001772687429549178 6.798537362278289e-09
-5 -4.75 63 64 0.000136997115440129 5.308019306726882e-09
-5 -4.75 64 65 0.0001051619919079883 4.706724479551483e-09
-5 -4.75 65 66 8.014120201295915e-05 1.121800271517434e-09
