#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0.1 1 6955.284847124404 1.258297404864607
-5 -4 1 2 23837.82449412872 7.670817270802218
-5 -4 2 3 16873.94259766443 3.717880421580048
-5 -4 3 4 12147.89772842125 2.006772043880119
-5 -4 4 5 8793.542113767389 8.538444392304882
-5 -4 5 6 7156.339946314375 5.14362094216176
-5 -4 6 7 5742.685185309495 3.108745152025222
-5 -4 7 8 4703.510889781711 4.196945128442167
-5 -4 8 9 3914.761404291791 2.931680551951558
-5 -4 9 10 3300.630959833161 2.032048078146545
-5 -4 10 11 2812.529726556644 1.394640363886992
-5 -4 11 12 2417.810287036171 0.9456179982266804
-5 -4 12 13 2094.086973838671 0.6319588011692758
-5 -4 13 14 1825.35368545484 0.4147562362973076
-5 -4 14 15 1599.892873766831 0.2659140406981351
-5 -4 15 16 1409.019228425943 0.1651701477642291
-5 -4 16 17 1246.161491461564 0.1114217189976898
-5 -4 17 18 1106.235781867815 0.08450036295403152
-5 -4 18 19 985.2580993290759 0.06485814002473944
-5 -4 19 20 880.0739679729786 0.04774960112501958
-5 -4 20 21 788.1830157859691 0.03512462347589462
-5 -4 21 22 707.5520212527601 0.02587173932420228
-5 -4 22 23 636.5094514302798 0.01906214515338434
-5 -4 23 24 573.6790200322453 0.0131249464142229
-5 -4 24 25 517.9318562868102 0.01156975861249521
-5 -4 25 26 468.3308572259908 0.01077118617905626
-5 -4 26 27 424.0769623143676 0.009663820960554403
-5 -4 27 28 384.4872528937062 0.008456461879518429
-5 -4 28 29 348.9859284645213 0.007252859277002699
-5 -4 29 30 317.0933670647646 0.301067419980825
-5 -4 30 31 288.3809337141782 0.2847729411276418
-5 -4 31 32 262.4955966695169 0.2224642624030366
-5 -4 32 33 239.1176677425562 0.1678017407827781
-5 -4 33 34 217.9705309006252 0.1349956137877655
-5 -4 34 35 198.8150729898241 0.1104381118632318
-5 -4 35 36 181.443408532999 0.09031865591663291
-5 -4 36 37 165.6737972451688 0.07382034291438799
-5 -4 37 38 151.3451628096474 0.06032911130290586
-5 -4 38 39 138.3121884654502 0.04929706186564431
-5 -4 39 40 126.4463685343411 0.0402643818833468
-5 -4 40 41 115.6346221229964 0.04561965932569478
-5 -4 41 42 105.7762674116913 0.05531479161476227
-5 -4 42 43 96.78185380832862 0.06281372710120081
-5 -4 43 44 88.5715387313156 0.0678714237090503
-5 -4 44 45 81.14522652703802 0.07272315473340996
-5 -4 45 46 74.22219520059556 0.01177321449621616
-5 -4 46 47 67.95801124418779 0.009563382798006614
-5 -4 47 48 62.2289186420787 0.007742715867529171
-5 -4 48 49 56.9872766009828 0.006253171484580378
-5 -4 49 50 52.19011924440777 0.005045543947581166
-5 -4 50 51 47.79894978239879 0.004293738801266045
-5 -4 51 52 43.77877232089601 0.004074365022439963
-5 -4 52 53 40.09735636265224 0.003840714184192962
-5 -4 53 54 36.72521497173478 0.00364401230999789
-5 -4 54 55 33.63592064588875 0.003441951837608315
-5 -4 55 56 30.8053062157902 0.003246065427518374
-5 -4 56 57 28.21134169943543 0.003069393834891798
-5 -4 57 58 25.83415023444697 0.002901181377129802
-5 -4 58 59 23.65566820749773 0.002741038950507146
-5 -4 59 60 21.6593618761134 0.00257242721281159
-5 -4 60 61 19.82985707163394 0.002411732443178494
-5 -4 61 62 18.1530821497598 0.002263896965427392
-5 -4 62 63 16.61626767819554 0.002120474579772491
-5 -4 63 64 15.20768112332698 0.001984252363591565
-5 -4 64 65 13.91659864271733 0.001861676569573589
-5 -4 65 66 12.73332306025622 0.001747872054680855
-5 -4 66 67 11.64902576622598 0.001639498895798397
-5 -4 67 68 10.65561033446636 0.001533843346349428
-5 -4 68 69 9.745543659356924 0.001425093715303305
-5 -4 69 70 8.911793268762091 0.001330671916743853
-5 -4 70 71 8.148021841171309 0.001239798530091818
-5 -4 71 72 7.448400387378819 0.001154492215792224
-5 -4 72 73 6.807588868638186 0.001076237433331073
-5 -4 73 74 6.220729983239637 0.001004067337572856
-5 -4 74 75 5.683395218847134 0.0009370492927986973
-5 -4 75 76 5.191530765400509 0.0008729488367116289
-5 -4 76 77 4.741386596727296 0.0008086315237321173
-5 -4 77 78 4.329445816311688 0.0007500380566849429
-5 -4 78 79 3.952490911288943 0.0006963049812007682
-5 -4 79 80 3.607601957051564 0.0006456075312728515
-5 -4 80 81 3.292096042666974 0.0005992006105821623
-5 -4 81 82 3.003524359646655 0.0005564589039659396
-5 -4 82 83 2.739653491659372 0.0005163304403197344
-5 -4 83 84 2.498433117012148 0.0004789579876987027
-5 -4 84 85 2.277977172226706 0.0004437969219277527
-5 -4 85 86 2.076543419909151 0.0004089688117927537
-5 -4 86 87 1.8925023502429 0.0003779095061462456
-5 -4 87 88 1.724373547001399 0.0003495410694205336
-5 -4 88 89 1.57081417137782 0.0003229557153665574
-5 -4 89 90 1.43059228249138 0.0002986207025117427
-5 -4 90 91 1.302582914232939 0.0002759471847457728
-5 -4 91 92 1.185754728666836 0.0002549259625335143
-5 -4 92 93 1.07916056733932 0.0002351462993261944
-5 -4 93 94 0.9819265968087402 0.000216641762739278
-5 -4 94 95 0.8932474149599098 0.0001993264732135236
-5 -4 95 96 0.8123839947676444 0.0001837562002523496
-5 -4 96 97 0.7386656431865946 0.0001691602215153631
-5 -4 97 98 0.6714764848135674 0.0001557062270497456
-5 -4 98 99 0.6102524627082956 0.0001432669339814785
-5 -4 99 100 0.5544778335262192 0.0001318486311115974
-4 -3.75 0.1 1 3460.654525600979 0.5272418915401431
-4 -3.75 1 2 21752.26566291466 13.65724442464125
-4 -3.75 2 3 17415.78790686357 8.271685224462999
-4 -3.75 3 4 13113.25280111602 5.432538146029401
-4 -3.75 4 5 10169.4173229777 9.035854107851264
-4 -3.75 5 6 8119.478910620561 5.267328004591946
-4 -3.75 6 7 6636.487594633691 5.505222107201917
-4 -3.75 7 8 5525.900797591795 3.448418416563072
-4 -3.75 8 9 4670.257792246952 2.02470417976383
-4 -3.75 9 10 3995.57856408924 1.036574792870852
-4 -3.75 10 11 3453.018724781087 0.7481977673437541
-4 -3.75 11 12 3009.661841982476 0.554782887707006
-4 -3.75 12 13 2642.380135888035 0.6498032130989486
-4 -3.75 13 14 2334.448383491849 0.9414874206804598
-4 -3.75 14 15 2073.546698062619 2.062971172665129
-4 -3.75 15 16 1850.73570401199 1.702500946159944
-4 -3.75 16 17 1658.837286650212 1.50734224544658
-4 -3.75 17 18 1492.345758328956 1.161012671736216
-4 -3.75 18 19 1347.082013542833 0.9593748277238774
-4 -3.75 19 20 1219.623265009345 0.7928468407849323
-4 -3.75 20 21 1107.192370049054 0.6552995070608176
-4 -3.75 21 22 1007.556230529016 0.5417096257955336
-4 -3.75 22 23 918.9121055957047 0.4478972117680087
-4 -3.75 23 24 839.7621603905786 0.370378882648879
-4 -3.75 24 25 768.8369928265246 0.3063060130074291
-4 -3.75 25 26 705.0643401410405 0.2533961185920361
-4 -3.75 26 27 647.5558226203302 0.2096979540382335
-4 -3.75 27 28 595.5673773711086 0.1736078744833094
-4 -3.75 28 29 548.4610777801942 0.1437761912742417
-4 -3.75 29 30 505.6759894363073 0.1191311791497469
-4 -3.75 30 31 466.7289250986735 0.09878889529113621
-4 -3.75 31 32 431.203224053029 0.08199964251332403
-4 -3.75 32 33 398.741303730008 0.06813686167157584
-4 -3.75 33 34 369.0329991279089 0.05668911054414139
-4 -3.75 34 35 341.8033667700652 0.04723265520783571
-4 -3.75 35 36 316.8095123393662 0.03941558794167577
-4 -3.75 36 37 293.8354583569775 0.03296186028774173
