#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 17697.5252852813 1.519783642066614
-5 -4 1 2 69802.275511927 5.98525998457626
-5 -4 2 3 51603.76955831353 4.239897602899873
-5 -4 3 4 37787.83489712643 2.331935030197201
-5 -4 4 5 28809.54784863698 1.61880479890533
-5 -4 5 6 22708.71630679076 0.590811578251305
-5 -4 6 7 18362.59832782108 0.2323113121528877
-5 -4 7 8 15145.146628331 0.13347969993265
-5 -4 8 9 12688.41789956015 0.1112397392480489
-5 -4 9 10 10765.67643865333 0.09160409066498687
-5 -4 10 11 9230.298854141283 0.07346538678575598
-5 -4 11 12 7983.101806030318 0.06145832402035012
-5 -4 12 13 6955.7954386155 0.04847034525118943
-5 -4 13 14 6099.437088513628 0.5616386210585915
-5 -4 14 15 5377.936872631875 0.3592992519725158
-5 -4 15 16 4764.589565504873 0.2208369594191026
-5 -4 16 17 4239.09431697455 0.3886869189318531
-5 -4 17 18 3785.712193972008 0.3020230536531017
-5 -4 18 19 3392.083060811668 0.2378801885524808
-5 -4 19 20 3048.396525630002 0.1826071979271546
-5 -4 20 21 2746.851405233623 0.1401304588562198
-5 -4 21 22 2481.106039533974 0.1089785172616757
-5 -4 22 23 2245.931872332671 0.08533707333390339
-5 -4 23 24 2037.015580562943 0.06497612883913462
-5 -4 24 25 1850.805496902442 0.04737353415998768
-5 -4 25 26 1684.351321111327 0.03373451409720474
-5 -4 26 27 1535.141519488776 0.02477821855609363
-5 -4 27 28 1401.018998572127 0.01701905527761483
-5 -4 28 29 1280.159832547291 0.01350926946747677
-5 -4 29 30 1171.020270507913 0.01136015190559192
-5 -4 30 31 1072.283361171057 0.009444148100328675
-5 -4 31 32 982.8022497343612 0.007778607625255063
-5 -4 32 33 901.5612303492469 0.006762375738048831
-5 -4 33 34 827.6749454647495 0.008769326773972352
-5 -4 34 35 760.3767678160028 0.010764460690325
-5 -4 35 36 698.9999045984438 0.01245850254622383
-5 -4 36 37 642.9623219410602 0.01371435338307947
-5 -4 37 38 591.7467234575132 0.01427464752237029
-5 -4 38 39 544.8851000154458 0.01436076956053967
-5 -4 39 40 501.9594840927988 0.0147503947775931
-5 -4 40 41 462.6038878247169 0.01483496568920373
-5 -4 41 42 426.4915317832053 0.01497160750045623
-5 -4 42 43 393.3313667745882 0.01497942590458479
-5 -4 43 44 362.8628274128927 0.01484262716098783
-5 -4 44 45 334.8502851012512 0.0304250443243177
-5 -4 45 46 309.0787435871717 0.02516991266065816
-5 -4 46 47 285.3547170775578 0.02084476534264468
-5 -4 47 48 263.5044332504926 0.01725327803109167
-5 -4 48 49 243.3701845690856 0.01428629908073731
-5 -4 49 50 224.8089417529269 0.01259368461472832
-5 -4 50 51 207.6923927949217 0.01222189298655962
-5 -4 51 52 191.90392963435 0.0117569467160763
-5 -4 52 53 177.3353823243276 0.01119260434595049
-5 -4 53 54 163.8870344637849 0.01076589944176476
-5 -4 54 55 151.469541770826 0.01029236864394534
-5 -4 55 56 140.000770366775 0.009816676629526455
-5 -4 56 57 129.4054410617579 0.009394978284490207
-5 -4 57 58 119.6154013615062 0.008991482098537062
-5 -4 58 59 110.5685329324787 0.008604488093581608
-5 -4 59 60 102.2078066168071 0.008172009687271498
-5 -4 60 61 94.47984419300128 0.007741393079953696
-5 -4 61 62 87.33535767368747 0.007350723156434924
-5 -4 62 63 80.72947338145944 0.006958143994012289
-5 -4 63 64 74.62064930380599 0.006578067399814813
-5 -4 64 65 68.97067113050892 0.006241932548078921
-5 -4 65 66 63.74490352007995 0.005930821973812783
-5 -4 66 67 58.9116984928744 0.005631637016129787
-5 -4 67 68 54.44190613865224 0.0053345382254264
-5 -4 68 69 50.30819466733065 0.005003065242433991
