#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0.1 1 7102.046052508668 0.7400693021054394
-5 -4 1 2 24104.11441370583 8.095180884312867
-5 -4 2 3 17029.779008404 3.973863002625876
-5 -4 3 4 12251.31116847331 2.148906788697786
-5 -4 4 5 9232.98325037977 9.111052861017015
-5 -4 5 6 7211.697845261737 5.186123573588702
-5 -4 6 7 5785.546753424725 3.13275198851079
-5 -4 7 8 4737.50438437086 4.334846720441419
-5 -4 8 9 3942.23412948939 3.024510507810646
-5 -4 9 10 3323.161176195265 2.094244377167342
-5 -4 10 11 2831.226969441441 1.436121519173867
-5 -4 11 12 2433.478267048094 0.9731443501304966
-5 -4 12 13 2107.325086081776 0.6501367309515445
-5 -4 13 14 1836.61692297026 0.42669413511112
-5 -4 14 15 1609.533038129706 0.2737084148259328
-5 -4 15 16 1417.312929695474 0.1702270248140394
-5 -4 16 17 1253.328918444006 0.1117073330917719
-5 -4 17 18 1112.4543221662 0.08464469391697094
-5 -4 18 19 990.6720770006395 0.06492604697405113
-5 -4 19 20 884.8016558415685 0.04773498002373344
-5 -4 20 21 792.3224844695051 0.03505591687076048
-5 -4 21 22 711.1851708966576 0.02577381274159052
-5 -4 22 23 639.7049388848732 0.01895773104899945
-5 -4 23 24 576.4946191567888 0.01300678069947026
-5 -4 24 25 520.4166673630859 0.01149749522551247
-5 -4 25 26 470.5269509040881 0.01072577435201083
-5 -4 26 27 426.0203974806711 0.009633361872715795
-5 -4 27 28 386.2089229901001 0.008434143165459318
-5 -4 28 29 350.512457814878 0.007234867433737691
-5 -4 29 30 318.4478728469816 0.3045021978916225
-5 -4 30 31 289.5836577901807 0.2701915361549823
-5 -4 31 32 263.5641583602849 0.2087474977346346
-5 -4 32 33 240.0674364912098 0.1667133524114774
-5 -4 33 34 218.8149436884985 0.1363645386891505
-5 -4 34 35 199.5659378821758 0.1115242817548676
-5 -4 35 36 182.1111465584867 0.09117980858357555
-5 -4 36 37 166.2676255782803 0.07450237322390763
-5 -4 37 38 151.8732440152638 0.06086875469262054
-5 -4 38 39 138.7817225072872 0.04972349465609227
-5 -4 39 40 126.8637270936258 0.04060080044419578
-5 -4 40 41 116.0054625532027 0.05178117569451501
-5 -4 41 42 106.1056208439214 0.06084717161103015
-5 -4 42 43 97.07420277871969 0.06776535413277429
-5 -4 43 44 88.83087929349512 0.07227491316125167
-5 -4 44 45 81.37902984164624 0.08023311856601367
-5 -4 45 46 74.42581128110595 0.01185038210776668
-5 -4 46 47 68.13818553169349 0.009623053054411912
-5 -4 47 48 62.38817981416817 0.007788542019490308
-5 -4 48 49 57.12788330068383 0.006288150729716335
-5 -4 49 50 52.31408937939329 0.005072076200015374
-5 -4 50 51 47.90809085285121 0.004322671049301618
-5 -4 51 52 43.87470420566757 0.004100960148505806
-5 -4 52 53 40.18152665995219 0.003864939401047707
-5 -4 53 54 36.7989156630327 0.003666379409366982
-5 -4 54 55 33.70030877162345 0.003462400098193541
-5 -4 55 56 30.86141560730224 0.003264739112236015
-5 -4 56 57 28.26009573963684 0.003086516892050639
-5 -4 57 58 25.87637525960902 0.002916906729055313
-5 -4 58 59 23.69210466575116 0.002755540128799083
-5 -4 59 60 21.69067390191133 0.00258564075753398
-5 -4 60 61 19.85663783940863 0.002423756742299332
-5 -4 61 62 18.17586073539902 0.002274843751283839
-5 -4 62 63 16.63551604104336 0.002130377278959372
-5 -4 63 64 15.22381896695589 0.001993191473559364
-5 -4 64 65 13.92999894525556 0.001869811698476553
-5 -4 65 66 12.74431859860501 0.001755336772724547
-5 -4 66 67 11.65791460296311 0.001646344579828707
-5 -4 67 68 10.66265958451413 0.001540084251747231
-5 -4 68 69 9.750991237596821 0.001430642646557345
-5 -4 69 70 8.915848846672015 0.001335674850663437
-5 -4 70 71 8.150870946128737 0.001244296673380774
-5 -4 71 72 7.450207066410066 0.001158543544256041
-5 -4 72 73 6.808498266508039 0.001079895059434399
-5 -4 73 74 6.220870718961999 0.001007383130517958
-5 -4 74 75 5.682881441664443 0.0009400587112624592
-5 -4 75 76 5.190463756443751 0.0008756643036242906
-5 -4 76 77 4.739855776244458 0.000811032268837053
-5 -4 77 78 4.327529223301334 0.0007521795174163515
-5 -4 78 79 3.950256691491469 0.0006982215473407827
-5 -4 79 80 3.605109761574631 0.0006473050771607092
-5 -4 80 81 3.289397759803597 0.0006007156767533495
-5 -4 81 82 3.000665204111393 0.0005578201891713874
-5 -4 82 83 2.736672995404678 0.0005175463346431819
-5 -4 83 84 2.495365698373492 0.0004800418462829192
-5 -4 84 85 2.274852662206933 0.0004447663594979723
-5 -4 85 86 2.07338759745575 0.0004098108336765272
-5 -4 86 87 1.889337057873197 0.000378648554714367
-5 -4 87 88 1.721217229354871 0.0003501894566297903
-5 -4 88 89 1.567682384736569 0.0003235235077996279
-5 -4 89 90 1.427498074723806 0.0002991219337868944
-5 -4 90 91 1.299537232486268 0.0002763888738572806
-5 -4 91 92 1.182766686672012 0.000255311699053351
-5 -4 92 93 1.076237621775899 0.0002354827820605365
-5 -4 93 94 0.9790747619239731 0.0002169344659641581
-5 -4 94 95 0.8904714318587483 0.0001995745731601106
-5 -4 95 96 0.8096874192965414 0.0001839676758553788
-5 -4 96 97 0.7360510311008458 0.0001693394677410032
-5 -4 97 98 0.6689455539709193 0.0001558591475585569
-5 -4 98 99 0.6078062448219509 0.0001433960261449929
-5 -4 99 100 0.5521167732537943 0.0001319565066310036
-4 -3.75 0.1 1 3564.041187317104 0.3864297806044306
-4 -3.75 1 2 21847.60017990271 13.27967019272546
-4 -3.75 2 3 17564.14840635015 8.510286668482877
-4 -3.75 3 4 13216.3825220187 5.609529337772983
-4 -3.75 4 5 10245.66058634651 9.107647170980272
-4 -3.75 5 6 8178.25659190089 5.307748139495743
-4 -3.75 6 7 6683.177546659451 5.557906675908271
-4 -3.75 7 8 5563.82372614862 3.48145131284582
-4 -3.75 8 9 4701.597956490966 2.044768665994525
-4 -3.75 9 10 4021.838946085771 1.043615005106403
-4 -3.75 10 11 3475.271107028513 0.7531022668717924
-4 -3.75 11 12 3028.695482978806 0.5583372694786704
-4 -3.75 12 13 2658.789858477973 0.6531211166907269
-4 -3.75 13 14 2348.691518093522 0.9468312943990895
-4 -3.75 14 15 2086.06096926726 1.203055277850126
-4 -3.75 15 16 1861.645061530078 1.72989945222298
-4 -3.75 16 17 1668.453144375582 1.516678217548133
-4 -3.75 17 18 1500.853799439415 1.178694502955068
-4 -3.75 18 19 1354.636370211968 0.9735833392467157
-4 -3.75 19 20 1226.351959800587 0.804263307071551
-4 -3.75 20 21 1113.202092708475 0.6644714020028459
-4 -3.75 21 22 1012.936781346769 0.5490773118708603
-4 -3.75 22 23 923.7400517290271 0.4538154391140097
-4 -3.75 23 24 844.103123282712 0.3751310272593855
-4 -3.75 24 25 772.7472239308521 0.3101189900353347
-4 -3.75 25 26 708.5921274203827 0.2564544995983624
-4 -3.75 26 27 650.7430856348601 0.2121495664731583
-4 -3.75 27 28 598.4507759979955 0.1755720089093984
