#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 17538.48093928647 1.492627843537775
-5 -4 1 2 69537.16123674891 5.974858083121944
-5 -4 2 3 51453.81929341445 4.123522808775306
-5 -4 3 4 37689.8593473956 2.267842967652541
-5 -4 4 5 28740.17002817669 2.2345823205942
-5 -4 5 6 22657.02335195423 0.5755437878578959
-5 -4 6 7 18322.70049897841 0.2254686209344072
-5 -4 7 8 15113.54439984469 0.1327839939021942
-5 -4 8 9 12662.8845654439 0.1106886663692421
-5 -4 9 10 10744.71899514856 0.09119713481413783
-5 -4 10 11 9212.875253522185 0.07318567003858334
-5 -4 11 12 7968.461853707161 0.0612557813856256
-5 -4 12 13 6943.383460395814 0.04834631662197353
-5 -4 13 14 6088.833107316069 0.5549204587077838
-5 -4 14 15 5368.817502927356 0.3547392290429343
-5 -4 15 16 4756.701503884441 0.2177297276348327
-5 -4 16 17 4232.236631228311 0.3884654110061092
-5 -4 17 18 3779.723484330839 0.3019096057755633
-5 -4 18 19 3386.832249793457 0.2378287914552857
-5 -4 19 20 3043.776302029722 0.1826084030035418
-5 -4 20 21 2742.773049257 0.1401694979231252
-5 -4 21 22 2477.495598979057 0.1090400817902264
-5 -4 22 23 2242.727341557 0.08540818026358465
-5 -4 23 24 2034.164697845277 0.06505583106309132
-5 -4 24 25 1848.263896817867 0.04746023001666799
-5 -4 25 26 1682.081089074503 0.0338256019858818
-5 -4 26 27 1533.110118214996 0.024866153102721
-5 -4 27 28 1399.198447103691 0.01710450299242439
-5 -4 28 29 1278.525953644019 0.01360139544590311
-5 -4 29 30 1169.552059035683 0.01144083779922767
-5 -4 30 31 1070.962481924929 0.009515262219338183
-5 -4 31 32 981.6126509227543 0.00784169027065218
-5 -4 32 33 900.4888500139355 0.006691295837413236
-5 -4 33 34 826.707431985495 0.00870224761672489
-5 -4 34 35 759.5032319850893 0.01070045892436156
-5 -4 35 36 698.2107102945614 0.01239757910798289
-5 -4 36 37 642.2489139906387 0.0136563779736889
-5 -4 37 38 591.1014930739703 0.01422041235673532
-5 -4 38 39 544.3012838066483 0.01431051564384234
-5 -4 39 40 501.4310625361223 0.0147029634437672
-5 -4 40 41 462.1254806175983 0.01479042256647745
-5 -4 41 42 426.0583200056968 0.01492958931947896
-5 -4 42 43 392.9390277218839 0.01494005686322453
-5 -4 43 44 362.5074800799208 0.01480575809063112
-5 -4 44 45 334.5284566333399 0.03030781050034648
-5 -4 45 46 308.7872787828001 0.02507132818908531
-5 -4 46 47 285.0907891416279 0.02076158580462106
-5 -4 47 48 263.2654915264118 0.01718285220118787
-5 -4 48 49 243.1539255104015 0.01422648200423282
-5 -4 49 50 224.6132843526452 0.01256909744387258
-5 -4 50 51 207.5154526211123 0.01219878984770162
-5 -4 51 52 191.7439974427183 0.01173537417184889
-5 -4 52 53 177.1909094805845 0.01117261892085253
-5 -4 53 54 163.7566184115173 0.01074716861523939
-5 -4 54 55 151.35190859565 0.01027490821434185
-5 -4 55 56 139.8947633840793 0.009800427546878154
-5 -4 56 57 129.3100097493147 0.009379808701396541
-5 -4 57 58 119.5295902721268 0.00897731753143205
-5 -4 58 59 110.4914723103722 0.008591212170230733
-5 -4 59 60 102.1387034704798 0.008159609503081811
-5 -4 60 61 94.41797596630639 0.007729854766949984
-5 -4 61 62 87.2800665256633 0.007339966217656979
-5 -4 62 63 80.68015992688446 0.006948159300847578
-5 -4 63 64 74.57676802078714 0.00656881258554165
-5 -4 64 65 68.93172555597337 0.006233311131097707
-5 -4 65 66 63.71044077808003 0.00592273682383393
-5 -4 66 67 58.88130433460495 0.005624051067279368
-5 -4 67 68 54.4152011752861 0.005327428520566002
-5 -4 68 69 50.28483209300392 0.004996512242982476
-5 -4 69 70 46.46435683445414 0.0006201511078671729
-5 -4 70 71 42.93039233378158 0.0005636201679664055
-5 -4 71 72 39.66127724829415 0.0005149158517809838
-5 -4 72 73 36.63708161266765 0.0004722657223226179
-5 -4 73 74 33.83959264053754 0.000436069495229674
-5 -4 74 75 31.25209013650687 0.0004057030942767881
-5 -4 75 76 28.85914582258551 0.0003779604855651542
-5 -4 76 77 26.64633054283036 0.000351840414658966
-5 -4 77 78 24.59997964396904 0.0003260185365263624
-5 -4 78 79 22.70752525940753 0.0003029942970869115
-5 -4 79 80 20.95749499555689 0.0002843485086998498
-5 -4 80 81 19.33922340382883 0.000266816232528555
-5 -4 81 82 17.84292147279728 0.0002487538940272316
-5 -4 82 83 16.45951885112569 0.00162489620355899
-5 -4 83 84 15.18087227356145 0.001145810084116405
-5 -4 84 85 13.99918966776355 0.0007548948868656424
-5 -4 85 86 12.90726975465454 0.0004005177406085636
-5 -4 86 87 11.89829525713875 0.0001801838127519773
-5 -4 87 88 10.96597598740271 0.000190620473309977
-5 -4 88 89 10.10457335715797 0.0004110789120321812
-5 -4 89 90 9.308810962201676 0.0005620162365094217
-5 -4 90 91 8.573826648334194 0.0006653764576096677
-5 -4 91 92 7.895117593454231 0.0007552034018516451
-5 -4 92 93 7.268504392315811 0.0001196653965767069
-5 -4 93 94 6.690070279687893 0.0001114556598222904
-5 -4 94 95 6.156202309124403 0.0001032331057562175
-5 -4 95 96 5.663517835809883 9.621676875504193e-05
-5 -4 96 97 5.208913711280441 8.994096663350604e-05
-5 -4 97 98 4.78952121185896 8.360340526536447e-05
-5 -4 98 99 4.402690246069334 7.738717952676666e-05
-5 -4 99 100 4.045966427832894 7.130174458769289e-05
-4 -3.75 0 1 3208.864953205438 0.2224921748916131
-4 -3.75 1 2 44307.7676440428 2.346179202126223
-4 -3.75 2 3 37915.87019318246 1.187698192508833
-4 -3.75 3 4 29151.04764217989 0.6584323603601661
-4 -3.75 4 5 22886.43997374525 0.3467196787096327
-4 -3.75 5 6 18439.47026160843 0.2611723165573494
-4 -3.75 6 7 15184.73828237899 0.2121535180576757
-4 -3.75 7 8 12727.74520181143 0.1912497274443012
-4 -3.75 8 9 10822.80143754313 1.066346290661386
-4 -3.75 9 10 9312.847748783272 0.7464476569311955
-4 -3.75 10 11 8093.031754821001 0.5149254338530227
-4 -3.75 11 12 7092.09491743223 0.3491142306174879
-4 -3.75 12 13 6259.74693517698 0.231403777678679
-4 -3.75 13 14 5559.342385769585 0.1489541174714759
-4 -3.75 14 15 4964.005109321696 0.09197282343211555
-4 -3.75 15 16 4453.616271105187 0.07331765640174126
-4 -3.75 16 17 4012.558149972803 0.360633495361526
-4 -3.75 17 18 3628.682613497732 0.2843306807203589
-4 -3.75 18 19 3292.575743005554 0.2281788774653251
-4 -3.75 19 20 2996.680958787073 0.1913856976429997
-4 -3.75 20 21 2734.796367543907 0.1583364041557616
-4 -3.75 21 22 2501.923808802389 0.1280976396947153
-4 -3.75 22 23 2294.024315287699 0.1042487865006478
-4 -3.75 23 24 2107.741787656296 0.0864448992169855
-4 -3.75 24 25 1940.225413099694 0.07440113431243844
-4 -3.75 25 26 1789.058525642223 0.06191935715514774
-4 -3.75 26 27 1652.237938848342 0.05004197489233775
-4 -3.75 27 28 1528.085704798748 0.04040872193399991
-4 -3.75 28 29 1415.16269503887 0.03435908145570465
-4 -3.75 29 30 1312.200410561807 0.0284364148089935
-4 -3.75 30 31 1218.103256644292 0.02377776591788461
-4 -3.75 31 32 1131.925518770098 0.02005138827598785
-4 -3.75 32 33 1052.855415411701 0.0210960424926725
-4 -3.75 33 34 980.1880700675772 0.01533772367315578
-4 -3.75 34 35 913.3011280981247 0.08683433360022264
-4 -3.75 35 36 851.6358567915781 0.0743887994118495
-4 -3.75 36 37 794.7024513529082 0.06397089242705079
