#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 21.8414586745344 0.0003685998398950119
-5 -4.75 1 2 39.25497994483808 0.0005903534723543657
-5 -4.75 2 3 23.26674647667294 0.0008854395865967035
-5 -4.75 3 4 15.41702195163237 0.000195318130113975
-5 -4.75 4 5 10.95337773283495 0.0001709633335487126
-5 -4.75 5 6 8.141782191231476 0.0001376547454352561
-5 -4.75 6 7 6.244539190104475 0.0001092551099137751
-5 -4.75 7 8 4.900190812178479 8.795806089256786e-05
-5 -4.75 8 9 3.912576797153566 7.21702926860246e-05
-5 -4.75 9 10 3.166436291597154 6.088176856655636e-05
-5 -4.75 10 11 2.59033414215675 5.252199222827159e-05
-5 -4.75 11 12 2.137500322546711 4.56854066297474e-05
-5 -4.75 12 13 1.776356321452088 3.8933804246577e-05
-5 -4.75 13 14 1.484868135246582 3.128269890995128e-05
-5 -4.75 14 15 1.247174193799119 2.325153253757151e-05
-5 -4.75 15 16 1.051670725331255 4.215567245102747e-05
-5 -4.75 16 17 0.8897110526811285 1.251639970156759e-05
-5 -4.75 17 18 0.7546891584256061 1.029855913015076e-05
-5 -4.75 18 19 0.6415274127082606 2.365099266954385e-05
-5 -4.75 19 20 0.5462520577280906 6.219588352229799e-06
-5 -4.75 20 21 0.4657296560443569 4.939328609954163e-06
-5 -4.75 21 22 0.3974533149813541 4.387614588874378e-06
-5 -4.75 22 23 0.3394009174674059 4.399185987824517e-06
-5 -4.75 23 24 0.2899344058182683 4.104488387779437e-06
-5 -4.75 24 25 0.2477077679518413 9.954110434196028e-06
-5 -4.75 25 26 0.2116040961935022 6.362803603304767e-06
-5 -4.75 26 27 0.1807050741671717 3.590125268793098e-06
-5 -4.75 27 28 0.154240245623404 1.395567265027875e-06
-5 -4.75 28 29 0.1315629116364564 9.330165196830276e-07
-5 -4.75 29 30 0.1121259742895035 1.424167250060893e-06
-5 -4.75 30 31 0.09546749437951604 2.147592545839738e-06
-5 -4.75 31 32 0.08119426141708352 2.461923349628137e-06
-5 -4.75 32 33 0.06896984834208694 2.345819493765333e-06
-5 -4.75 33 34 0.05850662703643782 2.169970985226033e-06
-5 -4.75 34 35 0.04955829402821319 1.805201788558641e-06
-5 -4.75 35 36 0.04191300898792259 1.330979802059706e-06
-5 -4.75 36 37 0.03538841576366864 9.15708900171841e-07
-5 -4.75 37 38 0.02982736279624862 7.013036466205214e-07
-5 -4.75 38 39 0.02509423245226552 8.053938781726888e-07
