#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0.1 1 11334.88290252014 10.38959458208956
-5 -4 1 2 25770.17706989118 6.379385749994981
-5 -4 2 3 16846.98563853664 2.847226702182525
-5 -4 3 4 11817.47021093293 1.410872099073458
-5 -4 4 5 8790.67721120643 8.136087476981629
-5 -4 5 6 6810.879993327881 4.616166809817514
-5 -4 6 7 5433.657293848523 4.881069891638617
-5 -4 7 8 4431.387375871227 3.341413025848851
-5 -4 8 9 3676.003836907821 2.272278016482687
-5 -4 9 10 3091.099595910631 1.52794803566394
-5 -4 10 11 2628.260096486153 1.011774510497617
-5 -4 11 12 2255.318161766163 0.6563559346591319
-5 -4 12 13 1950.364623651429 0.4142519321821965
-5 -4 13 14 1697.848640139737 0.2513584450337021
-5 -4 14 15 1486.454217973105 0.173755910305772
-5 -4 15 16 1307.825999553892 0.1296489856185872
-5 -4 16 17 1155.664946860734 0.09772361552313669
-5 -4 17 18 1025.117142243844 0.0738664768914532
-5 -4 18 19 912.3915969403195 0.05643523322203237
-5 -4 19 20 814.4947547396328 0.04141281651084228
-5 -4 20 21 729.0561336120385 0.0302803985605351
-5 -4 21 22 654.1538112156836 0.02479646589836193
-5 -4 22 23 588.2124166372651 0.02366710369881275
-5 -4 23 24 529.9371924391979 0.02165274483832036
-5 -4 24 25 478.2663188651703 0.01925302593065226
-5 -4 25 26 432.3189315356279 0.01677771212320067
-5 -4 26 27 391.3464430779858 0.01439985756115902
-5 -4 27 28 354.710768246718 0.01222311273318155
-5 -4 28 29 321.8842016464941 0.2877196055696345
-5 -4 29 30 292.3898036247357 0.2758697288142571
-5 -4 30 31 265.853329535669 0.2194122428698506
-5 -4 31 32 241.9370011415668 0.1677038463521114
-5 -4 32 33 220.3442521519083 0.1234470753519474
-5 -4 33 34 200.8180318175154 0.09967508823098115
-5 -4 34 35 183.1360001795123 0.08038194195836468
-5 -4 35 36 167.1048399083906 0.06472014027747264
-5 -4 36 37 152.5555191690518 0.05200291647972222
-5 -4 37 38 139.3384278940142 0.04171575770803315
-5 -4 38 39 127.3190006450274 0.03340022553189215
-5 -4 39 40 116.3782411577459 0.04022773379314515
-5 -4 40 41 106.4113827093754 0.04930052202740853
-5 -4 41 42 97.32515076906802 0.05656730671428534
-5 -4 42 43 89.03668234955643 0.0620388053460772
-5 -4 43 44 81.53751043428275 0.07794274941213075
-5 -4 44 45 74.56440122182792 0.06822293303281413
-5 -4 45 46 68.25398128828161 0.006351177678482145
-5 -4 46 47 62.48505504458969 0.004892323705789181
-5 -4 47 48 57.20971285880091 0.004563384045766838
-5 -4 48 49 52.38394024095917 0.004351557879658685
-5 -4 49 50 47.9680372527224 0.004161978104121999
-5 -4 50 51 43.92640002851724 0.00396925996454911
-5 -4 51 52 40.22667536318087 0.003765844733727874
-5 -4 52 53 36.83913062814973 0.003550687879211978
-5 -4 53 54 33.7365824591995 0.003367193917746647
-5 -4 54 55 30.89463776178985 0.003179921532918684
-5 -4 55 56 28.29100279404701 0.00299862400274975
