#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 18358.92209317569 0.5004102329367015
-5 -4 1 2 65896.7381649236 5.51750196760986
-5 -4 2 3 48731.03031691897 0.2805363103834679
-5 -4 3 4 35749.46443334703 0.6159909945563413
-5 -4 4 5 27309.7255750704 1.392273855679377
-5 -4 5 6 21569.24159262741 0.4674927667692828
-5 -4 6 7 17475.13518121265 0.4270997960775276
-5 -4 7 8 14440.40742303515 0.3631051444372133
-5 -4 8 9 12120.30226310206 0.2939034511819045
-5 -4 9 10 10302.10836735727 0.2300601690058102
-5 -4 10 11 8848.246496447562 0.1761065297396271
-5 -4 11 12 7665.887555167647 0.6642070145635444
-5 -4 12 13 6690.517219357383 0.4060391139255444
-5 -4 13 14 5876.30790037466 0.2306592247723529
-5 -4 14 15 5189.449332145678 0.1141990175001411
-5 -4 15 16 4604.773313139302 0.03914976322630537
-5 -4 16 17 4103.158912561442 0.3830924469511956
-5 -4 17 18 3669.791359086692 0.2998693637541692
-5 -4 18 19 3293.035904071463 0.2371189149966995
-5 -4 19 20 2963.653205465948 0.1848730136725862
-5 -4 20 21 2674.268352483428 0.1439616469124303
-5 -4 21 22 2418.892278977207 0.1131223208171832
-5 -4 22 23 2192.596455604039 0.08919559459263837
-5 -4 23 24 1991.311958579772 0.06925131428511122
-5 -4 24 25 1811.67339723467 0.05224962343163497
-5 -4 25 26 1650.878022146662 0.03870036352191164
-5 -4 26 27 1506.54857452023 0.02900796051540055
-5 -4 27 28 1376.650435725436 0.0218708026634431
-5 -4 28 29 1259.456097273014 0.01812999188018694
-5 -4 29 30 1153.496175981767 0.01488259675215886
-5 -4 30 31 1057.512846132562 0.01212148940680891
-5 -4 31 32 970.4135413710375 0.00980484012359284
-5 -4 32 33 891.236709511316 0.00787199893863999
-5 -4 33 34 819.1428912671427 0.006259090107050724
-5 -4 34 35 753.4016545980999 0.008073421225276434
-5 -4 35 36 693.3749035238253 0.009806295891053196
-5 -4 36 37 638.5035694942737 0.01117660981333302
-5 -4 37 38 588.291999328817 0.01200072246922446
-5 -4 38 39 542.2945948616967 0.01239530878945061
-5 -4 39 40 500.11323966552 0.01291347996743752
-5 -4 40 41 461.3969009628041 0.01316142525854502
-5 -4 41 42 425.8318099819531 0.01339498286512253
-5 -4 42 43 393.1377632333323 0.01348868611268017
-5 -4 43 44 363.0634415716517 0.03484025252532774
-5 -4 44 45 335.3817853328587 0.02913473921171317
-5 -4 45 46 309.8866618569968 0.0244284115203186
-5 -4 46 47 286.3918163568031 0.02053505807845113
-5 -4 47 48 264.7295381981816 0.01727973488152657
-5 -4 48 49 244.7476032109964 0.01456976202257465
-5 -4 49 50 226.307693922064 0.01233553508330942
-5 -4 50 51 209.2850111627432 0.0114868336318068
-5 -4 51 52 193.5660281860158 0.01109716903189906
-5 -4 52 53 179.0461206457676 0.01062925960391681
-5 -4 53 54 165.6289759367747 0.01024363500101799
-5 -4 54 55 153.2276207836947 0.009829379837952956
-5 -4 55 56 141.7622594832866 0.009410337511212674
-5 -4 56 57 131.1597063526602 0.009021715193625823
-5 -4 57 58 121.3533077291085 0.008642369241968595
-5 -4 58 59 112.2820863950758 0.008274860421238373
-5 -4 59 60 103.8900463352826 0.007884107986740219
-5 -4 60 61 96.12514863642406 0.007494950099726339
-5 -4 61 62 88.93936781061478 0.007131640989598509
-5 -4 62 63 82.28876291539076 0.006772338043091963
-5 -4 63 64 76.13272939389802 0.006420329319738016
-5 -4 64 65 70.43382254138629 0.006099148478057259
-5 -4 65 66 65.15785716557328 0.005796277152327889
-5 -4 66 67 60.27345237653773 0.005503109819187557
-5 -4 67 68 55.75166190599825 0.005220438926727411
-5 -4 68 69 51.56556798296216 0.004918069187880292
-5 -4 69 70 47.68989269564091 0.004651811614877488
