#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 32406.91623758621 0.8585573591917637
-5 -4 1 2 81819.64324918418 6.649206104251789
-5 -4 2 3 54842.10466570997 3.726766458756174
-5 -4 3 4 38886.07133439277 2.92481036438403
-5 -4 4 5 29137.37784837748 1.257802078733221
-5 -4 5 6 22708.33504267184 0.6137690191717411
-5 -4 6 7 18211.06387865034 0.2444426047622983
-5 -4 7 8 14923.55580061536 0.1530993783580925
-5 -4 8 9 12436.91964127151 0.1267446939327783
-5 -4 9 10 10505.26635656696 0.1031170130081591
-5 -4 10 11 8972.219723415705 0.08157644870152581
-5 -4 11 12 7733.335001256332 0.0675310665374127
-5 -4 12 13 6717.472836993975 0.05235800647915312
-5 -4 13 14 5874.017872074756 0.4819325209273302
-5 -4 14 15 5165.898744255658 0.2926594692617073
-5 -4 15 16 4565.862418736721 0.4507010033912593
-5 -4 16 17 4053.290791213229 0.3450898419291661
-5 -4 17 18 3612.266118188509 0.2657774453218735
-5 -4 18 19 3230.333673742941 0.208154988511069
-5 -4 19 20 2897.642186620682 0.1570244923391328
-5 -4 20 21 2606.39722601816 0.1184083238563289
-5 -4 21 22 2350.274455205697 0.09072021774045425
-5 -4 22 23 2124.067483920498 0.07027083003913503
-5 -4 23 24 1923.492213098153 0.05206037809011832
-5 -4 24 25 1745.038911524347 0.03617724205219019
-5 -4 25 26 1585.800762834283 0.02771326345759917
-5 -4 26 27 1443.301449462908 0.02422079223924811
-5 -4 27 28 1315.413757323521 0.02088184041804197
-5 -4 28 29 1200.346724881764 0.01780776515647631
-5 -4 29 30 1096.591419567447 0.01502320692543435
-5 -4 30 31 1002.864599042419 0.01258743468929424
-5 -4 31 32 918.0475649588183 0.01049092110281435
-5 -4 32 33 841.14721396968 0.00960602997110982
-5 -4 33 34 771.3001122040938 0.01111719559276025
-5 -4 34 35 707.7616713547752 0.0127765585373254
-5 -4 35 36 649.8867699280037 0.01418842878319992
