#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 -4512.272537201719 0.4147381192760804
-5 -4 1 2 56147.14937759845 0.5910806912943372
-5 -4 2 3 49386.11210454966 0.3643440919913701
-5 -4 3 4 37873.73388872221 3.576199019815249
-5 -4 4 5 29529.38514826472 2.124972895722749
-5 -4 5 6 23593.30796055411 1.882665501856536
-5 -4 6 7 19253.46098265225 0.6087930524736294
-5 -4 7 8 15986.47425036701 0.2828615080597956
-5 -4 8 9 13462.01353041527 0.1234540957048011
-5 -4 9 10 11468.53678007833 0.1021995986957336
-5 -4 10 11 9865.559361445059 0.08206763460839284
-5 -4 11 12 8556.048239133415 0.06908151346397062
-5 -4 12 13 7472.394614225337 0.05441580727438122
-5 -4 13 14 6565.506136567587 0.04476191864978318
-5 -4 14 15 5798.900438079565 0.03693483031929645
-5 -4 15 16 5145.326618589141 0.4755480532667207
-5 -4 16 17 4583.943532678271 0.4501535793742732
-5 -4 17 18 4098.526366791551 0.3508283563005534
-5 -4 18 19 3676.25354671336 0.2774223715123298
-5 -4 19 20 3306.904391857868 0.2134881055199003
-5 -4 20 21 2982.335537342567 0.1644616644307462
-5 -4 21 22 2695.900372301761 0.1286788034890378
-5 -4 22 23 2442.093417214961 0.1014840420152723
-5 -4 23 24 2216.360201662877 0.07783341787171594
-5 -4 24 25 2014.947405316211 0.05723933228364331
-5 -4 25 26 1834.734420402518 0.04138583917938377
-5 -4 26 27 1673.053509207822 0.03114310732507874
-5 -4 27 28 1527.603246047397 0.02212736291699002
-5 -4 28 29 1396.436895080873 0.01360891621152405
-5 -4 29 30 1277.907382392025 0.005974369027853754
-5 -4 30 31 1170.609430271235 0.002866540018203523
-5 -4 31 32 1073.31611242529 0.003435144304376081
-5 -4 32 33 984.9353658038696 0.005794667105078588
-5 -4 33 34 904.5141015485927 0.008184932796552857
-5 -4 34 35 831.2276205291848 0.01056520302540775
-5 -4 35 36 764.3587974472547 0.01264587372395454
-5 -4 36 37 703.2821282166416 0.01418685158569133
-5 -4 37 38 647.4404949481128 0.01487891860460877
-5 -4 38 39 596.3276851969613 0.01501333052954124
-5 -4 39 40 549.4909582152691 0.01552238512783788
-5 -4 40 41 506.5345682905322 0.01569129809922742
-5 -4 41 42 467.1050909292066 0.01590818147502659
-5 -4 42 43 430.8876364837239 0.01599815376476954
-5 -4 43 44 397.6003746243575 0.01589478020594015
-5 -4 44 45 366.9879060506225 0.01556985886156781
-5 -4 45 46 338.816901651726 0.01518239211861783
-5 -4 46 47 312.8769812065699 0.0148361458417412
-5 -4 47 48 288.9794855983978 0.01442865671890559
-5 -4 48 49 266.9530810901989 0.01397102366087211
-5 -4 49 50 246.6414324572046 0.02426895832493869
-5 -4 50 51 227.907076344385 0.02077130140656891
-5 -4 51 52 210.6225392600447 0.01782443136957568
-5 -4 52 53 194.6700124186688 0.01532133270708869
-5 -4 53 54 179.9407230105461 0.01319937559128448
-5 -4 54 55 166.3374255247717 0.01139995739023902
-5 -4 55 56 153.770635758724 0.01065082809498108
-5 -4 56 57 142.1582879041625 0.01020273929506743
-5 -4 57 58 131.4261858130898 0.009776421503318034
-5 -4 58 59 121.5067601668185 0.009366861061550935
-5 -4 59 60 112.3379382862547 0.008899045572931641
-5 -4 60 61 103.8614472100642 0.008429111395628297
-5 -4 61 62 96.02341088431581 0.008008525990206294
-5 -4 62 63 88.77485597744931 0.007580570118989272
-5 -4 63 64 82.07036983629939 0.007166924965986254
-5 -4 64 65 75.86818608260273 0.006805709686261707
-5 -4 65 66 70.13053277590039 0.006471838769144256
-5 -4 66 67 64.82291593882685 0.006152378828872429
-5 -4 67 68 59.9135825116448 0.005831265043909184
-5 -4 68 69 55.37266265522962 0.005465708679629699
-5 -4 69 70 51.17177991877669 0.001755129617194484
-5 -4 70 71 47.28531658742546 0.001579633988562534
-5 -4 71 72 43.689531335513 0.001425159941611298
-5 -4 72 73 40.36258672855253 0.001288437943223641
-5 -4 73 74 37.28455261613998 0.001168635431398002
-5 -4 74 75 34.4371509867136 0.001063976198977912
-5 -4 75 76 31.8035125447605 0.0009698480495963224
-5 -4 76 77 29.36783258229153 0.0008840758990587005
-5 -4 77 78 27.11508886168779 0.0008042995108610285
-5 -4 78 79 25.03147128321131 0.0007331990945260713
-5 -4 79 80 23.10439833477856 0.0006719757317590336
-5 -4 80 81 21.32216115372819 0.0006162761564603159
-5 -4 81 82 19.67402435047197 0.0005635391891054553
-5 -4 82 83 18.15016570109127 0.0005167449756626752
-5 -4 83 84 16.74132107128502 0.001509121699015736
-5 -4 84 85 15.43928899605842 0.001058315033537482
-5 -4 85 86 14.23605295167918 0.0006453537056927416
-5 -4 86 87 13.12410233128819 0.0003683935518434822
-5 -4 87 88 12.09651168795411 0.0003377115963090205
-5 -4 88 89 11.14697307206195 0.0003149086623341901
-5 -4 89 90 10.2696924090637 0.0004944868676499681
-5 -4 90 91 9.459333366998042 0.000618861199013665
-5 -4 91 92 8.710952725932268 0.0007290382766367287
-5 -4 92 93 8.019961747439034 0.0002217991184778612
-5 -4 93 94 7.38204802978194 0.0002036908221647593
-5 -4 94 95 6.793238568343429 0.0001864024387518981
-5 -4 95 96 6.249805923151406 0.0001713967987315712
-5 -4 96 97 5.748335655827362 0.0001580081965490976
-5 -4 97 98 5.285670990820516 0.0001451292802485682
-5 -4 98 99 4.858895769116722 0.000132914501469017
-5 -4 99 100 4.465308772741976 0.0001213239137571875
-4 -3.75 0 1 -16711.71096629634 0.7356131779924908
-4 -3.75 1 2 29071.13638890417 2.68681902220851
-4 -3.75 2 3 34449.18813833404 1.604052312271961
-4 -3.75 3 4 28334.58982157998 0.9978956386330537
-4 -3.75 4 5 22935.6059164128 0.5906199874261802
-4 -3.75 5 6 18810.78672455926 0.3240806147223338
-4 -3.75 6 7 15674.10298312684 0.214546204684666
-4 -3.75 7 8 13249.31406316029 0.1977054160088301
-4 -3.75 8 9 11338.39272953471 0.1663527554283064
-4 -3.75 9 10 9805.54011089334 0.1541320074065879
-4 -3.75 10 11 8555.772832846571 0.7657681015480193
-4 -3.75 11 12 7522.757613107487 0.5464014065910305
-4 -3.75 12 13 6658.636472262368 0.3857169391812931
-4 -3.75 13 14 5927.868887301397 0.2692535675323597
-4 -3.75 14 15 5304.101941849893 0.1855858733060813
-4 -3.75 15 16 4767.430459544579 0.1260278512900186
-4 -3.75 16 17 4302.21034643028 0.4140881193570749
-4 -3.75 17 18 3896.181107795184 0.3262494762780079
-4 -3.75 18 19 3539.820426170717 0.2618294807580241
-4 -3.75 19 20 3225.429879428041 0.2203360542066548
-4 -3.75 20 21 2946.634272327797 0.1826035637427594
-4 -3.75 21 22 2698.285334590167 0.1476884370626976
-4 -3.75 22 23 2476.221739174606 0.1201783702981629
-4 -3.75 23 24 2276.971063936093 0.099837776574077
-4 -3.75 24 25 2097.562870420338 0.08635422058659969
-4 -3.75 25 26 1935.467182431678 0.07196086461544837
-4 -3.75 26 27 1788.590052849926 0.05817023683130174
