#ylo yhi PDF0  uncertainty
-5 -4 269949.0831520773 309.9226943189233
-4 -3.75 220419.9049994647 153.2784736551721
-3.75 -3.5 273301.1216459222 317.8517314983972
-3.5 -3.25 310359.6996489919 341.9111007253826
-3.25 -3 333145.7702391914 248.5442194194726
-3 -2.75 345082.117663441 426.0258953737526
-2.75 -2.5 350562.30688206 329.0397283614764
-2.5 -2.25 352727.9086231061 363.3731034790775
-2.25 -2 353642.0012496888 379.2793435656446
-2 -1.75 354316.9965666205 382.3050534626701
-1.75 -1.5 355443.4770242465 378.0218114909366
-1.5 -1.25 356414.0436100777 369.5577756840289
-1.25 -1 357626.258420204 363.8999495088262
-1 -0.75 359061.5413080271 360.0253462336676
-0.75 -0.5 360035.318083715 353.27987458906
-0.5 -0.25 360951.6177197382 207.0218561243435
-0.25 0 361387.9105356578 348.5485850226172
0 0.25 361466.6262660204 346.6132902783269
0.25 0.5 361143.7858364411 196.9119348048188
0.5 0.75 360306.0248631164 343.5778874762779
0.75 1 359340.39361874 346.2736129157738
1 1.25 357886.1419996736 346.4938281547701
1.25 1.5 356656.2173635096 348.5712129649303
1.5 1.75 355680.0753455075 352.8335985644117
1.75 2 354558.9045795318 353.8541381935691
2 2.25 353887.9760080124 348.4712407281288
2.25 2.5 352981.84341364 333.177374276614
2.5 2.75 350788.6337652093 303.16517019557
2.75 3 345250.6137270671 425.7773342703557
3 3.25 333263.2736686125 247.8595278698776
3.25 3.5 310340.2040440795 350.0887478538176
3.5 3.75 273177.4288798727 329.7628045560602
3.75 4 220226.7768526778 175.0166132271449
4 5 269303.8753986901 309.9085059449891
-5 5 11350685.87300263 1937.759981149639
