#ylo yhi PDF0  uncertainty
-5 -4.75 114.179876116391 0.04006905457437199
-4.75 -4.5 1329.721542615651 0.1224391886510346
-4.5 -4.25 5890.677673650155 4.111121937529097
-4.25 -4 14279.12918738119 12.44497548493028
-4 -3.75 24384.9249386332 18.78576289618528
-3.75 -3.5 34003.37245894131 22.85924887493298
-3.5 -3.25 42034.91775331247 25.22080170740315
-3.25 -3 48183.17472864314 26.67118871600978
-3 -2.75 52722.37048455904 27.37228462641978
-2.75 -2.5 55834.37150165567 49.76989370286801
-2.5 -2.25 58764.48496111076 29.49290399000801
-2.25 -2 60979.86353529421 28.19891756486591
-2 -1.75 62931.42769534924 36.37224982778733
-1.75 -1.5 64625.39025998178 28.11319752154813
-1.5 -1.25 66064.10308623814 28.77760423712191
-1.25 -1 67367.98086820253 32.57493430688403
-1 -0.75 68418.86062164162 29.07276733870533
-0.75 -0.5 69227.1023756147 29.16565159845662
-0.5 -0.25 69802.6165277859 30.06920574201577
-0.25 0 70098.53363102542 29.67535249993326
0 0.25 70109.41621787989 29.66833414783078
0.25 0.5 69829.07061736453 30.08310512268463
0.5 0.75 69263.01566794154 29.17095247582821
0.75 1 68459.48504543837 29.10005054035323
1 1.25 67406.33502392386 32.3326486798349
1.25 1.5 66102.67033556574 28.78672059666621
1.5 1.75 64665.02313663276 28.10569424500461
1.75 2 62972.53487474185 36.11461045048731
2 2.25 61022.59795973606 28.19794727808102
2.25 2.5 58806.07032634463 29.28703602728277
2.5 2.75 55873.50989755362 49.84688014453875
2.75 3 52755.43386406943 27.3943211375007
3 3.25 48208.04513619287 26.67871099302575
3.25 3.5 42048.18762248234 25.23613439432647
3.5 3.75 33999.65985004555 22.87304328435305
3.75 4 24373.85836652587 18.79039032304219
4 4.25 14264.31455075622 12.45865663373837
4.25 4.5 5880.114218030688 4.137834966329697
4.5 4.75 1326.172346687505 0.1220656252362406
4.75 5 113.6731570778699 0.03992932390856693
-5 5 1874536.391922744 171.772142060939
