(*{Q, Y, qT, xsec, deltanum}*)
{  91.000000,  0.000000,  0.500000, ,         0.0081373685} 
{  91.000000,  0.000000,  1.500000, ,         0.0228000660} 
{  91.000000,  0.000000,  3.000000, ,         0.0671617243} 
{  91.000000,  0.000000,  5.000000, ,         0.0763413873} 
{  91.000000,  0.000000,  7.000000, ,         0.0691024574} 
{  91.000000,  0.000000,  9.000000, ,         0.0567953128} 
{  91.000000,  0.000000,  11.000000, ,         0.0491179783} 
{  91.000000,  0.000000,  13.000000, ,         0.0403679170} 
{  91.000000,  0.000000,  15.000000, ,         0.0349790754} 
{  91.000000,  0.000000,  17.000000, ,         0.0297642274} 
{  91.000000,  0.000000,  19.000000, ,         0.0257342219} 
{  91.000000,  0.000000,  21.250000, ,         0.0268526593} 
{  91.000000,  0.000000,  23.750000, ,         0.0229792445} 
{  91.000000,  0.000000,  26.250000, ,         0.0197923037} 
{  91.000000,  0.000000,  28.750000, ,         0.0167665186} 
{  91.000000,  0.000000,  31.500000, ,         0.0173610804} 
{  91.000000,  0.000000,  34.500000, ,         0.0146817601} 
{  91.000000,  0.000000,  37.500000, ,         0.0123555907} 
{  91.000000,  0.000000,  40.500000, ,         0.0101017671} 
{  91.000000,  0.000000,  43.500000, ,         0.0086854474} 
{  91.000000,  0.000000,  46.500000, ,         0.0071440154} 
{  91.000000,  0.000000,  49.500000, ,         0.0060607473} 
{  91.000000,  0.000000,  52.500000, ,         0.0050902337} 
{  91.000000,  0.000000,  55.500000, ,         0.0042761467} 
{  91.000000,  0.000000,  59.000000, ,         0.0050669812} 
{  91.000000,  0.000000,  63.000000, ,         0.0042686546} 
{  91.000000,  0.000000,  67.500000, ,         0.0042694419} 
{  91.000000,  0.000000,  72.500000, ,         0.0033030150} 
{  91.000000,  0.000000,  77.500000, ,         0.0024821636} 
{  91.000000,  0.000000,  82.500000, ,         0.0018424574} 
{  91.000000,  0.000000,  90.000000, ,         0.0022682426} 
{  91.000000,  0.000000,  100.000000, ,         0.0004843818} 
{  91.000000,  0.000000,  115.000000, ,         0.0030555452} 
