(*{Q, Y, qT, xsec, deltanum}*)
{  91.000000,  0.000000,  0.500000, ,         0.0009679638} 
{  91.000000,  0.000000,  1.500000, ,         0.0025886156} 
{  91.000000,  0.000000,  3.000000, ,         0.0073279562} 
{  91.000000,  0.000000,  5.000000, ,         0.0074003884} 
{  91.000000,  0.000000,  7.000000, ,         0.0064353286} 
{  91.000000,  0.000000,  9.000000, ,         0.0053651693} 
{  91.000000,  0.000000,  11.000000, ,         0.0045493109} 
{  91.000000,  0.000000,  13.000000, ,         0.0040267312} 
{  91.000000,  0.000000,  15.000000, ,         0.0034090530} 
{  91.000000,  0.000000,  17.000000, ,         0.0029737690} 
{  91.000000,  0.000000,  19.000000, ,         0.0025478949} 
{  91.000000,  0.000000,  21.250000, ,         0.0027318814} 
{  91.000000,  0.000000,  23.750000, ,         0.0023461921} 
{  91.000000,  0.000000,  26.250000, ,         0.0019921886} 
{  91.000000,  0.000000,  28.750000, ,         0.0017065311} 
{  91.000000,  0.000000,  31.500000, ,         0.0017047399} 
{  91.000000,  0.000000,  34.500000, ,         0.0014058801} 
{  91.000000,  0.000000,  37.500000, ,         0.0012104671} 
{  91.000000,  0.000000,  40.500000, ,         0.0010107952} 
{  91.000000,  0.000000,  43.500000, ,         0.0008415106} 
{  91.000000,  0.000000,  46.500000, ,         0.0007248530} 
{  91.000000,  0.000000,  49.500000, ,         0.0006141070} 
{  91.000000,  0.000000,  52.500000, ,         0.0005215059} 
{  91.000000,  0.000000,  55.500000, ,         0.0004469174} 
{  91.000000,  0.000000,  59.000000, ,         0.0005021307} 
{  91.000000,  0.000000,  63.000000, ,         0.0004213902} 
{  91.000000,  0.000000,  67.500000, ,         0.0004242479} 
{  91.000000,  0.000000,  72.500000, ,         0.0003307261} 
{  91.000000,  0.000000,  77.500000, ,         0.0002579660} 
{  91.000000,  0.000000,  82.500000, ,         0.0001891055} 
{  91.000000,  0.000000,  90.000000, ,         0.0002269925} 
{  91.000000,  0.000000,  100.000000, ,         0.0000484397} 
{  91.000000,  0.000000,  115.000000, ,         0.0002986318} 
