------------------------------------------
Welcome to SCETlib -- Don't Stop Resummin'
------------------------------------------
SCETlib version      c702f44

Read runcard inclusive_Z_MSHT20an3lo_nplambda_N3LLp.ini
Using custom EW parameters.
Calculating central values only (no variations config file found).

Started job on Tue Mar 12 21:16:10 2024
Machine:              lxplus8s10.cern.ch
Number of threads:    40
Number of CUBA cores: 1
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 6.000000,  8.000000} in     136s. Obtained xsec =        65.9711994727 +-         0.0064353286.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 8.000000,  10.000000} in     160s. Obtained xsec =        56.6218457502 +-         0.0053651693.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 4.000000,  6.000000} in     160s. Obtained xsec =        74.9711024613 +-         0.0074003884.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 14.000000,  16.000000} in     169s. Obtained xsec =        35.2486393670 +-         0.0034090530.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 36.000000,  39.000000} in     177s. Obtained xsec =        12.1482276853 +-         0.0012104671.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 12.000000,  14.000000} in     179s. Obtained xsec =        41.1334009987 +-         0.0040267312.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 10.000000,  12.000000} in     186s. Obtained xsec =        48.2325740263 +-         0.0045493109.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 33.000000,  36.000000} in     187s. Obtained xsec =        14.4715001527 +-         0.0014058801.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 16.000000,  18.000000} in     187s. Obtained xsec =        30.3447535919 +-         0.0029737690.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 30.000000,  33.000000} in     188s. Obtained xsec =        17.3134791717 +-         0.0017047399.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 18.000000,  20.000000} in     190s. Obtained xsec =        26.2391310913 +-         0.0025478949.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 39.000000,  42.000000} in     192s. Obtained xsec =        10.2392088972 +-         0.0010107952.
