(*{Q, Y, qT, xsec, deltanum}*)
{  90.000000,  0.000000,  0.500000, ,         0.0101497655} 
{  90.000000,  0.000000,  1.500000, ,         0.0112405257} 
{  90.000000,  0.000000,  2.500000, ,         0.0161328705} 
{  90.000000,  0.000000,  3.500000, ,         0.0674863075} 
{  90.000000,  0.000000,  4.500000, ,         0.0179861080} 
{  90.000000,  0.000000,  5.500000, ,         0.0181682465} 
{  90.000000,  0.000000,  6.500000, ,         0.0196028033} 
{  90.000000,  0.000000,  7.500000, ,         0.0200023238} 
{  90.000000,  0.000000,  8.500000, ,         0.0175229789} 
{  90.000000,  0.000000,  9.500000, ,         0.0162351930} 
{  90.000000,  0.000000,  10.500000, ,         0.0457487004} 
{  90.000000,  0.000000,  11.500000, ,         0.0420331613} 
{  90.000000,  0.000000,  12.500000, ,         0.0382557056} 
{  90.000000,  0.000000,  13.500000, ,         0.0354978350} 
{  90.000000,  0.000000,  14.500000, ,         0.0327211206} 
{  90.000000,  0.000000,  15.500000, ,         0.0302882404} 
{  90.000000,  0.000000,  16.500000, ,         0.0282719952} 
{  90.000000,  0.000000,  17.500000, ,         0.0263301485} 
{  90.000000,  0.000000,  18.500000, ,         0.0245669043} 
{  90.000000,  0.000000,  19.500000, ,         0.0229835348} 
{  90.000000,  0.000000,  20.500000, ,         0.0215737937} 
{  90.000000,  0.000000,  21.500000, ,         0.0204747311} 
{  90.000000,  0.000000,  22.500000, ,         0.0192269673} 
{  90.000000,  0.000000,  23.500000, ,         0.0181787443} 
{  90.000000,  0.000000,  24.500000, ,         0.0174321216} 
{  90.000000,  0.000000,  25.500000, ,         0.0165423216} 
{  90.000000,  0.000000,  26.500000, ,         0.0156258917} 
{  90.000000,  0.000000,  27.500000, ,         0.0144498235} 
{  90.000000,  0.000000,  28.500000, ,         0.0137921885} 
{  90.000000,  0.000000,  29.500000, ,         0.0132517788} 
{  90.000000,  0.000000,  30.500000, ,         0.0124158816} 
{  90.000000,  0.000000,  31.500000, ,         0.0113358392} 
{  90.000000,  0.000000,  32.500000, ,         0.0088937295} 
{  90.000000,  0.000000,  33.500000, ,         0.0097562620} 
{  90.000000,  0.000000,  34.500000, ,         0.0095457269} 
{  90.000000,  0.000000,  35.500000, ,         0.0099262205} 
{  90.000000,  0.000000,  36.500000, ,         0.0087588023} 
{  90.000000,  0.000000,  37.500000, ,         0.0083579305} 
{  90.000000,  0.000000,  38.500000, ,         0.0077143069} 
{  90.000000,  0.000000,  39.500000, ,         0.0073008794} 
