(*{Q, Y, qT, xsec, deltanum}*)
{  90.000000,  0.000000,  0.500000, ,         0.0101497655} 
{  90.000000,  0.000000,  1.500000, ,         0.0112405257} 
{  90.000000,  0.000000,  2.500000, ,         0.0161328705} 
{  90.000000,  0.000000,  3.500000, ,         0.0674863075} 
{  90.000000,  0.000000,  4.500000, ,         0.0179861080} 
{  90.000000,  0.000000,  5.500000, ,         0.0181682465} 
{  90.000000,  0.000000,  6.500000, ,         0.0196028033} 
{  90.000000,  0.000000,  7.500000, ,         0.0200023238} 
{  90.000000,  0.000000,  8.500000, ,         0.0175229789} 
{  90.000000,  0.000000,  9.500000, ,         0.0162351930} 
{  90.000000,  0.000000,  10.500000, ,         0.0457487004} 
{  90.000000,  0.000000,  11.500000, ,         0.0420331613} 
{  90.000000,  0.000000,  12.500000, ,         0.0382565252} 
{  90.000000,  0.000000,  13.500000, ,         0.0354976854} 
{  90.000000,  0.000000,  14.500000, ,         0.0327134590} 
{  90.000000,  0.000000,  15.500000, ,         0.0303187139} 
{  90.000000,  0.000000,  16.500000, ,         0.0282717157} 
{  90.000000,  0.000000,  17.500000, ,         0.0263588214} 
{  90.000000,  0.000000,  18.500000, ,         0.0245350391} 
{  90.000000,  0.000000,  19.500000, ,         0.0232362343} 
{  90.000000,  0.000000,  20.500000, ,         0.0218320223} 
{  90.000000,  0.000000,  21.500000, ,         0.0205777103} 
{  90.000000,  0.000000,  22.500000, ,         0.0192686274} 
{  90.000000,  0.000000,  23.500000, ,         0.0180492228} 
{  90.000000,  0.000000,  24.500000, ,         0.0170972428} 
{  90.000000,  0.000000,  25.500000, ,         0.0094923125} 
{  90.000000,  0.000000,  26.500000, ,         0.0113017837} 
{  90.000000,  0.000000,  27.500000, ,         0.0113417372} 
{  90.000000,  0.000000,  28.500000, ,         0.0133756743} 
{  90.000000,  0.000000,  29.500000, ,         0.0127345897} 
{  90.000000,  0.000000,  30.500000, ,         0.0119279193} 
{  90.000000,  0.000000,  31.500000, ,         0.0114542527} 
{  90.000000,  0.000000,  32.500000, ,         0.0109434784} 
{  90.000000,  0.000000,  33.500000, ,         0.0095526230} 
{  90.000000,  0.000000,  34.500000, ,         0.0090594246} 
{  90.000000,  0.000000,  35.500000, ,         0.0085968552} 
{  90.000000,  0.000000,  36.500000, ,         0.0081546924} 
{  90.000000,  0.000000,  37.500000, ,         0.0077560886} 
{  90.000000,  0.000000,  38.500000, ,         0.0073753902} 
{  90.000000,  0.000000,  39.500000, ,         0.0070191674} 
