------------------------------------------
Welcome to SCETlib -- Don't Stop Resummin'
------------------------------------------
SCETlib version      c702f44

Read runcard n3llp.ini
Using custom EW parameters.
Calculating central values only (no variations config file found).

Started job on Wed Mar 13 01:24:54 2024
Machine:              lxplus8s10.cern.ch
Number of threads:    40
Number of CUBA cores: 1
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 3.000000,  4.000000} in      20s. Obtained xsec =        67.5491059187 +-         0.0674863075.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 11.000000,  12.000000} in      21s. Obtained xsec =        44.3507002105 +-         0.0420331613.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 13.000000,  14.000000} in      21s. Obtained xsec =        38.2569398346 +-         0.0354976854.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 10.000000,  11.000000} in      21s. Obtained xsec =        47.8582161478 +-         0.0457487004.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 15.000000,  16.000000} in      21s. Obtained xsec =        33.1825781022 +-         0.0303187139.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 12.000000,  13.000000} in      21s. Obtained xsec =        41.1612591724 +-         0.0382565252.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 16.000000,  17.000000} in      21s. Obtained xsec =        30.9583803145 +-         0.0282717157.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 14.000000,  15.000000} in      21s. Obtained xsec =        35.6060211104 +-         0.0327134590.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 6.000000,  7.000000} in      21s. Obtained xsec =        64.2711752461 +-         0.0196028033.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 24.000000,  25.000000} in      21s. Obtained xsec =        18.5767982060 +-         0.0170972428.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 19.000000,  20.000000} in      21s. Obtained xsec =        25.3719440759 +-         0.0232362343.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 30.000000,  31.000000} in      21s. Obtained xsec =        13.2262936186 +-         0.0119279193.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 17.000000,  18.000000} in      21s. Obtained xsec =        28.9363391861 +-         0.0263588214.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 22.000000,  23.000000} in      21s. Obtained xsec =        20.9708559609 +-         0.0192686274.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 31.000000,  32.000000} in      21s. Obtained xsec =        12.5285063490 +-         0.0114542527.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 29.000000,  30.000000} in      21s. Obtained xsec =        13.9725580088 +-         0.0127345897.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 20.000000,  21.000000} in      21s. Obtained xsec =        23.7858435608 +-         0.0218320223.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 32.000000,  33.000000} in      21s. Obtained xsec =        11.8756937086 +-         0.0109434784.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 18.000000,  19.000000} in      21s. Obtained xsec =        27.0825626898 +-         0.0245350391.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 21.000000,  22.000000} in      21s. Obtained xsec =        22.3215900702 +-         0.0205777103.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 23.000000,  24.000000} in      21s. Obtained xsec =        19.7250152103 +-         0.0180492228.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 4.000000,  5.000000} in      22s. Obtained xsec =        69.5967850169 +-         0.0179861080.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 37.000000,  38.000000} in      23s. Obtained xsec =         9.1537804127 +-         0.0077560886.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 35.000000,  36.000000} in      23s. Obtained xsec =        10.1455533692 +-         0.0085968552.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 27.000000,  28.000000} in      23s. Obtained xsec =        15.6222414107 +-         0.0113417372.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 38.000000,  39.000000} in      23s. Obtained xsec =         8.7010405004 +-         0.0073753902.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 36.000000,  37.000000} in      23s. Obtained xsec =         9.6343874573 +-         0.0081546924.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 28.000000,  29.000000} in      23s. Obtained xsec =        14.7713716364 +-         0.0133756743.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 39.000000,  40.000000} in      23s. Obtained xsec =         8.2733758548 +-         0.0070191674.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 33.000000,  34.000000} in      23s. Obtained xsec =        11.2641004943 +-         0.0095526230.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 25.000000,  26.000000} in      23s. Obtained xsec =        17.5176118685 +-         0.0094923125.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 34.000000,  35.000000} in      23s. Obtained xsec =        10.6885178233 +-         0.0090594246.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 26.000000,  27.000000} in      23s. Obtained xsec =        16.5504023622 +-         0.0113017837.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 5.000000,  6.000000} in      24s. Obtained xsec =        67.8443352401 +-         0.0181682465.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 7.000000,  8.000000} in      24s. Obtained xsec =        60.0541297692 +-         0.0200023238.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 8.000000,  9.000000} in      28s. Obtained xsec =        55.7688031173 +-         0.0175229789.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 9.000000,  10.000000} in      29s. Obtained xsec =        51.6706749367 +-         0.0162351930.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 1.000000,  2.000000} in      30s. Obtained xsec =        40.7180648561 +-         0.0112405257.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 2.000000,  3.000000} in      33s. Obtained xsec =        58.8628542227 +-         0.0161328705.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 0.000000,  1.000000} in      52s. Obtained xsec =        13.8275572201 +-         0.0101497655.
Finished evaluation. Took 52s = 0.014521249797609118h on 40 kernels.
Writing out results ...
Finished job on Wed Mar 13 01:25:46 2024 on machine lxplus8s10.cern.ch
